Official Symbol Interactor A	Official Symbol Interactor B
Pdx1	Pcif1
Rabgef1	Rabep1
Mdm2	Trp53
Mdm2	Pole
Kit	Socs6
Spag16	Spag6
Abl1	Crkl
Prame	Rara
Nfe2l2	Btrc
Rb1	Rbak
Efnb1	Nck2
Casp7	Psme3
Mapk8	Daxx
Mapk8	Slc2a4
Slc2a4	Daxx
Mid1	Mid1ip1
Plagl2	Pias2
Plagl2	Pias4
Plagl2	Pias1
Trim63	Zbtb24
Tcf3	Ascl3
Hoxa13	Meis1
Hoxa9	Meis1
Hoxd13	Smad1
Prkce	Fbxw7
Bmi1	Rnf2
Rnf2	Bmi1
Rnf2	Phc2
Gnao1	Pcp2
B4galt1	Ube2q1
Tbata	Uba3
Capn3	Ankrd1
Gmnn	Hoxa11
Gmnn	Hoxd10
Gmnn	Scmh1
Kit	Pik3r1
Mapk14	Supt20
Fam175b	Atf4
Crebbp	Ctnnb1
Tubb1	Ranbp10
Ranbp10	Ran
Ngly1	Rad23b
Ngly1	Rps2
Ngly1	Amfr
Trim28	Sertad1
Ube2v2	Ube2n
Ube2v1	Ube2n
Pcgf2	Phc2
Thra	Ncor1
Ferd3l	Tcf3
Tcf3	Ascl1
Tcf3	Ube2i
Tcf3	Id2
Tcf3	Ralgapa1
Arntl	Hif1a
Arntl	Clock
Hif1a	Arntl
Tcp1	Fbxl2
Fbxl2	Calm1
Abl2	Abi1
Map3k7	Skil
Tnfrsf1a	Bre
Mapk6	Mapkapk2
Mapk14	Mapkapk2
Nxf1	Map1b
Nxf2	Map1b
Ascl1	Tcf3
Ascl1	Neurog2
Chd8	Kpna3
Prkg1	Gkap1
Myb	Rqcd1
Mapkapk2	Phc2
Mapkapk2	Phc1
Mapkapk2	Mapk14
Tbp	Pias3
Tbp	Gtf2a1
Cotl1	Actb
Itsn1	Pik3c2b
Rad51	Brca2
Sh2b2	Asb6
Shb	Shb
Ctnnb1	Ctnna1
Hdac5	Ankra2
Nova1	Ptbp2
Nova2	Ptbp2
Dpysl5	Dpys
Dpysl5	Dpysl2
Dpysl5	Dpysl3
Nrap	Flnc
Nrap	Klhl41
Nrap	Actn3
Swi5	Sfr1
Sfr1	Swi5
Klhl24	Grik2
Acvr2a	Magi2
Magi2	Acvr2a
Neurl2	Pdcd6ip
Sdc1	Topors
Bax	Bcl2
Vcp	Svip
Vcp	Nsfl1c
Nap1l2	Nap1l1
Nap1l2	Tceal8
Nap1l2	Nap1l4
Akt1	Akt1
Phc2	Rnf2
Rnf2	Bmi1
Phc2	Bmi1
Rnf2	Pcgf2
Phc2	Pcgf2
Car1	Lnx1
Rxra	Trim24
Rab27a	Mlph
Ndn	Ccar1
Vgll2	Mef2c
Pax6	Trim11
Crocc	Klc2
Klc1	Crocc
Klc2	Crocc
Raf1	Rabgef1
Pctp	Acot13
Pctp	Pax3
Ptgs1	Nucb1
Ptgs2	Nucb1
Vezf1	Arhgap22
Agtr1a	Agtrap
Phyh	Acsl6
Lrp5	Axin1
Csnk2b	Tcte3
Atg10	Map1lc3b
Map1lc3b	Atg10
Cpt1a	Bcl2
Ube2d2a	Rnf25
Havcr2	Bag6
Bcl6	Bcl6b
Zbtb16	Zbtb16
Cdk4	Ccnd1
Akt1	Ccdc88a
Ccdc88a	Akt1
Anp32a	E4f1
Spi1	Crebbp
Sirt1	Dyrk3
Hcn3	Kctd3
Nanog	Mapk3
Nanog	Mapk1
Axin1	Pias1
Axin1	Pias2
Cbx5	Trim28
Trim28	Cbx5
Trim28	Cbx1
Trim28	Cbx3
Rev1	Ubc
Atg16l1	Atg16l1
Atg16l1	Atg5
Id2	Tcf3
Cys1	Ndn
Ndn	Cys1
Hdac9	Cbx5
Pias2	Uxt
Rad51	Rad51ap1
Grip1	Ar
Grip1	Nr3c1
Grip1	Esr1
Lef1	Tdg
Id3	Tcf3
Gmcl1	Gmcl1
Tfdp2	Gmcl1
Ncoa2	Carm1
Il16	Grin2a
Il16	Kcnj10
Il16	Kcnj15
Il16	Cacna1c
Fas	Daxx
Tmem194	Ran
Amot	Inadl
Inadl	Amot
Lmo2	Bub1b
Lmo2	Mcm6
Lmo2	Appl2
Lmo2	Flii
Lmo2	Hipk2
Lmo2	Kars
Lmo2	Kmt2b
Lmo2	Ldb1
Lmo2	Lrch4
Lmo2	Nsun2
Lmo2	Pold1
Lmo2	Prim1
Lmo2	Psmc1
Lmo2	Psme3
Lmo2	Taf6l
Lmo2	Ndufa8
Evl	Trim9
Ubxn2a	Stub1
Rab13	Micall2
Sh3rf1	Shroom3
