Official Symbol Interactor A	Official Symbol Interactor B
BRCA1	BARD1
BRCA1	RB1
BRCA1	TP53
BRCA2	FANCG
BRCA1	RBBP8
BUB1	HDAC1
BUB1B	HDAC1
BUB3	HDAC1
CDC20	HDAC1
CDH1	HDAC1
MAD1L1	HDAC1
BUB3	HDAC2
CDC20	HDAC2
CDH1	HDAC2
MAD1L1	HDAC2
BLM	MLH1
FANCF	FANCA
FANCF	FANCC
FANCF	FANCE
FANCF	FANCG
ABL1	RB1
ABL1	BRCA1
BRCA1	ABL1
CDH1	CTNND1
TOP3A	BLM
CBL	ZAP70
AR	CDK7
MSH2	CHEK2
BCL3	NFKB1
CSNK2A1	CHEK1
CDH1	CTNNB1
BCL3	NFKB1
NFKB1	NFKB1
CTNNB1	GSK3B
HDAC1	HMG20B
HMG20B	HDAC1
HMG20B	KDM1A
HMG20B	PHF21A
KDM1A	HMG20B
PHF21A	HMG20B
BRCA2	HMG20B
RCOR1	HMG20B
HDAC2	HMG20B
HMG20B	BRCA2
HMG20B	RCOR1
HMG20B	HDAC2
CDH1	SRC
SRC	PIK3R1
CTBP1	IKZF1
SMAD6	CTBP1
BLM	CHAF1A
MCL1	BID
TP53	BLM
BLM	TP53
BRCA1	TP53
RBBP8	BRCA1
CTBP1	RBBP8
BMPR2	ACVR1
ACVR1	BMPR2
DAXX	AR
CTNND1	CDH1
AR	STAT3
BCR	GRB2
APC	XPO1
TGIF1	CTBP1
CLSPN	BRCA1
BRCA2	SHFM1
BRCA2	RAD51
CTNNB1	CDH1
CTNNB1	CTNNA1
CTNNB1	CDH1
SRC	ESR2
BCR	ABL1
BRE	BARD1
BRCC3	BARD1
BRE	BRCA1
BRCC3	BRCA1
BRCA2	BRE
BRCC3	BRE
BRCA2	BRCC3
BARD1	RAD51
BRCA1	RAD51
BRCA2	RAD51
BRE	RAD51
BRCC3	RAD51
SP1	AR
BRCA1	ESR1
BARD1	EWSR1
CDH1	CTNNB1
CDH1	VCL
BRCA2	RAD51
SRC	BCAR1
FANCD2	BRCA2
APC	APC
BRCA1	TUBG1
TFAP2A	APC
APC	TFAP2A
GRB2	GAB2
GSK3B	AR
MUC1	GSK3B
FANCC	STAT1
CTNNB1	APC
FANCC	GSTP1
MDC1	H2AFX
CHEK2	BRCA1
BCR	HCK
C11orf30	CBX1
BRCA1	MRE11A
RAD50	MRE11A
MRE11A	RAD50
SMAD7	BMPR1A
SMAD7	TGFBR1
CDC20	MAD2L1
LYN	MUC1
BARD1	BRCA1
BARD1	CSTF2
BRCA1	CSTF2
BCAR1	PTK2
BCAR1	PXN
CDH1	CTNNA1
CDH1	CTNNB1
CDH1	CTNND1
CDH1	JUP
BRCA1	POLR2A
TP53BP1	PAXIP1
PAXIP1	TP53BP1
BARD1	TP53
BRCA1	TP53
RAD51	TP53
BRCA2	TP53
BRE	TP53
BRCC3	TP53
HSPA1A	AR
HSP90AA1	AR
PLK1	BRCA2
CAV1	AR
BRCA1	BRIP1
BRCA1	BRIP1
HMG20B	KIF4A
BRCA1	RB1
BARD1	CSTF2
BRCA1	BARD1
CDH1	CSE1L
CDH1	CTNNB1
CDK1	GADD45A
GADD45A	CDKN1A
BLM	TP53
NBN	H2AFX
BRCA1	ATF1
BRCA2	BCCIP
CDHR2	MAST2
CREBBP	CREB1
BRCA2	KAT2B
CCND1	AR
CCND1	HDAC3
BCR	CRKL
BRCA1	SP1
BRCA1	POLR2A
AR	FOXO1
BRCA2	KAT2B
BRCA1	ESR1
FOXA1	AR
RAD51D	BLM
BLM	XRCC2
BRCA2	SMAD3
MUC1	ERBB2
JUP	CTNNA1
CTNNA1	CTNNB1
CTNNA1	JUP
LMO4	LDB1
NBN	MRE11A
NBN	RAD50
C11orf30	ZMYND11
NCOR1	AR
BRCA1	RAD50
GADD45A	PCNA
BRCA2	RPA1
RBBP8	RBBP8
NUFIP1	CCNT1
RAN	XPO1
BCAR1	CRKL
BCAR1	CRK
BRCA1	TP53
CBL	PDGFRA
BRCA1	RBBP8
BCL2	MYC
CDH1	CTNNB1
CDH1	CTNND1
CDH1	JUP
MUC1	CTNNB1
ABL1	RAD51
RAD52	RAD51
RAD51	RAD52
RB1	RBBP8
RB1	HDAC1
ETV6	ETV6
GNB2L1	PTPRM
BRCA2	RAD51
CHEK1	TP53
ATM	BLM
RBBP7	BRCA1
ABL1	ABI2
BRCA1	NELFB
BRCA2	FANCD2
MDM2	CTBP1
BRCA1	ACACA
RAD51	BLM
DCC	AR
APC	CSNK2A1
CDH1	VCL
BCAR1	ABL1
CRKL	PXN
NCOR2	AR
SRC	ESR1
SRC	AR
NCOA6	THRA
SFN	ERRFI1
SFN	AJUBA
AR	CTNNB1
CHEK1	BLM
FANCC	FANCA
FANCA	FANCG
RAD51	RAD51
BRCA2	FLNA
MUC1	JUP
MEN1	FANCD2
PTEN	AR
TP53BP1	TP53
DYNLL1	TP53BP1
MDM2	TP53
CBL	CRKL
BRCA1	RBBP8
CDH1	CDH1
CDH3	CDH1
CDH1	CDH3
BCL2L1	BAK1
NCOA6	RXRA
ZMIZ1	AR
SMAD3	AR
FANCA	FANCG
BRCA1	RELA
TERF2	WRN
ATF2	ATF2
JUN	ATF2
ATF2	JUN
CTNNB1	MUC1
BLM	WRN
CBL	GRB2
BCR	GRB2
ETV6	GRB2
CTNNB1	LEF1
BMPR2	BMPR1A
BMPR2	BMPR1B
BMP2	BMPR2
BMP7	BMPR2
BMPR1A	BMPR2
BMPR1B	BMPR2
AR	TGFB1I1
NCOA6	HIST2H3C
ATM	BRCA1
CDK2	BRCA1
BCR	CRKL
BCR	KIT
BRCA1	BARD1
NELFB	ESR1
TP53	SFN
ATM	ABL1
CRKL	ABL1
RAD51	ABL1
FANCA	SPTAN1
FANCA	SPTAN1
ERCC4	SPTAN1
CTNNB1	APC
CTNNB1	APC
GSK3B	APC
KIFAP3	APC
CDC27	ANAPC1
CDC27	ANAPC10
CDC27	ANAPC11
CDC27	ANAPC4
CDC27	ANAPC5
CDC27	CDC16
CDC27	ANAPC7
CDC27	CDC23
CTNNB1	AR
EGFR	AR
EGFR	AR
KAT7	AR
NR2C1	AR
RANBP9	AR
SMAD3	AR
SRC	AR
ABL1	ABL2
AR	NCOA6
ASCL2	NCOA6
ATF2	NCOA6
E2F1	NCOA6
KMT2C	NCOA6
RB1	NCOA6
NCOA6	ASCL2
GADD45B	MAP3K5
ABL1	ATM
BRCA1	BARD1
BRCA1	BARD1
APC	CTNNB1
TCF4	CTNNB1
BARD1	BRCA1
BARD1	BRCA1
CCNA2	BRCA1
CDK2	BRCA1
LMO4	BRCA1
FANCA	SMARCA4
ABL2	ABL1
CRKL	CBL
GADD45A	CDK1
CDC20	CDC27
CDH3	CDH3
CDKN1A	CDK2
GADD45G	CDKN1A
GADD45A	CDKN1A
TP53	CDKN1A
TP53	CHEK1
APC	CSNK2A1
BCR	KIT
ESR1	NELFB
BRCA1	CREBBP
ABL1	CRKL
BRCA1	CSTF2
RASGRF1	MARK3
HDAC1	CTBP1
POLR2A	CTDP1
LMO4	RBBP8
SIAH1	RBBP8
CTNNB1	CTNND1
APC	CTNNA1
CDH3	CTNNA1
CDH5	CTNNA1
APC	CTNNB1
SMARCA4	CTNNB1
CDH3	CTNNB1
CDH5	CTNNB1
MUC1	CTNNB1
CDH1	CTNNB1
CDH1	CTNNB1
EGFR	CTNNB1
ERBB2	CTNNB1
ERBB2	CTNNB1
PTPRF	CTNNB1
PSEN1	CTNNB1
SMAD7	CTNNB1
SHC1	DOK1
INPP5D	DOK1
RASA1	DOK2
TOPBP1	E2F1
APC	MAPRE2
NCOA3	EP300
CTNNB1	ERBB2
SPTAN1	FANCA
SMARCA4	FANCA
FANCC	FANCA
FANCF	FANCA
FANCG	FANCA
FANCG	FANCA
SPTAN1	FANCC
FANCA	FANCC
FANCA	FANCC
FANCE	FANCC
FANCG	FANCC
FANCC	FANCF
FANCG	FANCF
FANCA	FANCG
FANCA	FANCG
FANCA	FANCG
CDK1	GADD45A
CDKN1A	GADD45A
PCNA	GADD45A
GADD45GIP1	GADD45A
PCNA	GADD45A
PCNA	GADD45A
GADD45GIP1	GADD45G
CTNNB1	JUP
CBL	HCK
SIN3A	HDAC9
CTBP1	HDAC2
CTBP2	MDM2
SIN3A	IKZF1
APC	JUP
CDH3	JUP
CDH5	JUP
SMAD7	LEF1
BRCA1	LMO4
CDC20	MAD2L1
RASSF1	MAP1B
GADD45B	MAP2K7
SRC	PELP1
BRCA1	MYC
GADD45GIP1	GADD45B
AR	NCOR1
RANBP9	NR3C1
BRCA1	NUFIP1
RBBP8	RBL2
TFAP2A	TP53
GADD45G	PCNA
GADD45A	PCNA
GADD45A	PCNA
GADD45A	PCNA
BCR	PIK3CG
ABL1	RAD51
BRCA2	RAD51
RAD51	RAD51
MAP1S	RASSF1
NCOA6	RBBP5
ASCL2	RBBP5
KMT2C	RBBP5
DHX9	RELA
TP53	RPA1
TP53BP1	RPA1
GADD45A	RXRA
DOK1	SHC1
INPP5D	SHC1
DOK1	INPP5D
SHC1	INPP5D
HCFC1	SIN3A
AR	SMAD3
FANCC	STAT1
CTNNB1	HNF4A
MED21	GTF2E1
MED21	GTF2F1
MED21	GTF2H4
PTK2B	TGFB1I1
HDAC1	TGIF1
BLM	TOP3A
WRN	TERF2
RASSF1	MAP1S
MAPK1	NEK2
ELAVL4	NXF1
PPIG	PNN
PNN	PPIG
SMAD2	ZFYVE9
SMAD3	ZFYVE9
PML	ZFYVE9
ZFYVE9	PML
SF3B4	BMPR1A
PPL	KAZN
AMFR	VCP
EIF3K	CCND3
ASIC3	LIN7B
ASIC3	GOPC
ASIC3	MAGI1
RNF41	USP8
PEBP4	MAP2K1
PEBP4	RAF1
HDAC1	DDX5
HDAC1	DDX17
DDX17	HDAC1
DDX5	HDAC1
HDAC3	RUNX2
BAIAP2	EPS8
DOK5	RET
SPATC1	CDC20
XIAP	DIABLO
PML	MAPK11
MTOR	RPTOR
MTOR	RICTOR
RICTOR	MTOR
RPTOR	MTOR
FKBP1A	MTOR
FKBP1A	RPTOR
APIP	APAF1
CDCA8	AURKB
CDCA8	BIRC5
NCSTN	APH1A
NCSTN	PSEN1
LRSAM1	TSG101
PARD6A	ECT2
ECT2	PARD6A
DNM1	FNBP1
DNM1	PACSIN1
FNBP1	DNM1
CDCA8	INCENP
CDCA8	AURKB
CDCA8	BIRC5
AURKB	AURKB
AURKB	INCENP
SUMO4	NFKBIA
VPS37A	VPS28
HELZ	SMYD3
SMYD3	HELZ
SMYD3	HSP90AA1
HSP90AA1	SMYD3
BCL2	SOD1
SOD1	BCL2
POT1	ACD
POT1	TINF2
TINF2	ACD
ACD	TINF2
TINF2	POT1
ACD	TERF1
GTF2H5	CDK7
GTF2H5	ERCC3
GTF2H2	GTF2H5
VPS37B	TSG101
VPS37B	VPS28
VIMP	VCP
VIMP	DERL1
DERL1	HLA-A
PRKCD	RASGRP3
RASGRP3	PRKCD
PML	MDM2
PML	RPL11
PML	MYB
PLXNA1	PLXNA1
SORBS3	MAPK1
ANKRD11	HDAC3
HDAC3	ANKRD11
SCP2	CAV1
CAV1	SCP2
ACD	TINF2
ACD	POT1
MED10	MED8
MED10	MED12
MED10	CDK8
MED10	POLR2A
MED26	MED8
MED26	MED12
MED26	CDK8
MED26	POLR2A
NSD1	ZNF496
PRPF6	TXNL4B
INCA1	CCNA1
GPS2	CCNA1
NCAPG	DNMT3B
DNMT3B	NCAPG
SH3KBP1	ARHGAP27
SEH1L	NUP107
SEH1L	NUP85
SEH1L	NUP133
NUP107	NUP133
NUP107	NUP85
NUP107	NUP160
NUP43	NUP133
NUP43	NUP107
NUP43	NUP85
NUP37	NUP107
NUP43	NUP37
NUP43	NUP160
SEC13	NUP37
SEC13	NUP160
SEC13	NUP133
SEC13	NUP107
SEC13	NUP85
SEC13	SEC31A
SMAD2	ANAPC10
SMAD3	ANAPC10
PAX6	IPO13
CACNA1C	CABP1
VGLL4	TEAD1
RELA	PIAS3
PIAS3	RELA
CREBBP	RELA
TCAP	ANKRD2
YBX1	ANKRD2
PML	ANKRD2
TP53	ANKRD2
CLTCL1	SNX5
PTK2B	CBL
CBL	PTK2B
SORBS2	CBL
SORBS2	PTK2B
SORBS1	CBL
CD2AP	CBL
CBL	SORBS2
CBL	SORBS1
CBL	CD2AP
FLOT1	SORBS1
CMIP	FLNA
AGTR2	MTUS1
HSPB8	HSPB1
ITGA7	FHL3
ITGA7	FHL2
DCTN1	BBS4
PHACTR1	PPP1CA
PPP1CA	PHACTR1
PCNA	XRCC1
XRCC1	PCNA
NLRC4	NLRC4
NLRC4	NOD2
CASP1	NLRC4
ZDHHC23	NOS1
BLOC1S6	BLOC1S5
BLOC1S6	SNAPIN
BLOC1S6	BLOC1S2
BLOC1S6	BLOC1S1
DTNBP1	BLOC1S6
DTNBP1	BLOC1S5
DTNBP1	SNAPIN
DTNBP1	BLOC1S1
DTNBP1	BLOC1S2
DTNBP1	BLOC1S3
BLOC1S6	BLOC1S3
BLOC1S2	BLOC1S6
BLOC1S2	BLOC1S5
BLOC1S2	SNAPIN
BLOC1S2	BLOC1S1
BLOC1S2	BLOC1S3
BLOC1S3	BLOC1S2
BLOC1S3	BLOC1S6
TERF2	RAD50
TERF2	XRCC5
TERF2	TERF2IP
TERF2IP	RAD50
TERF2IP	XRCC5
TERF2IP	TERF2
BRCA1	CLSPN
SHC1	MAPKAPK2
PHC2	MAPKAPK2
MAPK1	MAPKAPK2
PRMT1	DHX9
SMAD3	FOXO3
SMAD4	FOXO3
SMAD3	SMAD4
FOXO3	SMAD4
ANAPC5	PABPC1
ANAPC5	CDC27
CNKSR1	RASSF1
RASSF1	CNKSR1
CASP2	CRADD
PIDD1	CRADD
CASP2	PIDD1
OPRK1	SLC9A3R1
SRC	ND2
TAF15	SAFB
TRPV1	SYT9
TRPV1	SNAPIN
CASK	TSPYL2
TBR1	CASK
TICAM1	RIPK1
RIPK1	TICAM1
TACC1	AURKA
MLPH	RAB27A
MLPH	MYO5A
NEDD9	SMAD3
NEDD9	ITCH
DNTTIP2	ESR1
TSKS	TSSK2
APTX	TP53
APTX	XRCC1
APTX	PARP1
PARP1	TP53
PARP1	APTX
PARP1	XRCC1
XRCC1	APTX
XRCC1	PARP1
PINX1	MCRS1
MCRS1	TERT
CLSTN1	APBA2
CLSTN1	APP
RASIP1	HRAS
AR	SART3
STX18	ZW10
STX18	RINT1
STX18	SEC22B
STX5	SEC22B
RINT1	ZW10
RINT1	STX18
ZW10	RINT1
ZW10	STX18
ING4	RELA
KCNJ12	DLG4
KCNJ12	DLG1
KCNJ12	DLG2
KCNJ12	DLG3
KCNJ12	LIN7A
KCNJ12	LIN7C
KCNJ12	CASK
KCNJ12	LIN7B
KCNJ4	DLG1
KCNJ4	CASK
KCNJ4	LIN7C
KCNJ4	SNTA1
ERBB4	YAP1
CTNNB1	CDH1
GPR124	DLG1
MYOCD	SRF
ULK1	SYNGAP1
ULK1	SDCBP
RAB5A	SDCBP
PTRH2	AES
AES	PTRH2
STX1A	SCNN1G
SMAD4	BTRC
NCOR2	ZBTB16
NCOR2	RUNX1T1
NR4A1	BCL2
BCL2	NR4A1
BCL2	BAX
BCL2	BAK1
BCL2	BCL2L1
AGO2	DDX20
AGO2	GEMIN4
KCNJ12	CASK
KCNJ12	DLG1
KCNJ12	DLG4
KCNJ12	APBA1
KCNJ12	LIN7A
KCNJ12	LIN7B
KCNJ12	LIN7C
KCNJ4	DLG1
KCNJ4	CASK
KCNJ4	DLG4
KCNJ4	LIN7C
DLG1	CASK
DLG1	LIN7A
DLG1	LIN7C
DLG1	KCNJ12
LIN7A	CASK
LIN7A	DLG1
LIN7C	CASK
LIN7C	APBA1
LIN7C	DLG1
NUP214	ZFP36
TRPC6	FYN
FYN	TRPC6
CEBPB	MED23
MED23	CEBPB
NUB1	UBD
UNC119	CD247
CD4	UNC119
LCK	UNC119
FYN	UNC119
RNF11	STAMBP
UBE2I	DNMT3A
DNMT3A	UBE2I
DNMT3A	PIAS1
DNMT3A	PIAS2
PIAS1	DNMT3A
PIAS2	DNMT3A
DNMT3A	DNMT3B
PAK1	ARPC1B
ARPC1B	PAK1
AKT1	AKTIP
LOXL1	FBLN5
DET1	DDB1
DET1	CUL4A
DET1	RFWD2
RFWD2	DET1
RFWD2	DDB1
RFWD2	CUL4A
RFWD2	RBX1
RFWD2	JUN
RGS6	DMAP1
ERC2	RIMS1
MYO5A	MLPH
MAPK1	FHL2
KLF7	FBXO38
FBXO38	KLF7
PPARGC1A	NR1H4
TGFBR1	SMAD7
SMAD7	SMURF2
SMAD7	SMURF1
GABBR1	JAKMIP1
SS18L1	CREBBP
CBFA2T2	RUNX1T1
CBFA2T3	RUNX1T1
MCF2L	RAC1
MCF2L	CDC42
CTBP1	FOXP2
FOXP1	FOXP2
FOXP1	FOXP4
FOXP2	FOXP4
NDC80	SPC25
SPC25	NDC80
STARD13	TUBA1A
PIAS3	SMAD2
PIAS3	SMAD3
PIAS3	SMAD4
HNRNPA1	FEN1
LPAR2	TRIP6
ITPR1	CABP1
COMMD1	NFKBIA
HECW1	DVL1
MAPK7	YWHAB
HIPK2	DAXX
CAV1	PLD2
PLD2	CAV1
ELANE	NOTCH2NL
MAP3K7	TAB1
MAP3K7	TAB2
MAP3K7	TAB3
TAB1	TAB2
TAB1	TAB3
TAB1	MAP3K7
TAB2	MAP3K7
TAB2	TAB1
TAB3	MAP3K7
TAB3	TAB1
GATA1	HDAC3
HDAC3	GATA1
GATA1	HDAC4
GATA1	HDAC5
HDAC4	GATA1
HDAC5	GATA1
ATF3	JUN
ING1	DMAP1
NECAP1	AP1G1
NECAP2	AP1G1
AP1G1	NECAP1
AP1G1	NECAP2
GRM3	PPM1A
ARF6	EXOC5
OTUB1	RNF128
RIMS2	RAPGEF4
NOL8	RRAGA
NEK9	SSRP1
ATR	MSH2
MSH2	ATR
BCAR1	SRCIN1
SRCIN1	BCAR1
BCAR1	CRK
RNF111	SMAD3
RNF111	SMAD7
SMAD7	RNF111
TGFBR1	SMURF1
TGFBR1	SMAD7
GNAI1	GPSM3
EIF6	GNB2L1
BRCA2	C11orf30
CBX7	RING1
CCND3	AKAP8
AKAP8	CCND3
CCND3	CDK4
SMAD3	NOTCH1
MED10	MED1
MED10	MED19
MED10	MED4
MED10	MED8
MED10	MED18
MED10	MED11
MED10	MED29
MED10	MED17
MED19	MED29
MED19	MED1
MED19	MED17
MED19	MED19
MED19	MED4
MED19	MED8
MED19	MED18
MED19	MED11
MED29	MED29
MED29	MED1
MED29	MED17
MED29	MED19
MED29	MED4
MED29	MED8
MED29	MED18
MED29	MED11
PHB	E2F1
CCL5	CCR5
PPARGC1A	MED1
PPARGC1A	MED17
PPARGC1A	MED12
PPARGC1A	MED14
ARHGEF1	GNA13
ARHGEF1	GNA12
RGS4	GNAQ
RGS16	GNAQ
E2F7	E2F7
MAP3K7	TAB3
TAB3	TAB2
TAB3	MAP3K7
TAB2	TAB3
TAB2	TAB2
TAB2	TRAF6
TAB3	TRAF6
TRAF6	MAP3K7
TRAF2	MAP3K7
FCHSD2	MAGI1
BTK	GTF2I
NCL	S100A11
ZNF423	PARP1
EIF4E2	ARIH1
ZFYVE16	TOM1
TOM1	ZFYVE16
EID2	SMAD3
SMAD3	EID2
MDM2	TP53
MDM2	CDKN2A
MDM2	RPL11
RPL11	TP53
RPL11	MDM2
CDKN2A	TP53
CDKN2A	MDM2
TP53	CDKN2A
TP53	RPL11
TP53	MDM2
KLF5	SET
KLF5	EP300
RAD9A	RAD1
RAD9A	HUS1
RAD9A	RAD17
RAD9A	HUS1B
TIMELESS	TIPIN
TIPIN	RPA1
RGS2	PRKG1
VAMP4	AP1M1
NCS1	PI4KB
TXNDC17	DYNLL1
CKAP5	TACC1
TACC1	CKAP5
TACC1	TDRD7
TDRD7	CDK17
TDRD7	TACC1
TACC1	AURKA
DTNB	KIF5A
DCTN1	DYNC1H1
HBEGF	ZBTB16
FNBP1	TNKS
NTNG1	LRRC4C
MARK4	TUBG1
HSPB8	HSPB8
HSPB7	HSPB8
HSPB2	HSPB8
NDN	E2F1
NDNL2	E2F1
NDN	NGFR
NDNL2	NGFR
DCAF7	DYRK1A
DCAF7	DYRK1B
SKP2	TCF3
TNFRSF1A	TRPC4AP
