Official Symbol Interactor A	Official Symbol Interactor B
Fancc	Gstp1
Leo1	Paf1
AF366264	Trp53
AF366264	Mdm2
Park2	Sh3gl2
Park2	Sh3gl3
Pfn2	Dnm1
Ikbkg	Rnf31
Ikbkg	Rbck1
Ikbkg	Hspa1b
Gli1	Sufu
Gli1	Smarcb1
Dmrt2	Hnrnpd
Dmrt2	Hnrnpm
Ywhae	Ctnnd1
Ywhae	Usp8
Tex19.1	Ubr2
Ccnd1	Cryab
Ccnd1	Cdk4
Ccnd1	Cdkn1a
Spi1	Sin3a
Spi1	Hdac2
Mecp2	Prmt6
Apoe	Set
Ctcf	Ubtf
Ctcf	Polr1a
Rlim	Zfp42
Zfand2a	Psmd1
Zfand2a	Psmd2
Zfand2a	Psmd7
Rnf2	Phc1
Rnf2	Phc2
Rnf2	Pcgf6
Rnf2	Ring1
Rnf2	Rnf2
Rnf2	Rybp
Rnf2	Bcor
Rnf2	Kdm2b
Rnf2	Hdac2
Rnf2	Mga
Rnf2	L3mbtl2
Rnf2	Dmap1
Rnf2	Rbbp5
Rnf2	Wdr5
Rnf2	Kdm1a
Rnf2	Csnk2a1
Suz12	Ezh2
Suz12	Eed
Suz12	Ezh1
Suz12	Phf19
Suz12	Mtf2
Suz12	Jarid2
Suz12	E130012A19Rik
Tcf3	Ube2i
Tcf3	Id3
Runx1	Cbfb
Runx1	Sin3a
Pcgf2	Rnf2
Pcgf2	Rybp
Pcgf2	Cbx7
Rybp	Ring1
Rybp	Rnf2
Rybp	Pcgf1
Rybp	Pcgf2
Cbx7	Pcgf2
Cbx7	Rnf2
Vezf1	Morf4l1
Pou5f1	Pou5f1
Pou5f1	Actl6a
Pou5f1	Akap8
Pou5f1	Arid3b
Pou5f1	Ash2l
Pou5f1	Chd4
Pou5f1	Ctbp2
Pou5f1	Ctnnb1
Pou5f1	Cul4b
Pou5f1	Dnaja1
Pou5f1	Dpf2
Pou5f1	Esrrb
Pou5f1	Frg1
Pou5f1	Gatad2a
Pou5f1	Gatad2b
Pou5f1	Hcfc1
Pou5f1	Hdac1
Pou5f1	Hells
Pou5f1	Hnrnpl
Pou5f1	Hnrnpu
Pou5f1	Kdm1a
Pou5f1	Kif11
Pou5f1	L1td1
Pou5f1	Matr3
Pou5f1	Mbd3
Pou5f1	Msh2
Pou5f1	Msh6
Pou5f1	Mta2
Pou5f1	Mta3
Pou5f1	Nacc1
Pou5f1	Ogt
Pou5f1	P4ha1
Pou5f1	Parp1
Pou5f1	Ppp1cc
Pou5f1	Rad21
Pou5f1	Rbbp7
Pou5f1	Rcor2
Pou5f1	Rif1
Pou5f1	Rnf2
Pou5f1	Rpa1
Pou5f1	Sall1
Pou5f1	Sall4
Pou5f1	Smarca4
Pou5f1	Smarca5
Pou5f1	Smarcc1
Pou5f1	Ssrp1
Pou5f1	Supt16
Pou5f1	Wdr5
Pou5f1	Zmym2
Grin1	Cltc
Grin1	Grin2b
Grin1	Grin2a
Grin1	Syngap1
Grin1	Actn2
Grin1	Dnm1
Grin1	Dlg2
Grin1	Dlg3
Grin1	Nsf
Grin1	Dlg4
Grin1	Dlgap1
Grin1	Ppp2ca
Grin1	Camk2b
Grin1	Ppp3ca
Smc1a	Smc3
Per2	Clock
Per2	Arntl
Per2	Cry1
Per2	Csnk1e
Per2	Sfpq
Per1	Clock
Per1	Arntl
Per1	Cry1
Per1	Csnk1e
Nanog	Nanog
Nanog	Psmd11
Nanog	Dnttip1
Nanog	Nr0b1
Nanog	Phc1
Nanog	Nacc1
Nanog	Sall4
Nanog	Stag1
Nanog	Pml
Nanog	Zfp281
Nanog	Msh6
Nanog	Trim28
Nanog	Arid5b
Nanog	Rif1
Nanog	Mta2
Nanog	Hdac1
Nanog	Csnk2a1
Nanog	Wdr18
Nanog	Mbd3
Nanog	Wapal
Nanog	Mov10
Nanog	Pogz
Nanog	Chd4
Nanog	Rfc4
Nanog	Rnf2
Nanog	Sox2
Nanog	Dnaja1
Nanog	Smarca5
Map1lc3a	Sqstm1
Inpp5d	Cbl
Crk	Cbl
Dok1	Inpp5d
Dok1	Rasa1
Dok1	Abl1
Dok1	Tec
Dok1	Csk
Dok2	Rasa1
Gab2	Ptpn11
Shc1	Inppl1
Shc1	Grb2
Shc1	Inpp5d
Stam2	Hgs
Lrrk2	Hsp90aa1
Rab33b	Atg16l1
Bap1	Hcfc1
Bap1	Ogt
Prnp	Dpp6
Aph1a	Psen1
Lipc	Canx
Lipc	Calr
Cul3	Zbtb16
Zbtb16	Cul3
Zbtb16	Satb1
Zbtb16	Lmnb1
Zbtb16	Hdac1
Dnaja3	Polg
Htt	Cacna2d1
Htt	Snap25
Htt	Pkm
Npm1	Rpl5
Npm1	Rpl7
Whsc1	Smarca4
Whsc1	Sall1
Whsc1	Ogt
Lin7c	Apba1
Lin7c	Ppfia2
Lin7c	Cask
Dmd	Dag1
Dmd	Nos1
Dmd	Snta1
Dmd	Sntb1
Dmd	Sntb2
Dmd	Ptrf
Dmd	Cryab
Dmd	Ldb3
Foxp3	Ash2l
Foxp3	Bcl11b
Foxp3	Cbfb
Foxp3	Chd4
Foxp3	Foxp1
Foxp3	Gata3
Foxp3	Hdac2
Foxp3	Ikzf3
Foxp3	Kdm1a
Foxp3	Rcor1
Foxp3	Smarca4
Foxp3	Smarca5
Foxp3	Smarcc1
Foxp3	Smarce1
Pi4ka	Efr3b
Pi4ka	Ttc7b
Csrp2bp	Csrp2bp
Csrp2bp	Kat2a
Csrp2bp	Tada3
Csrp2bp	Mbip
Csrp2bp	Wdr5
Csrp2bp	Yeats2
Csrp2bp	Dr1
Socs2	Cul5
Ighmbp2	Gtf3c1
Ighmbp2	Ruvbl2
Ighmbp2	Ruvbl1
Dlg3	Tjap1
Dlg3	Nedd4l
Dlg3	Ppp1cc
Dlg3	Dync1i1
Ppargc1a	Mybbp1a
Dab1	Crkl
Rnf123	Ubc
Atg5	Atg16l1
Atg5	Atg12
Bcl2	Ppp2ca
Bcl2	Ppp3r1
Tet1	Sin3a
Pin1	Irak1
Smc6	Eid3
Ahi1	Mks1
Mks1	Tctn2
Nphp1	Rpgrip1l
Nphp1	Nphp4
Nphp4	Nphp1
Nphp4	Rpgrip1l
Iqcb1	Cep290
Cep290	Iqcb1
Rpgrip1l	Nphp4
Rpgrip1l	Nphp1
Ywhaz	Ak5
Ywhaz	Arhgef7
Ywhaz	Git1
Ywhaz	Ldb1
Ywhaz	Madd
Ywhaz	Mark3
Ywhaz	Pde1a
Ywhaz	Smarcb1
Ywhaz	Syngap1
Npm1	Rock2
Dnajc1	Hspa5
Vcp	Nsfl1c
Vcp	Ufd1l
Vcp	Ube4b
Vcp	Nploc4
L3mbtl2	Chd4
L3mbtl2	Hdac1
L3mbtl2	Mbd3
L3mbtl2	Mta3
L3mbtl2	Hdac2
L3mbtl2	Rbbp4
L3mbtl2	Rbbp7
L3mbtl2	E2f6
L3mbtl2	Rnf2
L3mbtl2	Cbx3
L3mbtl2	Rybp
L3mbtl2	Ehmt2
L3mbtl2	Esrrb
L3mbtl2	Pou5f1
Cdkn2a	Npm1
Fbxo32	Cul1
Fbxo32	Des
Fbxo32	Myod1
Fbxo32	Skp1a
Fbxo32	Vim
Rara	Pura
Rara	Pabpc1
Rara	Hnrnpu
Rara	Nono
Rara	Sfpq
Rara	Ywhaz
E130012A19Rik	Suz12
Ndel1	Dync1h1
Ndel1	Arhgap1
Ndel1	Pafah1b1
Ndel1	Ywhae
Mapt	Hspa8
Mapt	Efhd2
Nanog	Csnk2a1
Nanog	Nanog
Nanog	Sall4
Nanog	Esrrb
Nanog	Nacc1
Nanog	Nr0b1
Nanog	Sall1
Nanog	Zfp281
Nanog	Sox2
Nanog	Arid3b
Nanog	Smarca5
Nanog	Bptf
Nanog	Zfp609
Nanog	Arid5b
Nanog	Mbd3
Nanog	Gatad2a
Nanog	Gatad2b
Nanog	Mta2
Nanog	Mta3
