source target sign
DNAA RECF -
DNAA NRDA +
GLRR RSEA +
GLRR RSEB +
GLRR RSEC +
GLRR RPOE +
GLRR GLMY +
H-NS CYDA -
H-NS RRFB -
H-NS ADIY -
H-NS FIMB -
H-NS GSPM -
H-NS FLHC +
H-NS HDED -
H-NS BGLG -
H-NS GSPI -
H-NS NIRB -
H-NS FIMF +
H-NS FLHD +
H-NS GALT -
H-NS GSPD -
H-NS MDTE -
H-NS SLP -
H-NS YFAE -
H-NS DCTR -
H-NS FIME -
H-NS GSPB -
H-NS CHIA -
H-NS CYDB -
H-NS GSPK -
H-NS GADW -
H-NS FTNA -
H-NS YHID -
H-NS FAU -
H-NS YJJP -
H-NS EVGS -
H-NS CADC -
H-NS FIMD +
H-NS EVGA -
H-NS APPY -
H-NS GSPL -
H-NS GALE -
H-NS FIMA +
H-NS YDEO -
H-NS NRDD -
H-NS HDEA -
H-NS YDEP -
H-NS GADX -
H-NS FIMH +
H-NS SSRS -
H-NS CASC -
H-NS GADF -
H-NS HNS -
H-NS DPS -
H-NS GALK -
H-NS HLYE -
H-NS RCSB -
H-NS GALM -
H-NS NIRD -
H-NS GSPJ -
H-NS YCIG -
H-NS GADA -
H-NS CASE -
H-NS BGLF -
H-NS CAS2 -
H-NS MDTF -
H-NS FIMC +
H-NS YCIE -
H-NS LACA -
H-NS LRP -
H-NS CASB -
H-NS GSPH -
H-NS GSPF -
H-NS BGLJ -
H-NS FIMG +
H-NS GSPE -
H-NS RRLB -
H-NS GSPA -
H-NS RCSD -
H-NS GSPO -
H-NS BGLB -
H-NS HDEB -
H-NS YCIF -
H-NS NRDA -
H-NS NRDG -
H-NS FIMI +
H-NS LACY -
H-NS YJJQ -
H-NS YHIM -
H-NS CASA -
H-NS CAS1 -
H-NS GSPC -
H-NS GLTT -
H-NS LEUO -
H-NS GADE -
H-NS CYSG -
H-NS RRSB -
H-NS LACZ -
H-NS CASD -
H-NS HCHA -
H-NS GSPG -
H-NS NIRC -
H-NS HDFR -
H-NS NRDB -
PUUR PUUE -
PUUR PUUC -
PUUR PUUB -
PUUR PUUP -
PUUR PUUR -
PUUR PUUD -
PUUR PUUA -
EVGA GADE +
EVGA GADF +
EVGA MDTF +
EVGA MDTE +
GADE-RCSB GADA +
GADE-RCSB CADB +
GADE-RCSB CADA +
GADE-RCSB SLP +
GADE-RCSB ASLB +
GADE-RCSB DCTR +
GADE-RCSB GADX +
GADE-RCSB ADIC +
