regulator 	 regulated 	 sign
oxyr	dsbg	+	strong
gals	galt	+	strong
rclr	rclc	+	strong
ihf	nuoi	-	strong
crp	yhch	+	strong
h-ns	bglb	-	strong
ntrc	glnl	+	strong
crp	comr	-	strong
mlra	csge	+	strong
cra	mtla	-	strong
nrdr	nrdf	-	strong
fur	gspg	-	strong
oxyr	sufd	+	strong
nhar	pgaa	+	strong
fliz	csge	-	strong
fear	feab	+	strong
mcbr	ycie	+	strong
mata	flia	-	strong
h-ns	gspo	-	strong
phob	ugpc	-	strong
fur	rnpb	-	strong
crp	mtld	+	strong
fur	oppf	-	strong
nimr	nimt	-	strong
metj	metr	-	strong
lexa	recx	-	strong
mqsa	csgf	-	strong
cbl	taub	+	strong
rsta	csge	-	strong
crp	mdte	-	strong
ihf	fhla	+	strong
nanr	yjhb	-	strong
cra	icd	+	strong
rcsab	flhc	-	strong
fliz	csgd	-	strong
leuo	bglj	+	strong
gadw	gadb	+	strong
lexa	umud	-	strong
dnaa	guab	-	strong
crp	nusa	-	strong
cpxr	ppia	+	strong
crp	yial	+	strong
ompr	pgad	-	strong
fis	thrt	+	strong
ihf	ihfb	-	strong
lrp	oppa	-	strong
iscr	hyab	-	strong
ihf	aceb	+	strong
rob	inaa	+	strong
crp	casc	-	strong
crp	paac	+	strong
arca	sdhb	+	strong
cpxr	ftnb	+	strong
lrp	oppf	-	strong
arac	araa	+	strong
fis	rrff	+	strong
mngr	mnga	-	strong
ihf	nirc	+	strong
ihf	csgg	+	strong
fur	fhuc	-	strong
narl	nari	+	strong
rob	fumc	+	strong
phop	heml	+	strong
metr	hmp	+	strong
crp	flhc	+	strong
ydeo	mdtf	+	strong
h-ns	gade	-	strong
chbr	chbg	-	strong
fis	nuoe	+	strong
fis	gyra	-	strong
phob	phng	+	strong
melr	melb	+	strong
phob	psie	+	strong
ompr	bola	-	strong
narp	ydhv	-	strong
phob	phnj	+	strong
ihf	ssua	-	strong
gade-rcsb	cadb	+	strong
gade	gade	+	strong
argr	gltd	-	strong
crp	yiam	+	strong
soxs	fur	+	strong
oxyr	trxc	+	strong
melr	melr	+	strong
fis	rrfb	+	strong
crp	csrc	-	strong
cysb	cysu	+	strong
fhla	hyca	+	strong
relb-rele	rele	-	strong
h-ns	fimc	+	strong
agar	kbay	-	strong
crp	udp	+	strong
cusr	cuss	+	strong
fis	dusb	-	strong
fis	rrfa	+	strong
fur	pyrc	-	strong
ihf	acek	+	strong
crp	cas1	-	strong
adiy	gadx	+	strong
mode	narl	+	strong
hypt	metq	+	strong
fis	marb	+	strong
fur	garp	-	strong
glpr	glpt	-	strong
ntrc	rsec	+	strong
cbl	ssue	+	strong
ihf	dusb	+	strong
ihf	envz	-	strong
argp	lysa	+	strong
evga	mdtf	+	strong
yefm-yoeb	yefm	-	strong
kdpe	kdpf	+	strong
rob	rob	-	strong
cra	pck	+	strong
trpr	yaia	-	strong
arca	hyad	+	strong
rhas	rhar	+	strong
flhdc	flgf	+	strong
lrp	dada	-	strong
ydeo	slp	+	strong
sgrr	sgrt	+	strong
nrdr	nrdh	-	strong
gade-rcsb	gadx	+	strong
adiy	adia	+	strong
mode	dmsa	-	strong
leuo	case	+	strong
iscr	sufe	+	strong
nrdr	nrdd	-	strong
arca	sdha	-	strong
h-ns	gspe	-	strong
fliz	hdeb	-	strong
mode	hyci	+	strong
ada	aidb	+	strong
ihf	nrfe	-	strong
crp	trxa	-	strong
xylr	xylh	+	strong
stpa	ssrs	-	strong
cynr	cyns	+	strong
fis	nuog	+	strong
nanr	nank	-	strong
narl	nrff	+	strong
ihf	prov	+	strong
gals	gale	-	strong
nhar	pgac	+	strong
flhdc	flim	+	strong
iclr	acek	-	strong
narl	fdhf	-	strong
lsrr	lsrg	-	strong
baer	acrd	+	strong
csgd	flgm	-	strong
dinj-yafq	dinj	-	strong
lrp	fimg	+	strong
phob	ugpq	-	strong
narl	nrfe	-	strong
uvry	csrb	+	strong
soxs	rob	-	strong
gade-rcsb	yhim	+	strong
mode	napf	+	strong
crp	deob	+	strong
cytr	tsx	-	strong
dpia	dpia	+	strong
crp	prpd	+	strong
mode	moad	+	strong
oxyr	sufe	+	strong
narl	nark	+	strong
hu	galt	-	strong
fhla	hypc	+	strong
ihf	prox	+	strong
argp	nrda	+	strong
mode	dmsb	-	strong
kdpe	kdpa	+	strong
uxur	lgor	-	strong
h-ns	nrdb	-	strong
crp	malt	+	strong
mode	naph	+	strong
h-ns	yhid	-	strong
h-ns	gspg	-	strong
cpxr	acrd	+	strong
crp	paai	+	strong
ihf	ilvx	-	strong
fis	gltv	+	strong
fis	nrff	-	strong
nanr	nant	-	strong
fliz	flhc	-	strong
ihf	ilvm	+	strong
h-ns	slp	-	strong
hipab	hipb	-	strong
fur	sufe	-	strong
dan	ttdr	+	strong
dpia	cite	+	strong
cpxr	efeu_2	-	strong
pgrr	ycjx	-	strong
phob	sbcc	-	strong
crp	secb	+	strong
ihf	paah	+	strong
ihf	paai	+	strong
fis	nrfd	-	strong
crp	yiao	+	strong
cusr	cusc	+	strong
cynr	cynt	+	strong
crp	glgc	+	strong
hypt	cyda	+	strong
ihf	paac	+	strong
pepa	carb	-	strong
arca	uvra	-	strong
fur	sufa	-	strong
lrp	argo	+	strong
leuo	casc	+	strong
gadx	gadx	+	strong
mqsa	rpos	-	strong
fnr	ydhy	+	strong
fis	nrfc	-	strong
fadr	fadd	-	strong
crp	kbaz	+	strong
lsrr	lsrd	-	strong
ihf	cysh	+	strong
h-ns	rrsb	-	strong
mode	deoa	-	strong
fnr	narh	+	strong
nimr	nimr	-	strong
flhdc	flii	+	strong
flhdc	flgd	+	strong
dpia	citd	+	strong
narl	dcua	-	strong
ihf	nuoh	-	strong
lsrr	lsrf	-	strong
rcda	bluf	+	strong
crp	argg	+	strong
fur	noha	-	strong
cpxr	rpra	+	strong
iscr	sufa	+	strong
gadw	gadc	+	strong
fis	quea	+	strong
fhla	hydn	+	strong
soxr	soxs	+	strong
soxs	ydbk	+	strong
cpxr	mdtb	+	strong
lrp	cadb	+	strong
xylr	xylg	+	strong
fis	gltw	+	strong
arca	succ	+	strong
agar	agas	-	strong
mode	napb	+	strong
ihf	gltd	+	strong
soxs	nfsb	+	strong
lsrr	lsra	-	strong
phob	phor	+	strong
phob	cuss	+	strong
fadr	iclr	+	strong
cpxr	mdtd	+	strong
flhdc	flie	+	strong
argr	lyso	-	strong
lrp	fimh	+	strong
mode	ccme	+	strong
ompr	dtpa	+	strong
crp	dcta	+	strong
ihf	nrfc	-	strong
crp	hlye	+	strong
dpia	exut	+	strong
mode	hycb	+	strong
agar	agad	-	strong
gadx	muri	-	strong
argp	lysp	+	strong
mara	ybjn	+	strong
cysb	taua	+	strong
narp	nrfd	+	strong
mngr	mngr	-	strong
iscr	napa	-	strong
sgrr	sgrr	-	strong
crp	agaa	+	strong
rcsb	ydep	+	strong
csgd	csgg	+	strong
rsta	csgg	-	strong
gade-rcsb	slp	+	strong
fnr	nrdg	+	strong
fis	nuom	+	strong
higb-higa	higb	-	strong
cpxr	csgd	-	strong
ntrc	rela	+	strong
mlc	ptsg	-	strong
ydeo	hyaa	+	strong
h-ns	gspc	-	strong
fis	rrse	+	strong
ihf	nuol	-	strong
pspf	pspg	+	strong
dan	ttdb	+	strong
lrp	csid	+	strong
pgrr	tyrr	-	strong
trpr	arom	-	strong
ydeo	uspd	+	strong
oxyr	hcp	+	strong
fur	fhud	-	strong
phob	phnp	+	strong
yeht	yjiy	+	strong
rcda	ydei	+	strong
gade	gadx	+	strong
h-ns	hded	-	strong
ihf	hycc	+	strong
lrp	rrlb	-	strong
crp	cas2	-	strong
cadc	cadb	+	strong
narp	ydhw	-	strong
ihf	sufa	+	strong
h-ns	gspm	-	strong
fis	ogt	-	strong
cra	epd	-	strong
fear	tyna	+	strong
crp	nupg	+	strong
pdel	pdel	+	strong
adiy	gadb	+	strong
cysb	ssub	-	strong
h-ns	ycig	-	strong
crp	ivbl	+	strong
fur	oppc	-	strong
crp	paab	+	strong
cytr	deod	-	strong
basr	csgd	+	strong
flhdc	flif	+	strong
phob	yedx	+	strong
flhdc	flit	+	strong
crp	deoc	+	strong
caif	caib	+	strong
basr	yrbl	-	strong
ular	ulab	-	strong
h-ns	dps	-	strong
iscr	rnlb	-	strong
ompr	csgd	+	strong
basr	fimb	+	strong
gade	gltf	+	strong
dnaa	guaa	-	strong
argr	gltb	-	strong
h-ns	ftna	-	strong
crp	prop	+	strong
nrdr	nrda	-	strong
crp	lyxk	+	strong
mlc	crr	-	strong
cysb	cysa	+	strong
caif	caie	+	strong
h-ns	gadx	-	strong
ihf	nuob	-	strong
h-ns	adiy	-	strong
tyrr	arom	-	strong
flhdc	flgb	+	strong
pgrr	mpaa	-	strong
phob	phob	+	strong
crp	yhfa	-	strong
paax	paax	-	strong
glrr	rsec	+	strong
fur	gspe	-	strong
crp	lacy	+	strong
ydeo	appx	+	strong
lrp	gltu	-	strong
mara	hdeb	-	strong
crp	gcvt	+	strong
fis	maze	+	strong
fnr	nirb	+	strong
chbr	chbr	+	strong
nanr	fimb	+	strong
crp	pck	+	strong
sgrr	thip	-	strong
ihf	ssuc	-	strong
crp	ugpq	+	strong
ihf	hycg	+	strong
hdfr	flhd	-	strong
nikr	nikr	-	strong
ydeo	hyaf	+	strong
ihf	nuoc	-	strong
crp	paad	+	strong
arca	gade	+	strong
mode	moab	+	strong
flhdc	flgj	+	strong
oxyr	ybjn	-	strong
phob	phnl	+	strong
relb-rele	relb	-	strong
fis	rrsb	+	strong
hu	galm	-	strong
lexa	recb	-	strong
fis	alav	+	strong
crp	agaw	+	strong
cbl	tauc	+	strong
sgrr	tbpa	-	strong
crp	prpe	+	strong
gade	gadw	+	strong
lrp	osmy	-	strong
fis	alat	+	strong
ihf	hype	+	strong
hdfr	gltb	+	strong
rhas	rhat	-	strong
basr	cspi	+	strong
h-ns	gltt	-	strong
exur	exur	-	strong
fnr	hmp	-	strong
fis	rrsg	+	strong
nikr	nikd	-	strong
ihf	paad	+	strong
cpxr	ycca	+	strong
fis	rnpb	+	strong
lrha	flhd	-	strong
soxs	riba	+	strong
dnaa	yjev	-	strong
zntr	znta	+	strong
crp	mdtf	-	strong
mode	hycf	+	strong
cytr	cdd	-	strong
fis	topa	-	strong
puta	puta	-	strong
fhla	hyci	+	strong
ihf	nrff	-	strong
fur	garl	-	strong
metr	metr	-	strong
phob	ydfh	+	strong
lrp	fimi	+	strong
rhas	rhas	+	strong
cpxr	csge	-	strong
ihf	ilve	+	strong
ihf	fnr	+	strong
caif	caic	+	strong
crp	rpoe	+	strong
cpxr	ldtd	+	strong
nrdr	yfae	-	strong
crp	arab	+	strong
ntrc	glna	+	strong
h-ns	cydb	-	strong
fliz	gadb	-	strong
ihf	yian	+	strong
hdfr	gltf	+	strong
mode	ccmh	+	strong
mode	napd	+	strong
nac	nac	-	strong
gade-rcsb	adic	+	strong
h-ns	cyda	-	strong
fis	rrla	+	strong
atoc	atoe	+	strong
metr	glya	-	strong
acrr	marb	-	strong
h-ns	bglf	-	strong
phob	prpr	-	strong
rclr	rcla	+	strong
argp	dnaa	+	strong
ihf	csge	+	strong
narl	ydhv	-	strong
csgd	flif	-	strong
crp	arah	+	strong
basr	puta	-	strong
galr	gale	+	strong
mode	napc	+	strong
dcur	fumb	+	strong
fis	nuoa	+	strong
dpia	citf	+	strong
acrr	mara	-	strong
ihf	hych	+	strong
sdia	ftsz	-	strong
crp	ascf	+	strong
flhdc	gltl	+	strong
sgrr	sgrs	+	strong
phob	cusf	+	strong
phob	cusc	+	strong
soxs	fumc	+	strong
crp	ilvn	+	strong
h-ns	fimb	-	strong
cpxr	cpxq	+	strong
crp	tam	+	strong
fur	oppd	-	strong
crp	ugpa	+	strong
crp	paak	+	strong
h-ns	ycie	-	strong
yqji	yqjh	-	strong
ihf	yiak	+	strong
fis	osme	-	strong
mqsa	mqsa	-	strong
h-ns	galt	-	strong
mode	deob	-	strong
lrp	fimc	+	strong
murr	murq	-	strong
h-ns	ycif	-	strong
ihf	ilvd	-	strong
lexa	ruva	-	strong
mara	nfsa	+	strong
oxyr	grxa	+	strong
yqji	yqji	-	strong
fur	ents	+	strong
crp	glga	+	strong
narl	aspa	-	strong
narl	narj	+	strong
fis	bglf	-	strong
fnr	ydhu	+	strong
cpxr	spy	+	strong
ntrc	rseb	+	strong
h-ns	fimg	+	strong
fis	marr	+	strong
fnr	nari	+	strong
blur	ymgc	-	strong
hipb	fadh	-	strong
crp	fumc	+	strong
mode	hych	+	strong
h-ns	nrda	-	strong
ihf	norv	-	strong
pgrr	ycjy	-	strong
glrr	rsea	+	strong
arca	sdhd	-	strong
cysb	ssue	-	strong
crp	nana	+	strong
h-ns	nrdd	-	strong
trer	treb	-	strong
fis	yoag	-	strong
crp	envz	+	strong
rcda	asr	+	strong
leuo	leuo	+	strong
basr	tomb	+	strong
flhdc	flin	+	strong
fhla	hycg	+	strong
xylr	xyla	+	strong
fur	tfaq	-	strong
narl	ydhw	-	strong
oxyr	ahpc	+	strong
fis	nuol	+	strong
mlra	obge	+	strong
mlra	cadc	+	strong
basr	csgg	+	strong
h-ns	mdte	-	strong
mqsa	mqsr	-	strong
gade-rcsb	gada	+	strong
fis	crp	-	strong
fadr	fabb	+	strong
ihf	nrfg	-	strong
ihf	ompr	-	strong
arac	arae	+	strong
crp	hflc	-	strong
agar	agab	-	strong
basr	csge	+	strong
h-ns	gspi	-	strong
zrar	zrap	+	strong
lrp	fau	-	strong
h-ns	gspd	-	strong
mode	moaa	+	strong
ihf	sufb	+	strong
flhdc	flih	+	strong
fnr	hema	-	strong
lexa	recd	-	strong
narl	ydep	+	strong
mlra	csgd	+	strong
cpxr	mdta	+	strong
dan	ttda	+	strong
crp	arac	+	strong
ntrc	glnp	-	strong
crp	gade	-	strong
ihf	paaz	+	strong
cra	mtlr	-	strong
narl	nrfb	-	strong
sdia	ftsq	-	strong
rcnr	rcna	-	strong
ihf	yjbg	+	strong
h-ns	gada	-	strong
rcsb	rpoe	+	strong
pgrr	ymjd	-	strong
ntrc	rsea	+	strong
mlra	rpma	+	strong
