regulator 	 regulated 	 sign
fur	gark	-	strong
trpr	trpd	-	strong
lrp	rrfc	-	strong
crp	ompr	+	strong
crp	yian	+	strong
ihf	sgbh	+	strong
fliz	mlra	-	strong
ihf	yiaj	-	strong
cadc	cada	+	strong
crp	hupb	+	strong
rsta	asr	+	strong
tyrr	arop	-	strong
mode	ccmb	+	strong
fadr	fade	-	strong
argp	lysc	+	strong
ihf	nuoj	-	strong
fur	gspc	-	strong
h-ns	flhc	+	strong
caif	fixb	+	strong
soxs	nfsa	+	strong
fis	nuok	+	strong
fis	rrle	+	strong
fhla	hypd	+	strong
fis	rrlh	+	strong
ihf	nrfd	-	strong
iscr	rnla	-	strong
fnr	moeb	-	strong
cpxr	csgf	-	strong
nikr	nike	-	strong
lrp	ssrs	-	strong
fur	ydfn	-	strong
lexa	uvrb	-	strong
fis	gltu	+	strong
trpr	trpl	-	strong
lrp	rrsb	-	strong
ihf	nuok	-	strong
narl	nrfa	+	strong
agar	agaw	-	strong
mode	hyce	+	strong
crp	glgp	+	strong
ihf	glmy	+	strong
lrp	gltt	-	strong
dpia	dpib	+	strong
crp	hfq	-	strong
dnaa	nrda	+	strong
mode	moac	+	strong
crp	hupa	+	strong
chbr	chbb	+	strong
fnr	narg	+	strong
mode	napa	+	strong
yqhc	yqhd	+	strong
gade	gadf	+	strong
dpia	citc	+	strong
lrp	oppb	-	strong
lrp	osmc	+	strong
mode	ccmg	+	strong
fhla	hype	+	strong
arca	sucd	+	strong
ompr	csge	+	strong
cusr	cusa	+	strong
adiy	gada	+	strong
gadx	gada	+	strong
rob	zwf	+	strong
cpxr	tomb	+	strong
dcur	frdd	+	strong
flhdc	flha	+	strong
iclr	acea	-	strong
h-ns	fimi	+	strong
ihf	paae	+	strong
csgd	yhbt	-	strong
ihf	dmsc	-	strong
purr	pyrc	-	strong
narp	ydep	-	strong
narl	narg	+	strong
arca	rpos	-	strong
csgd	csge	+	strong
phob	yegh	+	strong
phob	phoh	+	strong
adiy	gltd	+	strong
fnr	nrdd	+	strong
crp	rpso	-	strong
fur	garr	-	strong
cra	aceb	+	strong
mara	pqib	+	strong
cra	acea	+	strong
h-ns	nirb	-	strong
flhdc	flhb	+	strong
fis	cbpa	-	strong
acrr	soxr	-	strong
trpr	aroh	-	strong
rcda	csgg	+	strong
nrdr	nrdg	-	strong
trpr	trpa	-	strong
oxyr	hemh	+	strong
leuo	casd	+	strong
ydeo	hyae	+	strong
rutr	gadw	-	strong
fnr	pdef	+	strong
phob	eda	-	strong
iscr	sufs	+	strong
fur	gsph	-	strong
lrp	gabt	+	strong
soxs	marb	+	strong
ihf	ssue	-	strong
flhdc	gltj	+	strong
crp	gcd	-	strong
cpxr	cpxa	+	strong
ihf	yiao	+	strong
phop	mgrb	+	strong
dinj-yafq	cspe	-	strong
fis	nuoi	+	strong
arca	pflb	+	strong
soxr	soxr	-	strong
lrp	livj	-	strong
alas	alas	-	strong
atoc	atod	+	strong
uvry	ydep	+	strong
h-ns	laca	-	strong
relb	relb	-	strong
rcda	csgf	+	strong
mode	modb	-	strong
fadr	fabh	+	strong
cra	edd	-	strong
cbl	taud	+	strong
iclr	iclr	-	strong
uvry	uhpt	+	strong
crp	lsrd	+	strong
crp	deod	+	strong
crp	rela	+	strong
h-ns	fimh	+	strong
crp	casb	-	strong
cusr	cusb	+	strong
h-ns	rrlb	-	strong
crp	guab	+	strong
gals	galm	-	strong
narl	frdc	-	strong
mqsa	cspd	-	strong
ydeo	yiis	+	strong
rsta	csgf	-	strong
csgd	yccj	+	strong
ihf	nuoa	-	strong
mode	napg	+	strong
cecr	ybhg	-	strong
ihf	glpt	-	strong
kdpe	kdpb	+	strong
phob	phno	+	strong
flhdc	flgl	+	strong
slya	hlye	+	strong
phob	phnn	+	strong
cytr	deoa	-	strong
cuer	copa	+	strong
narl	foca	-	strong
cra	mtld	-	strong
ihf	ssud	-	strong
caif	caia	+	strong
glpr	glpk	-	strong
fis	fau	+	strong
fur	fur	-	strong
gade-rcsb	cada	+	strong
ompr	micf	+	strong
fnr	ydhv	+	strong
iscr	nfua	-	strong
flhdc	flhe	+	strong
mode	hycc	+	strong
qseb	qsec	+	strong
crp	cyaa	-	strong
ihf	ilvg_1	-	strong
glpr	glpd	-	strong
cytr	cytr	-	strong
phop	mgtl	+	strong
crp	deoa	+	strong
leuo	bglg	+	strong
crp	prpc	+	strong
crp	ugpc	+	strong
ydeo	hyad	+	strong
fur	oppa	-	strong
cpxr	cpxr	+	strong
