Official Symbol Interactor A	Official Symbol Interactor B
Arntl	Per1
Arntl	Per2
Arntl	Cry1
Arntl	Cry2
Sox2	Xpo4
Ncoa6	Trp53bp1
Trp53bp1	Ncoa6
Pik3cb	Pcna
Pcna	Pik3cb
Rptor	Mtor
Mtor	Rptor
Rictor	Mtor
Mtor	Rictor
Mlst8	Mtor
Creb3l4	Crem
Crem	Creb3l4
Crem	Hira
Polr1e	Ubtf
Ubtf	Hdac1
Ubtf	Polr1b
Ubtf	Polr1e
Traf6	Ubc
Tnfaip3	Traf6
Stat6	Parp14
Sp1	Hdac1
E2f1	Hdac1
Cebpb	Hdac1
Epc1	Srf
Srf	Epc1
Gata4	Smad1
Gata4	Smad3
Gata4	Smad4
Cmtm2a	Ar
Glis2	Ctbp1
Sharpin	Eya1
Eya1	Sharpin
Aurkb	Parp1
Parp1	Aurkb
Hnrnpa2b1	Set
Ppp2ca	Hnrnpa2b1
Smad4	Smad2
Smad4	Smad3
Rela	Ep300
Ets2	Smarca4
Kat5	Pitx2
Ski	Gli3
Smarca4	Arid1a
Smarca4	Smarcc2
Smarca4	Smarcc1
Smarca4	Smarce1
Smarca4	Smarcb1
Hdac1	Sin3a
Hdac2	Sin3a
Sin3a	Hdac2
Mnt	Sin3b
Hdac1	Sin3b
Sin3a	Hdac1
Sin3b	Hdac1
Jdp2	Hdac3
Kdm1a	Ar
Cdk4	Cdkn1b
Cdk4	Cdkn1a
Setdb1	Erg
Epc1	Trim27
Gatad2b	Nanog
Mta2	Nanog
Mta2	Pou5f1
Mta2	Mta1
Mta2	Mta2
Mta2	Mbd3
Mta2	Rbbp7
Pou5f1	Nanog
Pou5f1	Pou5f1
Pou5f1	Mta1
Pou5f1	Mta2
Pou5f1	Mbd3
Pou5f1	Rbbp7
Pcgf2	Phc2
Rnf2	Phc2
Phc2	Rnf2
Musk	Dvl1
Dvl1	Musk
Axin1	Lrp5
Axin1	Rnf111
Rnf111	Axin1
Axin1	Smad7
Smad7	Axin1
Prop1	Ctnnb1
Lrp6	Wnt1
Wnt1	Lrp6
Lrp6	Dkk1
Dkk1	Lrp6
Src	Dvl2
Dvl2	Src
Myt1	Sin3b
Sin3b	Myt1
Gata1	Zfpm1
Mta2	Chd4
Mta2	Mta2
Mta2	Hdac1
Mta2	Hdac2
Mta2	Rbbp7
Mta2	Mbd3
Tcf21	Ar
Tcf21	Hdac1
Hdac6	Hsp90ab1
Ctnnb1	Tcf4
Ncor1	Tbl1x
Ncor1	Tbl1xr1
Ctnnb1	Cdh1
Rac1	Pak1
Casp6	Irak3
Raf1	Map2k1
Rela	Nfkbia
Nfkb1	Nfkbia
Cited2	Crebbp
Crebbp	Cited2
Rela	Crebbp
Crebbp	Rela
Il1r1	Irak4
Il1r1	Il1rap
Il1r1	Myd88
Myd88	Lrrfip1
Lrrfip1	Myd88
Cebpb	Med1
Med1	Cebpb
Ifi35	Plekho1
Nmi	Plekho1
Plekho1	Plekho1
Ets2	Crebbp
Gata4	Ep300
Pdx1	Hdac1
Pdx1	Hdac2
Hdac1	Pdx1
Hdac2	Pdx1
Trim28	Cbx5
Trim28	Cbx1
Trim28	Cbx3
Cbx5	Trim66
Cbx1	Trim66
Cbx3	Trim66
Hdac4	Ywhab
Cry1	Hdac1
Cry1	Hdac2
Cry1	Sin3b
Sp1	Hdac1
Rb1	Hdac1
Sin3a	Hdac1
Sin3b	Hdac1
Traf6	Actn4
Traf6	Actn1
Traf6	Wdr24
Traf6	Eef2
Traf6	Hsp90ab1
Traf6	Hsp90aa1
Traf6	Hspa5
Traf6	Hspa9
Traf6	Atp6v1a
Traf6	Hspa8
Traf6	Hspa2
Traf6	Pkm
Traf6	Atp5b
Traf6	Eef1a1
Traf6	Actr3
Traf6	Eno1
Traf6	Actb
Traf6	Aldoa
Traf6	Lgals3
Atp6v1a	Traf6
Hdac1	Phb2
Runx2	Msx2
Rbl2	Hdac1
Usf1	E2f3
E2f3	Usf1
Ep300	Kat2b
Crebbp	Kat2b
Myod1	Kat2b
Ep300	Myod1
Crebbp	Myod1
Kat2b	Myod1
Phc1	Bmi1
Cbx2	Bmi1
Bmi1	Cbx2
Bmi1	Phc1
Myod1	Ep300
Myod1	Kat2b
Hdac1	Myod1
Socs3	Tceb2
Socs3	Tceb1
Socs1	Tceb2
Socs1	Tceb1
Jak2	Stat3
Jak2	Socs3
Scnn1a	Nedd4l
Crebbp	Mitf
Hdac4	Ywhab
Ppp2ca	Axin1
Axin1	Ppp2ca
Axin1	Axin1
Ctnnb1	Axin2
Axin2	Ctnnb1
Axin2	Gsk3b
Apc	Axin2
Apc	Ctnnb1
Axin1	Gsk3b
Ctnnb1	Gsk3b
Tax1bp3	Ctnnb1
Axin1	Map3k1
Map3k4	Axin1
Axin1	Map3k4
Map3k1	Axin1
Axin1	Axin1
Grip1	Nrip1
Rara	Nrip1
Psen1	Ctnnb1
Cdh2	Ctnnb1
Cdh1	Ctnnb1
Ctnnd1	Ctnnb1
Ctnna1	Ctnnb1
Ctnnb1	Cdh1
Trim28	Cbx1
Trim28	Cbx5
Trim28	Cbx3
Sirt1	Rela
Kif5a	Kif5b
Kif5a	Kif5c
Kif5b	Kif5a
Kif5b	Kif5c
Kif5c	Kif5b
Cdh2	Ctnnb1
