Official Symbol Interactor A	Official Symbol Interactor B
Tal1	Kdm1a
Etv3	Ddx20
Sra1	Traf6
Pin1	Nanog
Rnf8	Tpp1
Itsn1	Spry2
Itsn1	Spry2
Neurl1a	Cpeb3
Plk1	Ddx39b
Ddx39b	Plk1
Ryk	Cdc37
Cdc37	Ryk
Myog	Cul1
Snap25	Dnajc5
Vamp2	Snap25
Snap25	Vamp2
Stx1a	Snap25
Stx1a	Vamp2
Snap25	Stx1a
Vamp2	Stx1a
Snap25	Hspa8
Snap25	Sgta
Hspa8	Snap25
Hspa8	Dnajc5
Hspa8	Sgta
Dnajc5	Snap25
Dnajc5	Hspa8
Dnajc5	Sgta
Sgta	Snap25
Sgta	Hspa8
Sgta	Dnajc5
Myd88	Birc3
Ticam1	Traf6
Nr3c1	Hsp90ab1
Kpna2	Pcyt1a
Mapk8	Jun
Gpbp1	Tbp
Gpbp1	Gtf2b
Gpbp1	Polr2a
Gpbp1	Crebbp
Nfe2l2	Cdkn1a
Cdkn1a	Nfe2l2
Pdzk1	Slc34a1
Pdzd3	Slc34a1
Slc9a3r1	Slc34a1
Slc9a3r2	Slc34a1
Pax3	Trp53
Pax3	Mdm2
Mdm2	Trp53
Cul5	Socs2
Cul5	Socs3
Ido1	Socs3
Pea15a	Mapk3
Pea15a	Mapk1
Pea15b	Mapk3
Pea15b	Mapk1
Pea15b	Mapk3
Pea15b	Mapk1
Tcea1	Eaf2
Cbl	Pdgfrb
Senp2	Mdm2
Mdm2	Trp53
Sirt1	Ppargc1a
Sirt1	Ppargc1a
Daxx	Sumo1
Daxx	Sumo2
Daxx	Sumo1
Daxx	Sumo2
Btrc	Nfkbia
Ankrd37	Fem1b
Casp8	Sqstm1
Ikbkb	Nfkbia
Chuk	Tax1bp1
Csnk1e	Ctnnb1
Gsk3b	Ctnnb1
Gsk3b	Psen1
Casp6	Irak3
Rad18	Ube2b
Hspb1	Prkcd
Prkcd	Hspb1
Bhlhe41	Tcf3
Bhlhe41	Myod1
Sp1	Bhlhe41
Adrm1	Ubc
Myb	Traf7
Traf7	Myb
Ldb3	Actn2
Smurf1	Map3k2
Yy1	Gon4l
Hmga1	Taf3
Hmga1	Chaf1a
Hmga1	Taf3
Hmga1	Chaf1a
Hmga2	Taf3
Hmga2	Chaf1a
Hmga2	Taf3
Hmga2	Chaf1a
Hmga1	Taf3
Hmga1	Chaf1a
Id3	Cops5
Id3	Cops5
Pax3	Lef1
Dab1	Was
Set	Apoe
Uchl1	Ubc
Usp8	Rasgrf1
Nup50	Cdkn1b
Rnf2	Bmi1
Rnf2	Bmi1
Rnf2	Rnf2
Hdac2	Zfp932
Sox2	Hdac1
Sox2	Sall4
Jak2	Stat3
Ctcf	Ubtf
Ctcfl	Ubtf
Kif3a	Tnks
Kif3a	Axin1
Ptprf	Fyn
Cdk2	Rb1
Cdk2	H1
Cdk1	H1
Lef1	Ctnnb1
Cdk2	H1
Cdk2	Rb1
Cdk2	Cdkn1b
Src	Khdrbs1
Cdk4	Rb1
Cdk2	H1
Cdk2	H1
Cdk1	H1
Cdk2	H1
Cdk2	H1
Crebbp	Zbtb17
Crebbp	Cnot3
Crebbp	Gak
