Source	Target
ADLR 	 AIBR          
ADLR 	 ADAR          
ADLR 	 RICL          
ADLR 	 RICR          
ADLR 	 RIFR          
ADLR 	 URBR          
ADLR 	 RIPR          
ADLR 	 AVJL          
ADLR 	 AVJR          
ADLR 	 PVCL          
ADLR 	 AVAR          
ADLR 	 AVBL          
ADLR 	 AVBR          
ADLR 	 AVDL          
ADLR 	 AVDR          
ADLR 	 SIBVL         
ADLR 	 SMBVR         
ASEL 	 ADFR          
ASEL 	 ASER          
ASEL 	 ASJL          
ASEL 	 AWBL          
ASEL 	 AWCL          
ASEL 	 AWCR          
ASEL 	 AFDR          
ASEL 	 IL2R          
ASEL 	 OLLR          
ASEL 	 AIAL          
ASEL 	 AIBL          
ASEL 	 AIBR          
ASEL 	 AIYL          
ASEL 	 AIYR          
ASEL 	 AIZL          
ASEL 	 RIAR          
ASEL 	 RIR           
ASER 	 ADLL          
ASER 	 ADLR          
ASER 	 ASEL          
ASER 	 ASHR          
ASER 	 ASKL          
ASER 	 AWAR          
ASER 	 AWCL          
ASER 	 AWCR          
ASER 	 AFDL          
ASER 	 AFDR          
ASER 	 AIAL          
ASER 	 AIAR          
ASER 	 AIBL          
ASER 	 AIBR          
ASER 	 AIYL          
ASER 	 AIYR          
ASER 	 AIZL          
ASGL 	 ASKL          
ASGL 	 AIAL          
ASGL 	 AIBL          
ASGL 	 AINR          
ASGR 	 ASER          
ASGR 	 AIAR          
ASGR 	 AIBR          
ASGR 	 AIYR          
ASGR 	 RIFR          
ASHL 	 ADFL          
ASHL 	 ADLL          
ASHL 	 ASKL          
ASHL 	 URXL          
ASHL 	 AIAL          
ASHL 	 AIBL          
ASHL 	 AIZL          
ASHL 	 ADAL          
ASHL 	 RIAL          
ASHL 	 RIR           
ASHL 	 RIPL          
ASHL 	 AVFL          
ASHL 	 AVHR          
ASHL 	 AVAL          
ASHL 	 AVAR          
ASHL 	 AVBL          
ASHL 	 AVDL          
ASHL 	 AVDR          
ASHL 	 RIML          
ASHL 	 HSNL          
ASHR 	 ADFR          
ASHR 	 ADLR          
ASHR 	 ASHR          
ASHR 	 AWAR          
ASHR 	 AWBL          
ASHR 	 AIAR          
ASHR 	 AIBR          
ASHR 	 ADAR          
ASHR 	 RIAR          
ASHR 	 RMGR          
ASHR 	 AVHL          
ASHR 	 PVPR          
ASHR 	 PVCL          
ASHR 	 AVAR          
ASHR 	 AVBR          
ASHR 	 AVDL          
ASHR 	 AVDR          
ASHR 	 AVER          
ASHR 	 SMBVR         
ASHR 	 HSNL          
ASHR 	 HSNR          
ASIL 	 ADFL          
ASIL 	 ASER          
ASIL 	 ASGL          
ASIL 	 ASKL          
ASIL 	 AWAR          
ASIL 	 AWCL          
ASIL 	 AWCR          
ASIL 	 CEPVR         
ASIL 	 AIAL          
ASIL 	 AIBL          
ASIL 	 AIYL          
ASIL 	 AIYR          
ASIL 	 AIZL          
ASIL 	 RIAL          
ASIL 	 RIBL          
ASIL 	 RMFL          
ASIL 	 SAAVL         
ASIR 	 ADLR          
ASIR 	 ASEL          
ASIR 	 ASER          
ASIR 	 ASGR          
ASIR 	 ASHR          
ASIR 	 AWAR          
ASIR 	 AWCL          
ASIR 	 AWCR          
ASIR 	 CEPVR         
ASIR 	 AIAL          
ASIR 	 AIAR          
ASIR 	 AIBR          
ASJL 	 ASJR          
ASJL 	 ASKL          
ASJL 	 ASKR          
ASJL 	 CEPDL         
ASJL 	 ALA           
ASJL 	 PVQL          
ASJL 	 HSNL          
ASJL 	 HSNR          
ASJR 	 ASKR          
ASJR 	 PVQR          
ASJR 	 HSNR          
ASKL 	 ASER          
ASKL 	 ASJL          
ASKL 	 AIAL          
ASKL 	 AIBL          
ASKL 	 AIML          
ASKR 	 ADLR          
ASKR 	 ASER          
ASKR 	 ASGR          
ASKR 	 AWAR          
ASKR 	 CEPVR         
ASKR 	 AIAL          
ASKR 	 AIAR          
ASKR 	 AIBR          
ASKR 	 AIMR          
ASKR 	 ALA           
ASKR 	 RIFR          
ASKR 	 HSNL          
AWAL 	 ASEL          
AWAL 	 ASGL          
AWAL 	 ASHL          
AWAL 	 AWBL          
AWAL 	 AFDL          
AWAL 	 AIYL          
AWAL 	 AIZL          
AWAL 	 ADAL          
AWAR 	 ADFR          
AWAR 	 ASER          
AWAR 	 ASGR          
AWAR 	 ASIL          
AWAR 	 AWBR          
AWAR 	 AFDR          
AWAR 	 AUAR          
AWAR 	 AIAR          
AWAR 	 AIYR          
AWAR 	 AIZR          
AWAR 	 RIFR          
AWAR 	 RIGR          
AWAR 	 RIR           
AWBL 	 ADFL          
AWBL 	 ASEL          
AWBL 	 ASHL          
AWBL 	 AWAL          
AWBL 	 AWCL          
AWBL 	 AIAL          
AWBL 	 AIBR          
AWBL 	 AIYL          
AWBL 	 AIZL          
AWBL 	 RIAL          
AWBL 	 RIGL          
AWBL 	 AVHR          
AWBL 	 AVBL          
AWBL 	 SMBDL         
AWBL 	 SMBVL         
AWBL 	 HSNL          
AWBR 	 ADFR          
AWBR 	 ASER          
AWBR 	 ASGR          
AWBR 	 ASHR          
AWBR 	 OLQVR         
AWBR 	 URYVR         
AWBR 	 AIYR          
AWBR 	 AIZR          
AWBR 	 AIMR          
AWBR 	 RIAR          
AWBR 	 RIFR          
AWBR 	 RIR           
AWBR 	 AVBR          
AWBR 	 HSNL          
AWBR 	 HSNR          
AWCL 	 ASER          
AWCL 	 ASGR          
AWCL 	 ASIL          
AWCL 	 AWCR          
AWCL 	 AFDL          
AWCL 	 AIAL          
AWCL 	 AIAR          
AWCL 	 AIBL          
AWCL 	 AIBR          
AWCL 	 AIYL          
AWCL 	 AIZL          
AWCL 	 RIAL          
AWCL 	 AVAL          
AWCL 	 SMDVL         
AWCR 	 ADFR          
AWCR 	 ASEL          
AWCR 	 ASER          
AWCR 	 ASGR          
AWCR 	 ASHR          
AWCR 	 ASIL          
AWCR 	 ASIR          
AWCR 	 AWCL          
AWCR 	 IL2L          
AWCR 	 AIAL          
AWCR 	 AIAR          
AWCR 	 AIBL          
AWCR 	 AIBR          
AWCR 	 AIYL          
AWCR 	 AIYR          
AWCR 	 RIAL          
AWCR 	 RIVL          
AFDL 	 ASEL          
AFDL 	 ASER          
AFDL 	 AWBL          
AFDL 	 AFDL          
AFDL 	 AIBL          
AFDL 	 AIYL          
AFDL 	 AINR          
AFDR 	 ASEL          
AFDR 	 ASER          
AFDR 	 AFDL          
AFDR 	 AIYR          
IL1DL 	 IL2DL         
IL1DL 	 RIPL          
IL1DL 	 RMDDR         
IL1DL 	 RMDVL         
IL1DL 	 RMEL          
IL1DL 	 URADL         
IL1DL 	 SIBDL         
IL1DL 	 dBWML1        
IL1DL 	 dBWML2        
IL1DL 	 dBWML3        
IL1DL 	 dBWML6        
IL1DL 	 dBWMR7        
IL1DR 	 IL1DR         
IL1DR 	 IL1R          
IL1DR 	 IL2DR         
IL1DR 	 OLLR          
IL1DR 	 URYDR         
IL1DR 	 RIPR          
IL1DR 	 PVR           
IL1DR 	 RMDDL         
IL1DR 	 RMDVR         
IL1DR 	 URADR         
