Official Symbol Interactor A	Official Symbol Interactor B
HTR2C	MPDZ
HTR2C	MPDZ
SYP	AP1G1
TAF1	UBTF
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	RNF4
AR	NCOA4
AR	NCOA4
AR	PAK6
RANBP9	AR
AR	RCHY1
AR	PIAS2
AR	PIAS2
BPY2	UBE3A
SORBS1	INSM1
CBX3	LBR
CBX5	LBR
MAPK8IP3	KLC1
BCL2L1	AVEN
BCL2L1	BNIP3
BCL2L1	RTN1
BCL2L1	RTN4
BAX	BCL2A1
ABCA1	FADD
LRP2	MAGI1
ANKRA2	LRP2
LRP2	LRP2BP
LRP2	DAB2
TAF13	TBP
PTPN12	PSTPIP1
PTPN12	SHC1
PTPN12	PXN
TUFT1	TFIP11
PDE4DIP	PDE4D
CREBBP	HNF4A
CREBBP	NFE2L2
CREBBP	TDG
CREBBP	AIRE
AP1B1	AP1G1
PPP1R9B	CDKN2A
JAK3	TIAF1
JAK3	STAT5A
EIF5A	RPL5
PTRH2	AES
TLE1	HES6
TLE1	FOXA2
IL6ST	TLE1
EPS8	DVL1
NFU1	HIRA
PKN2	PTPN13
ATXN1	COIL
PEX16	PEX19
ZNHIT3	HNF4A
IARS	GARS
HTRA2	MAPK14
DUSP10	MAPK14
BBS4	PCM1
BCAR1	RAPGEF1
RANBP9	S100A7
TRAIP	FLII
CSTF2	SUB1
CSTF1	BARD1
CSTF1	BARD1
XRCC2	RAD51D
ID2	TCF12
TCF4	ID2
PEX12	PEX5
PEX12	PEX5
PEX13	PEX5
ARFIP2	ARF6
NCBP2	NCBP1
PMF1	NFE2L2
EIF2AK3	NFE2L2
DLG4	KCNJ4
NCK1	EPHB1
MINK1	NCK1
RECQL	KPNA4
RECQL	KPNA2
ERBB4	DLG4
ERBB4	YAP1
PIAS1	STAT1
MAPKAPK2	SHC1
S100P	S100P
DLG4	KCNJ2
PPP1R9B	TIAM1
PTBP1	HNRNPL
IFI35	NMI
PSEN2	KCNIP3
CDKN1B	NUP50
LIMK1	BMPR2
INPPL1	SORBS1
NCOR2	SPEN
NCOR2	ZBTB16
CDKN1C	LIMK1
UGCG	RTN1
NEUROD1	HAP1
HAP1	DCTN1
HAP1	HGS
COPB1	COPG1
COPB1	COPG2
MYO6	DAB2
MYO6	DAB2
DCP1A	SMAD4
BPTF	MAZ
F11R	TJP1
ADAM17	DLG1
DHDDS	NPC2
ARHGEF11	PLXNB1
BCL2A1	BAD
LSM6	SNRPD2
LSM7	SNRPD3
LSM3	SNRPD3
PDZK1	ABCC2
CADM1	MPP3
DUSP10	MAPK8
RAN	RANBP1
CDC6	ORC2
ORC2	DBF4
TGFB1I1	PTK2B
TGFB1I1	PTK2B
UBQLN1	MTOR
BIN1	SNX4
YWHAZ	BCAR1
BMPR1A	SF3B4
PKD1	RGS7
HECW1	DVL1
VPS37A	TSG101
KAT5	ETV6
MYBL2	ZNF622
CACYBP	SKP1
MAD2L1	ESR2
PPARG	NCOA4
BAG1	HSPA8
PPP1R15A	BAG1
GRB10	GIGYF2
PROX1	EP300
ATXN1	UBQLN4
ATXN1	USP7
EZH2	EED
KHDRBS1	RAPSN
CITED2	TFAP2C
MRAS	RALGDS
PGR	UBE3A
RAD23A	PSMD4
RAD23B	PSMD4
THRB	PSMC5
TRAIP	TRAF1
HIVEP3	TRAF1
RNF7	CUL5
TRIM28	SETDB1
PEX12	PEX10
PEX12	PEX10
MCM6	MCM6
RFXAP	RFX5
HIVEP3	TRAF2
TRAIP	TRAF2
BCL2L2	BCL2L11
STAP2	PTK6
IL16	PPP1R12A
RING1	CBX4
RAC1	RAP1GDS1
RAC1	ARFIP2
TRPV1	SYT9
TACC1	YEATS4
PRMT5	CLNS1A
SIAH1	KIF22
PEG10	SIAH1
SIAH1	CACYBP
PEG10	SIAH2
ATXN7	CRX
NEDD4	UBE2D2
ILK	ILKAP
ILK	LIMS1
DNM2	SHANK1
DNM2	SHANK2
BLMH	UBE2I
PPP2R5D	HAND2
CFTR	GOPC
SCAMP1	ITSN1
IPCEF1	CYTH2
NRIP1	NR0B1
HEXIM1	CCNT1
RGS4	COPB2
MAP3K3	MAP2K5
SNAP23	SNAPIN
RANBP3	XPO1
GOLGA2	GORASP2
MAGOH	RBM8A
ASIC3	MAGI1
IL1RAP	TOLLIP
PPP1R8	EED
PDE6D	RND1
ARHGAP5	RND3
HNRNPAB	TP63
NR1H4	NCOA1
MCM3	MCM5
MCM3	ORC5
MCM3	ORC4
EP300	CITED2
EP300	CITED2
APBA2	CLSTN1
FYB	SKAP1
PRKAB1	PRKAG1
PRKAB1	PRKAG2
PRKAB2	PRKAG1
PRKAB2	PRKAG2
PRKAG1	PRKAG2
RGPD5	TNPO1
DNMT3A	UBE2I
THRB	BRD8
RNF4	PATZ1
TTF2	CDC5L
PPL	KAZN
SAFB	SAFB2
MAPK8IP3	MAPK10
MAPK10	MAPK8IP3
MAPK11	HDAC3
PIAS4	SMAD7
TRIP6	LPAR2
