source	target
CTCF	RP11-157P1
POU2F2	CTC-378H22
SMARCB1	NCRNA00265
GTF2B	RMRP
ZBTB7A	AC093267
HNF4A	AC007246
RAD21	AC144450
PAX5	AC006483
EBF1	RP11-535C21
MAX	RP11-328K2
ELF1	ST7OT1
FOSL2	RP11-8J9
JUND	RP11-195F19
SP1	RP11-316M1
ELF1	RP11-432J9
SRF	SNORA57
ZBTB33	AC020928
FOXA1	AC020915
POU2F2	AL031780
TCF4	RP11-156K13
TCF4	RP4-562J12
SPI1	RP11-310H4
CTCF	RP11-127L20
TCF12	CEACAM20
CEBPB	AC006994
ETS1	CTB-114C7
MAX	HOTAIRM1
EGR1	RP11-701P16
ELF1	HOTAIRM1
MAX	SNORD34
JUN	RP11-456N14
ESRRA	RP5-1187M17
TFAP2A	RP11-132A1
RAD21	RP11-145A3
CTCF	AC097467
FOXA2	RP13-631K18
E2F4	AC010198
USF1	RP4-811H24
CTCF	RP11-395F4
E2F6	AC104801
NFYA	AC002115
SRF	RP11-545I5
GTF2F1	CTA-397H3
TAL1	AL391839
CHD2	CTD-2062O1
SP2	MIR1539
NRF1	RP11-113K21
SP1	RP11-896J10
HDAC2	MIR145
HMGN3	RP11-685M7
GATA2	RP11-255N4
SP1	RP11-464E15
HSF1	C6ORF38
ZNF263	AC009506
ZBTB7A	RP11-148K1
HMGN3	RP11-159F24
POU2F2	RP11-84A14
EGR1	AC091729
CTCF	AC114752
E2F4	RP4-694B14
SMC3	RP4-681L3
NFKB1	AC108488
FOSL2	CTB-161K23
EP300	RP11-613M10
RAD21	RP11-126K1
BHLHE40	RP11-767N15
TFAP2C	HCG27
TCF12	SNORD49B
NFKB1	NCRNA00169
STAT3	RP11-93L9
NRF1	CTD-2231H16
BCL11A	RP11-513G19
RFX5	RNU7-85P
TRIM28	AC019055
USF1	AC012146
EGR1	RP11-366H4
MAFK	RP11-412P11
MEF2A	SNORD12C
TFAP2A	U4
EP300	SNORD46
USF2	RP11-288L9
USF2	SNORA42
IRF4	CTD-2201E9
MAX	RP11-70C1
JUND	RP11-455B2
E2F6	RP11-513G19
PBX3	Z98883
SP1	RP5-1091N2
SP1	AC068282
MEF2C	RP11-325F22
GTF2F1	SNORA78
ZBTB7A	RP11-552D8
TRIM28	AC078882
RAD21	RP11-527F13
ESR1	AC005324
NFYA	AC000068
CEBPB	RP11-3B12
JUN	AC114730
TAF7	AC016697
USF1	AC107079
ZNF143	MIR1292
ZEB1	SNHG9
CTCF	RP11-566H8
YY1	RP4-545K15
ZEB1	RP11-177H2
FOXA1	AP002884
EBF1	MIR589
TRIM28	AC005592
ZBTB33	RP13-942N8
SMARCB1	BX470102
STAT3	RP11-864I4
FOXA1	RP11-316M21
ZEB1	AC079145
CTCFL	CTD-2024I7
BCLAF1	RP11-297K8
E2F1	7SK
SP1	AC087294
YY1	AC009506
RAD21	RP11-245J24
RAD21	AL139429
GATA2	Y_RNA
TRIM28	ZNF518A
CTCF	SNHG7
MAX	AC083949
ZBTB7A	AL583722
TCF4	AC007040
ZNF143	AC010323
CHD2	RP3-487J7
TBP	RP11-501G6
TAF1	AL590062
JUND	RP11-399O19
TBP	SCAND2
JUND	MIR548N
HNF4A	AC007686
TAF7	GAS5
PAX5	RP11-399E6
CHD2	RNU12
MYC	AC005329
PAX5	NAPSB
BHLHE40	RP11-458K10
PAX5	RP11-429J17
CTCF	RP11-335O13
BCL3	RP11-316P17
YY1	RP11-430H10
USF2	NCRNA00169
ELF1	CTD-2003C8
CCNT2	AP002478
TRIM28	AC005702
BCLAF1	AL513497
FOXA2	RP11-727A23
RXRA	RP4-633O19__A
YY1	RP11-402J6
POU5F1	RP11-219G10
GATA2	AC093911
ELF1	VPS11
STAT3	RP5-988G17
NFKB1	RP11-236B18
PBX3	AL139123
ZEB1	RP11-114B7
TAF1	RP11-501G6
EBF1	AC005363
CEBPB	RP1-117B12
EGR1	RP11-732A19
IRF4	AC092431
TCF12	RP1-80B9
MAX	MIR548O
ZEB1	MIR1915
TAL1	RP11-286N22
