
WARNING from init.py: found (and ignored) 31 duplicate edges, here is some of them: 

Egfr                     drk                      
Sos                      drk                      
CkIalpha                 arm                      
CkIalpha                 ci                       
tim                      sgg                      
================================================== NH_Vinayagam.txt ==================================================
alive 3289      dead 63        maxd 19        mind 1         Hub deg 19        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3289      dead 63        maxd 19        mind 1         Hub deg 19        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3289      dead 63        maxd 19        mind 2         Hub deg 19        no. Leafs 1534      swapped 19 (in) 0 (out)
alive 3288      dead 64        maxd 18        mind 1         Hub deg 18        no. Leafs 10        swapped 5 (in) 0 (out)
alive 3288      dead 64        maxd 18        mind 2         Hub deg 18        no. Leafs 1499      swapped 18 (in) 0 (out)
alive 3287      dead 65        maxd 18        mind 1         Hub deg 18        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3287      dead 65        maxd 18        mind 2         Hub deg 18        no. Leafs 1466      swapped 18 (in) 0 (out)
alive 3286      dead 66        maxd 18        mind 1         Hub deg 18        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3286      dead 66        maxd 18        mind 2         Hub deg 18        no. Leafs 1437      swapped 18 (in) 0 (out)
alive 3285      dead 67        maxd 18        mind 2         Hub deg 18        no. Leafs 1402      swapped 18 (in) 0 (out)
alive 3284      dead 68        maxd 18        mind 1         Hub deg 18        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3284      dead 68        maxd 18        mind 2         Hub deg 18        no. Leafs 1372      swapped 18 (in) 0 (out)
alive 3283      dead 69        maxd 18        mind 1         Hub deg 18        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3283      dead 69        maxd 18        mind 2         Hub deg 18        no. Leafs 1339      swapped 18 (in) 0 (out)
alive 3282      dead 70        maxd 18        mind 2         Hub deg 18        no. Leafs 1304      swapped 18 (in) 0 (out)
alive 3281      dead 71        maxd 17        mind 1         Hub deg 17        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3281      dead 71        maxd 17        mind 1         Hub deg 17        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3281      dead 71        maxd 17        mind 2         Hub deg 17        no. Leafs 1277      swapped 17 (in) 0 (out)
alive 3280      dead 72        maxd 17        mind 1         Hub deg 17        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3280      dead 72        maxd 17        mind 1         Hub deg 17        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3280      dead 72        maxd 17        mind 2         Hub deg 17        no. Leafs 1248      swapped 17 (in) 0 (out)
alive 3279      dead 73        maxd 17        mind 1         Hub deg 17        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3279      dead 73        maxd 17        mind 2         Hub deg 17        no. Leafs 1217      swapped 17 (in) 0 (out)
alive 3278      dead 74        maxd 17        mind 2         Hub deg 17        no. Leafs 1184      swapped 17 (in) 0 (out)
alive 3277      dead 75        maxd 17        mind 1         Hub deg 17        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3277      dead 75        maxd 17        mind 2         Hub deg 17        no. Leafs 1152      swapped 17 (in) 0 (out)
alive 3276      dead 76        maxd 17        mind 1         Hub deg 17        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3276      dead 76        maxd 17        mind 1         Hub deg 17        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3276      dead 76        maxd 17        mind 2         Hub deg 17        no. Leafs 1123      swapped 17 (in) 0 (out)
alive 3275      dead 77        maxd 16        mind 1         Hub deg 16        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3275      dead 77        maxd 16        mind 2         Hub deg 16        no. Leafs 1094      swapped 16 (in) 0 (out)
alive 3274      dead 78        maxd 16        mind 1         Hub deg 16        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3274      dead 78        maxd 16        mind 2         Hub deg 16        no. Leafs 1067      swapped 16 (in) 0 (out)
alive 3273      dead 79        maxd 16        mind 2         Hub deg 16        no. Leafs 1039      swapped 16 (in) 0 (out)
alive 3272      dead 80        maxd 16        mind 1         Hub deg 16        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3272      dead 80        maxd 16        mind 2         Hub deg 16        no. Leafs 1011      swapped 16 (in) 0 (out)
alive 3271      dead 81        maxd 16        mind 2         Hub deg 16        no. Leafs 980       swapped 16 (in) 0 (out)
alive 3270      dead 82        maxd 16        mind 1         Hub deg 16        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3270      dead 82        maxd 16        mind 2         Hub deg 16        no. Leafs 951       swapped 16 (in) 0 (out)
alive 3269      dead 83        maxd 16        mind 2         Hub deg 16        no. Leafs 923       swapped 16 (in) 0 (out)
alive 3268      dead 84        maxd 16        mind 1         Hub deg 16        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3268      dead 84        maxd 16        mind 1         Hub deg 16        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3268      dead 84        maxd 16        mind 2         Hub deg 16        no. Leafs 897       swapped 16 (in) 0 (out)
alive 3267      dead 85        maxd 16        mind 1         Hub deg 16        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3267      dead 85        maxd 16        mind 2         Hub deg 16        no. Leafs 867       swapped 16 (in) 0 (out)
alive 3266      dead 86        maxd 16        mind 1         Hub deg 16        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3266      dead 86        maxd 16        mind 1         Hub deg 16        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3266      dead 86        maxd 15        mind 2         Hub deg 15        no. Leafs 844       swapped 15 (in) 0 (out)
alive 3265      dead 87        maxd 15        mind 2         Hub deg 15        no. Leafs 816       swapped 15 (in) 0 (out)
alive 3264      dead 88        maxd 15        mind 1         Hub deg 15        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3264      dead 88        maxd 15        mind 2         Hub deg 15        no. Leafs 787       swapped 15 (in) 0 (out)
alive 3263      dead 89        maxd 15        mind 2         Hub deg 15        no. Leafs 759       swapped 15 (in) 0 (out)
alive 3262      dead 90        maxd 15        mind 1         Hub deg 15        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3262      dead 90        maxd 15        mind 2         Hub deg 15        no. Leafs 736       swapped 15 (in) 0 (out)
alive 3261      dead 91        maxd 15        mind 2         Hub deg 15        no. Leafs 708       swapped 15 (in) 0 (out)
alive 3260      dead 92        maxd 15        mind 1         Hub deg 15        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3260      dead 92        maxd 15        mind 2         Hub deg 15        no. Leafs 679       swapped 15 (in) 0 (out)
alive 3259      dead 93        maxd 15        mind 1         Hub deg 15        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3259      dead 93        maxd 15        mind 2         Hub deg 15        no. Leafs 651       swapped 15 (in) 0 (out)
alive 3258      dead 94        maxd 15        mind 1         Hub deg 15        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3258      dead 94        maxd 15        mind 2         Hub deg 15        no. Leafs 628       swapped 15 (in) 0 (out)
alive 3257      dead 95        maxd 15        mind 2         Hub deg 15        no. Leafs 600       swapped 15 (in) 0 (out)
alive 3256      dead 96        maxd 15        mind 1         Hub deg 15        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3256      dead 96        maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3256      dead 96        maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3256      dead 96        maxd 14        mind 2         Hub deg 14        no. Leafs 572       swapped 14 (in) 0 (out)
alive 3255      dead 97        maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3255      dead 97        maxd 14        mind 2         Hub deg 14        no. Leafs 547       swapped 14 (in) 0 (out)
alive 3254      dead 98        maxd 14        mind 2         Hub deg 14        no. Leafs 523       swapped 14 (in) 0 (out)
alive 3253      dead 99        maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3253      dead 99        maxd 14        mind 2         Hub deg 14        no. Leafs 496       swapped 14 (in) 0 (out)
alive 3252      dead 100       maxd 14        mind 1         Hub deg 14        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3252      dead 100       maxd 14        mind 2         Hub deg 14        no. Leafs 472       swapped 14 (in) 0 (out)
alive 3251      dead 101       maxd 14        mind 1         Hub deg 14        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3251      dead 101       maxd 14        mind 2         Hub deg 14        no. Leafs 449       swapped 14 (in) 0 (out)
alive 3250      dead 102       maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3250      dead 102       maxd 14        mind 2         Hub deg 14        no. Leafs 423       swapped 14 (in) 0 (out)
alive 3249      dead 103       maxd 14        mind 1         Hub deg 14        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3249      dead 103       maxd 14        mind 2         Hub deg 14        no. Leafs 403       swapped 14 (in) 0 (out)
alive 3248      dead 104       maxd 14        mind 2         Hub deg 14        no. Leafs 383       swapped 14 (in) 0 (out)
alive 3247      dead 105       maxd 14        mind 1         Hub deg 14        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3247      dead 105       maxd 14        mind 2         Hub deg 14        no. Leafs 360       swapped 14 (in) 0 (out)
alive 3246      dead 106       maxd 14        mind 2         Hub deg 14        no. Leafs 333       swapped 14 (in) 0 (out)
alive 3245      dead 107       maxd 14        mind 2         Hub deg 14        no. Leafs 309       swapped 14 (in) 0 (out)
alive 3244      dead 108       maxd 14        mind 1         Hub deg 14        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3244      dead 108       maxd 14        mind 2         Hub deg 14        no. Leafs 286       swapped 14 (in) 0 (out)
alive 3243      dead 109       maxd 14        mind 2         Hub deg 14        no. Leafs 264       swapped 14 (in) 0 (out)
alive 3242      dead 110       maxd 14        mind 2         Hub deg 14        no. Leafs 247       swapped 14 (in) 0 (out)
alive 3241      dead 111       maxd 13        mind 2         Hub deg 13        no. Leafs 225       swapped 13 (in) 0 (out)
alive 3240      dead 112       maxd 13        mind 2         Hub deg 13        no. Leafs 204       swapped 13 (in) 0 (out)
alive 3239      dead 113       maxd 13        mind 2         Hub deg 13        no. Leafs 183       swapped 13 (in) 0 (out)
alive 3238      dead 114       maxd 13        mind 2         Hub deg 13        no. Leafs 161       swapped 13 (in) 0 (out)
alive 3237      dead 115       maxd 13        mind 2         Hub deg 13        no. Leafs 136       swapped 13 (in) 0 (out)
alive 3236      dead 116       maxd 13        mind 1         Hub deg 13        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3236      dead 116       maxd 13        mind 2         Hub deg 13        no. Leafs 117       swapped 13 (in) 0 (out)
alive 3235      dead 117       maxd 13        mind 2         Hub deg 13        no. Leafs 101       swapped 13 (in) 0 (out)
alive 3234      dead 118       maxd 13        mind 1         Hub deg 13        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3234      dead 118       maxd 13        mind 2         Hub deg 13        no. Leafs 86        swapped 13 (in) 0 (out)
alive 3233      dead 119       maxd 13        mind 2         Hub deg 13        no. Leafs 65        swapped 13 (in) 0 (out)
alive 3232      dead 120       maxd 13        mind 2         Hub deg 13        no. Leafs 47        swapped 13 (in) 0 (out)
alive 3231      dead 121       maxd 13        mind 2         Hub deg 13        no. Leafs 25        swapped 12 (in) 1 (out)
alive 3230      dead 122       maxd 13        mind 2         Hub deg 13        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3230      dead 122       maxd 13        mind 3         Hub deg 13        no. Leafs 2503      swapped 13 (in) 0 (out)
alive 3229      dead 123       maxd 13        mind 2         Hub deg 13        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3229      dead 123       maxd 13        mind 3         Hub deg 13        no. Leafs 2477      swapped 13 (in) 0 (out)
alive 3228      dead 124       maxd 13        mind 2         Hub deg 13        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3228      dead 124       maxd 13        mind 3         Hub deg 13        no. Leafs 2454      swapped 13 (in) 0 (out)
alive 3227      dead 125       maxd 13        mind 2         Hub deg 13        no. Leafs 6         swapped 3 (in) 0 (out)
alive 3227      dead 125       maxd 13        mind 2         Hub deg 13        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3227      dead 125       maxd 13        mind 3         Hub deg 13        no. Leafs 2432      swapped 13 (in) 0 (out)
alive 3226      dead 126       maxd 13        mind 2         Hub deg 13        no. Leafs 7         swapped 3 (in) 1 (out)
alive 3226      dead 126       maxd 13        mind 3         Hub deg 13        no. Leafs 2407      swapped 13 (in) 0 (out)
alive 3225      dead 127       maxd 13        mind 2         Hub deg 13        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3226      dead 126       maxd 12        mind 1         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3226      dead 126       maxd 12        mind 2         Hub deg 12        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3226      dead 126       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3226      dead 126       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3226      dead 126       maxd 12        mind 3         Hub deg 12        no. Leafs 2380      swapped 12 (in) 0 (out)
alive 3225      dead 127       maxd 12        mind 2         Hub deg 12        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3225      dead 127       maxd 12        mind 3         Hub deg 12        no. Leafs 2356      swapped 12 (in) 0 (out)
alive 3224      dead 128       maxd 12        mind 2         Hub deg 12        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3224      dead 128       maxd 12        mind 2         Hub deg 12        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3224      dead 128       maxd 12        mind 3         Hub deg 12        no. Leafs 2334      swapped 12 (in) 0 (out)
alive 3223      dead 129       maxd 12        mind 2         Hub deg 12        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3223      dead 129       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3223      dead 129       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3223      dead 129       maxd 12        mind 3         Hub deg 12        no. Leafs 2310      swapped 12 (in) 0 (out)
alive 3222      dead 130       maxd 12        mind 2         Hub deg 12        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3222      dead 130       maxd 12        mind 2         Hub deg 12        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3222      dead 130       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3222      dead 130       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3222      dead 130       maxd 12        mind 3         Hub deg 12        no. Leafs 2290      swapped 12 (in) 0 (out)
alive 3221      dead 131       maxd 12        mind 2         Hub deg 12        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3221      dead 131       maxd 12        mind 3         Hub deg 12        no. Leafs 2268      swapped 12 (in) 0 (out)
alive 3220      dead 132       maxd 12        mind 2         Hub deg 12        no. Leafs 3         swapped 1 (in) 1 (out)
alive 3220      dead 132       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3220      dead 132       maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 3220      dead 132       maxd 12        mind 3         Hub deg 12        no. Leafs 2241      swapped 12 (in) 0 (out)
alive 3219      dead 133       maxd 11        mind 2         Hub deg 11        no. Leafs 4         swapped 2 (in) 0 (out)
alive 3219      dead 133       maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 3219      dead 133       maxd 11        mind 3         Hub deg 11        no. Leafs 2219      swapped 11 (in) 0 (out)
