
WARNING from init.py: found 154 self-loops, here is one of them: ('JW3352', 'JW3352')

================================================== NH_Bacteria.txt ==================================================
alive 986       dead 28        maxd 13        mind 2         Hub deg 13        no. Leafs 3         swapped 1 (in) 1 (out)
alive 986       dead 28        maxd 13        mind 2         Hub deg 13        no. Leafs 1         swapped 0 (in) 1 (out)
alive 986       dead 28        maxd 13        mind 3         Hub deg 13        no. Leafs 459       swapped 12 (in) 0 (out)
alive 985       dead 29        maxd 13        mind 2         Hub deg 13        no. Leafs 5         swapped 2 (in) 1 (out)
alive 985       dead 29        maxd 13        mind 2         Hub deg 13        no. Leafs 2         swapped 1 (in) 0 (out)
alive 985       dead 29        maxd 12        mind 3         Hub deg 12        no. Leafs 437       swapped 12 (in) 0 (out)
alive 984       dead 30        maxd 12        mind 2         Hub deg 12        no. Leafs 4         swapped 2 (in) 0 (out)
alive 984       dead 30        maxd 12        mind 3         Hub deg 12        no. Leafs 420       swapped 12 (in) 0 (out)
alive 983       dead 31        maxd 12        mind 2         Hub deg 12        no. Leafs 2         swapped 1 (in) 0 (out)
alive 983       dead 31        maxd 12        mind 2         Hub deg 12        no. Leafs 1         swapped 0 (in) 1 (out)
alive 983       dead 31        maxd 11        mind 3         Hub deg 11        no. Leafs 403       swapped 10 (in) 0 (out)
alive 982       dead 32        maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 982       dead 32        maxd 11        mind 3         Hub deg 11        no. Leafs 387       swapped 10 (in) 0 (out)
alive 981       dead 33        maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 981       dead 33        maxd 11        mind 3         Hub deg 11        no. Leafs 369       swapped 10 (in) 0 (out)
alive 980       dead 34        maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 980       dead 34        maxd 11        mind 3         Hub deg 11        no. Leafs 355       swapped 11 (in) 0 (out)
alive 979       dead 35        maxd 11        mind 2         Hub deg 11        no. Leafs 2         swapped 1 (in) 0 (out)
alive 979       dead 35        maxd 11        mind 2         Hub deg 11        no. Leafs 1         swapped 0 (in) 1 (out)
alive 979       dead 35        maxd 11        mind 3         Hub deg 11        no. Leafs 337       swapped 10 (in) 0 (out)
alive 978       dead 36        maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 978       dead 36        maxd 10        mind 3         Hub deg 10        no. Leafs 322       swapped 10 (in) 0 (out)
alive 977       dead 37        maxd 10        mind 2         Hub deg 10        no. Leafs 3         swapped 1 (in) 1 (out)
alive 977       dead 37        maxd 10        mind 2         Hub deg 10        no. Leafs 1         swapped 0 (in) 1 (out)
alive 977       dead 37        maxd 10        mind 3         Hub deg 10        no. Leafs 307       swapped 9 (in) 0 (out)
alive 976       dead 38        maxd 10        mind 3         Hub deg 10        no. Leafs 294       swapped 9 (in) 0 (out)
alive 975       dead 39        maxd 10        mind 3         Hub deg 10        no. Leafs 281       swapped 10 (in) 0 (out)
alive 974       dead 40        maxd 10        mind 2         Hub deg 10        no. Leafs 3         swapped 1 (in) 1 (out)
alive 974       dead 40        maxd 10        mind 3         Hub deg 10        no. Leafs 267       swapped 10 (in) 0 (out)
alive 973       dead 41        maxd 10        mind 2         Hub deg 10        no. Leafs 3         swapped 1 (in) 1 (out)
alive 973       dead 41        maxd 9         mind 2         Hub deg 9         no. Leafs 1         swapped 0 (in) 1 (out)
