Official Symbol Interactor A	Official Symbol Interactor B
Rpd3	E(z)
Rpd3	Pcl
Su(z)12	E(z)
Su(z)12	Rpd3
Su(z)12	Pcl
Su(z)12	Rpd3
Spt3	Ada2b
Spt3	dik
Spt3	Ada2b
dik	Spt3
dik	Ada2b
dik	Ada2a
sina	phyl
sina	ttk
phyl	sina
phyl	ttk
sim	tgo
sima	tgo
trh	tgo
tgo	sim
tgo	sima
tgo	trh
sim	tgo
trh	tgo
mys	scb
scb	mys
Nak	numb
numb	Nak
numb	Nak
Caf1	Iswi
Caf1	Iswi
Iswi	Caf1
Slip1	slo
slo	Slip1
slo	Slip1
CycT	Cdk9
Dab	drk
Dab	sev
drk	Dab
sev	Dab
drk	Dab
sev	Dab
per	dco
dco	per
norpA	inaD
cnk	phl
phl	cnk
cdc2	CycB3
CycB3	cdc2
h	CtBP
h	gro
14-3-3zeta	Slob
14-3-3zeta	Slob
Acf1	Iswi
Acf1	Iswi
Iswi	Acf1
dock	Pak
dock	Pak
ECSIT	Traf6
Traf6	ECSIT
Pka-R2	Akap200
Pka-R2	Akap200
arm	Apc2
arm	Apc2
arm	Apc2
CSN5	CSN7
CSN7	CSN5
car	dor
dor	car
dor	car
MBD-like	Rpd3
MBD-like	Rpd3
ird5	cact
dl	lwr
dl	lwr
dl	cact
W	th
Nc	th
Ice	Ice
Nc	th
mor	z
brm	mor
brm	dalao
brm	Bap60
brm	Bap55
MED11	MED17
MED11	MED6
MED11	MED20
MED22	MED17
MED30	MED17
MED30	MED6
MED30	MED20
MED17	MED6
MED6	MED20
mor	z
mor	brm
MED20	MED17
Bap60	mor
MED6	MED17
dalao	mor
MED6	MED4
brm	mor
MED6	MED20
MED6	MED20
MED6	MED17
MED20	MED17
ci	cos
cos	ci
cos	fu
fu	cos
Su(fu)	ci
Su(fu)	fu
Brf	Trf
Trf	Brf
Chrac-14	Iswi
Chrac-14	Chrac-16
Chrac-16	Chrac-14
Chrac-16	Iswi
Iswi	Chrac-14
Iswi	Chrac-16
Chrac-14	Iswi
Chrac-16	Iswi
Chrac-14	Iswi
Iswi	Chrac-14
Chrac-14	Chrac-16
Cdk4	CycD
Iap2	Jafrac2
th	Jafrac2
Iap2	Jafrac2
th	Jafrac2
ird5	key
key	ird5
AGO2	vig
ebi	phyl
phyl	ebi
phyl	ebi
ebi	phyl
cup	nos
Fmr1	AGO2
vig	AGO2
nos	cup
Fmr1	AGO2
vig	AGO2
Caf1	E(z)
Caf1	esc
esc	E(z)
Rpd3	E(z)
Rpd3	esc
esc	E(z)
esc	Rpd3
esc	Caf1
E(z)	esc
E(z)	Rpd3
E(z)	Caf1
Rpd3	esc
Caf1	esc
Caf1	E(z)
Caf1	Rpd3
Fmr1	AGO2
Fmr1	Rm62
Fmr1	RpL11
Fmr1	RpL5
Rm62	Fmr1
Fmr1	AGO2
Fmr1	RpL11
Fmr1	RpL5
Fmr1	Rm62
Fmr1	AGO2
Fmr1	RpL11
Fmr1	RpL5
Fmr1	Rm62
AGO2	Dcr-1
AGO2	Fmr1
fl(2)d	vir
nos	brat
nos	brat
Trf2	Caf1
Trf2	Dref
Trf2	Iswi
brm	dalao
dalao	brm
aop	edl
aop	edl
aop	edl
msps	tacc
tacc	msps
mbt	Cdc42
tacc	msps
mbt	Cdc42
Acf1	Iswi
Acf1	Chrac-14
Acf1	Chrac-16
Iswi	Acf1
Iswi	Chrac-14
Iswi	Chrac-16
Spt6	Mtr3
Spt6	Rrp4
Spt6	Rrp6
Chrac-14	Acf1
Chrac-14	Iswi
Chrac-14	Chrac-16
Chrac-16	Acf1
Chrac-16	Chrac-14
Chrac-16	Iswi
Spt6	Rrp6
Spt6	Mtr3
Spt6	Rrp4
Rrp4	Spt6
Rrp4	Mtr3
Iswi	Acf1
Mtr3	Spt6
Mtr3	Rrp4
Rrp4	Rrp6
Rrp4	Csl4
Chrac-14	Acf1
Chrac-14	Iswi
Chrac-16	Acf1
Chrac-16	Iswi
Iswi	Acf1
mei-9	Ercc1
mei-9	mus312
mus312	mei-9
bcd	Bin1
Bin1	bcd
Pc	Rpd3
Rpd3	Pc
cos	fu
fu	cos
Dcr-1	AGO2
Psi	snRNP-U1-70K
snRNP-U1-70K	Psi
Cdk4	CycD
Pcl	E(z)
Pcl	E(z)
Pcl	E(z)
Pcl	E(z)
E(z)	Pcl
E(z)	Pcl
par-6	aPKC
l(2)gl	par-6
E(bx)	Iswi
E(bx)	Caf1
E(bx)	Nurf-38
E(bx)	Iswi
Iswi	E(bx)
dl	tamo
Caf1	E(bx)
tamo	dl
Nurf-38	E(bx)
dl	tamo
drl	Wnt5
MBD-like	Rpd3
Wnt5	drl
MBD-like	Rpd3
mago	tsu
tsu	mago
insc	corn
insc	corn
crb	sdt
crb	sdt
Cam	rdgC
rdgC	Cam
cos	fu
fu	cos
cos	fu
Aplip1	hep
Aplip1	Appl
Appl	Aplip1
Appl	Aplip1
hep	Aplip1
lgs	arm
arm	lgs
Ubx	DIP1
DIP1	Ubx
Ubx	DIP1
Ubx	14-3-3epsilon
Ubx	noc
Ubx	Rad23
Ubx	TfIIEbeta
Ubx	al
Ubx	arm
Ubx	Cbp80
Ubx	CycK
Ubx	dsh
Ubx	EF2
Ubx	h
Ubx	Hsc70-4
Ubx	nmo
Ubx	otu
Ubx	RpL22
Ubx	RpS13
Ubx	Smox
Ubx	apt
Ubx	DIP1
Ubx	Ef1gamma
Ubx	Mi-2
Ubx	al
Ubx	arm
Ubx	Cbp80
Ubx	CycK
Ubx	dsh
Ubx	EF2
Ubx	h
Ubx	Hsc70-4
Ubx	noc
Ubx	otu
Ubx	Rad23
Ubx	RpL22
Ubx	RpS13
Ubx	Smox
Ubx	14-3-3epsilon
Ubx	apt
Ubx	DIP1
Ubx	Ef1gamma
Ubx	Mi-2
Ubx	TfIIEbeta
Ubx	arm
Ubx	Smox
Ubx	Rad23
Ubx	CycK
Ubx	nmo
Ubx	h
Ubx	al
Ubx	Cbp80
Apc2	arm
Apc2	arm
Apc2	arm
Su(fu)	ci
ci	Su(fu)
CtBP	sna
CtBP	kni
dock	SH3PX1
Ack	SH3PX1
dock	Ack
dock	Ack
SH3PX1	Ack
dock	Ack
SH3PX1	Ack
SH3PX1	dock
Vhl	Trc8
Vhl	Trc8
Trc8	Vhl
Trc8	CSN5
per	tim
Roc1a	Cul1
Roc1a	Cul2
Roc1b	Cul3
Roc2	Cul5
metl	Psn
Psn	metl
not	Sgf11
not	Gcn5
ball	baf
gw	AGO1
gw	pAbp
e(y)1	Taf6
Parp	Hrb98DE
TSG101	Vps37B
rau	Rcd5
p53	MEP-1
hpo	sav
rau	Mob4
cos	ci
Su(fu)	ci
fu	cos
Mlf	DnaJ-1
Snr1	fax
Su(fu)	fu
Su(H)	H
Mer	mod
Snr1	mor
Rala	Rlip
Snr1	RpS3A
slmb	skpA
Hrs	Stam
Vps45	Syx16
Vamp7	Syx1A
Nc	th
per	tim
Vamp7	Snap29
Syb	Snap29
sty	CG13731
hpo	CG17494
Vps45	Rbsn-5
Syb	Snap24
Syb	Syx1A
p53	CG6923
Ice	Ice
Vps45	CG45263
Amph	CG43078
Rab6	CG4557
Vamp7	Rme-8
rau	CG8301
polo	ko
Mer	Moe
spn-B	RecQ5
polo	by
fu	Vha13
TSG101	Vps28
Saf6	Atxn7
Saf6	e(y)1
e(y)1	Taf6
e(y)1	Saf6
Saf6	e(y)1
Caf1	His4:CG31611
His3:CG31613	esc
esc	His3:CG31613
His3:CG31613	esc
esc	E(z)
asf1	Sin3A
asf1	Hira
asf1	Caf1
asf1	tlk
asf1	MRG15
Caf1	asf1
Hira	asf1
Hira	Trl
lid	Sin3A
lid	CG3815
lid	MRG15
lid	Rpd3
lid	Nap1
CG3815	lid
CG3815	Sin3A
CG3815	MRG15
CG3815	Rpd3
Nap1	lid
Nap1	CG3815
asf1	Sin3A
asf1	MRG15
Caf1	asf1
Hira	asf1
CG3815	Sin3A
CG3815	lid
CG3815	Rpd3
CG3815	MRG15
CG3815	Nap1
lid	Sin3A
lid	Rpd3
lid	MRG15
lid	Nap1
Su(H)	lid
Kr	CtBP
wde	egg
pan	arm
gro	pan
CG10262	PCNA
CG10262	PCNA
PCNA	CG10262
e(y)3	polybromo
e(y)3	mor
e(y)3	Taf4
e(y)3	Taf5
e(y)3	Taf8
e(y)3	Taf4
e(y)3	Taf5
e(y)3	polybromo
e(y)3	mor
polybromo	e(y)3
polybromo	mor
mor	e(y)3
mor	polybromo
Taf1	Taf4
Taf8	e(y)3
Trf2	Iswi
His1:CG33825	mRpL22
His1:CG33825	RpL7
RpL7	His1:CG33825
mRpL22	His1:CG33825
His3:CG31613	Caf1
pho	Ino80
pho	Sfmbt
pho	rept
pho	pont
Sfmbt	pho
pho	Ino80
pho	Sfmbt
pho	rept
pho	pont
Ino80	pho
Sfmbt	pho
cid	Caf1
cid	Caf1
cid	Caf1
Caf1	cid
Caf1	His4:CG31611
Gug	Act5C
Gug	Act5C
Gug	Act5C
Gug	svp
Gug	svp
msl-2	mof
esc	esc
esc	esc
esc	Pcl
esc	Rpd3
esc	Su(z)12
esc	E(z)
asf1	Caf1
Caf1	Caf1-180
Caf1-105	Caf1-180
Caf1-180	Caf1
Caf1-180	Caf1-105
Caf1	asf1
MBD-like	Caf1
MBD-like	Caf1
MBD-like	Mi-2
MBD-like	MTA1-like
MBD-like	Rpd3
MBD-like	Rpd3
MBD-like	Mi-2
MBD-like	Caf1
Mi-2	Caf1
Mi-2	MBD-like
Rpd3	Caf1
Caf1	MBD-like
Caf1	Rpd3
Caf1	MTA1-like
Rbf	Dp
Rbf	Caf1
Rbf2	Dp
Rbf2	Caf1
Rbf2	E2f2
Rbf	E2f2
Rbf	Caf1
Rbf	Dp
Rbf	E2f2
Rbf2	Caf1
Rbf2	Dp
Rbf2	E2f2
Rbf2	Caf1
msl-1	msl-2
msl-1	msl-3
msl-1	mof
mof	msl-1
msl-3	msl-1
msl-3	msl-1
brm	osa
brm	polybromo
brm	Bap170
brm	mor
brm	dalao
brm	Bap60
brm	Bap55
brm	Snr1
brm	polybromo
brm	mor
brm	osa
brm	Bap170
polybromo	brm
polybromo	mor
mor	brm
mor	polybromo
osa	brm
E(z)	esc
esc	E(z)
esc	E(z)
E(z)	esc
E(z)	esc
esc	E(z)
h	gro
Max	dm
Parp	Hrb98DE
Parp	His3.3A
Parp	His2B:CG17949
Parp	His2Av
Parp	His4:CG31611
Parp	His3.3A
Parp	His2B:CG17949
Parp	His2Av
Parp	His4:CG31611
His3.3A	Parp
His2B:CG17949	Parp
His2Av	Parp
His4:CG31611	Parp
Mt2	Su(var)205
Mt2	Su(var)205
Su(H)	lid
Su(H)	H
sina	phyl
phyl	sina
XNP	Su(var)205
XNP	Su(var)205
XNP	Su(var)205
neur	Dl
rdx	ci
ci	rdx
rdx	ci
rdx	Cul3
th	Iap2
Iap2	th
tlk	asf1
Hcf	dm
Hcf	dm
HP1c	Ssrp
HP1c	Ssrp
Taf4	Taf1
Taf6	e(y)1
Trc8	CSN5
bip2	Taf10
bip2	Taf10
calypso	Asx
calypso	Asx
calypso	Asx
Caf1	His3:CG31613
Caf1	Mcm3
Caf1	Mcm3
Smn	Actn
Smn	Actn
Smn	Actn
