source target sign
MMU-MIR-124-3P FAIM +
MMU-MIR-124-3P MBOAT1 -
MMU-MIR-124-3P ZFP30 -
MMU-MIR-124-3P ERI1 +
MMU-MIR-124-3P ZFP536 +
MMU-MIR-124-3P SLC7A6 +
MMU-MIR-124-3P INTS9 -
MMU-MIR-124-3P ZBTB5 -
MMU-MIR-124-3P ATXN1 -
MMU-MIR-124-3P TPM1 -
MMU-MIR-124-3P TPM4 +
MMU-MIR-124-3P KCNH2 +
MMU-MIR-124-3P DAB2 +
MMU-MIR-124-3P YPEL1 -
MMU-MIR-124-3P GPR21 +
MMU-MIR-124-3P DUSP4 -
MMU-MIR-124-3P STOM -
MMU-MIR-124-3P SPP1 -
MMU-MIR-124-3P WHSC1 +
MMU-MIR-124-3P ELAVL3 +
MMU-MIR-124-3P MXRA7 +
MMU-MIR-124-3P PPP1R1A -
MMU-MIR-124-3P 1700037H04RIK -
MMU-MIR-124-3P DDC +
MMU-MIR-124-3P DNM2 -
MMU-MIR-124-3P CNTNAP2 +
MMU-MIR-124-3P 0610007P14RIK -
MMU-MIR-124-3P MYO1D +
MMU-MIR-124-3P GSTT3 -
MMU-MIR-124-3P SYT9 +
MMU-MIR-124-3P MYH9 -
MMU-MIR-124-3P KCNAB2 +
MMU-MIR-124-3P PLCG2 -
MMU-MIR-124-3P APBA3 +
MMU-MIR-124-3P TLN1 -
MMU-MIR-124-3P SYPL +
MMU-MIR-124-3P WTIP +
MMU-MIR-124-3P PHOX2A -
MMU-MIR-124-3P PSMC3IP +
MMU-MIR-124-3P PEMT +
MMU-MIR-124-3P DHRS1 +
MMU-MIR-124-3P CAPN6 -
MMU-MIR-124-3P ARHGEF10L +
MMU-MIR-124-3P TMEM104 +
MMU-MIR-124-3P GPR124 -
MMU-MIR-124-3P DCLK1 -
MMU-MIR-124-3P SDF2L1 -
MMU-MIR-124-3P ITGB1 +
MMU-MIR-124-3P SSBP2 -
MMU-MIR-124-3P ICAM1 -
MMU-MIR-124-3P FST -
MMU-MIR-124-3P STBD1 -
MMU-MIR-124-3P CSNK1G1 -
MMU-MIR-124-3P CD151 -
MMU-MIR-124-3P VMAC +
MMU-MIR-124-3P ABHD4 -
MMU-MIR-124-3P RAD9A +
MMU-MIR-124-3P TOR3A +
MMU-MIR-124-3P REEP1 -
MMU-MIR-124-3P MPV17L2 -
MMU-MIR-124-3P PTBP1 +
MMU-MIR-124-3P GLIPR2 -
MMU-MIR-124-3P MAP3K3 -
MMU-MIR-124-3P PROKR1 +
MMU-MIR-124-3P STAMBP -
MMU-MIR-124-3P PTBP2 +
MMU-MIR-124-3P RAI14 -
MMU-MIR-124-3P XRCC6 +
MMU-MIR-124-3P MKX +
MMU-MIR-124-3P CAR3 -
MMU-MIR-124-3P CTNND1 -
MMU-MIR-124-3P SALL3 -
MMU-MIR-124-3P AAK1 +
MMU-MIR-124-3P FAF1 +
MMU-MIR-124-3P DGCR14 +
MMU-MIR-124-3P CD59B -
MMU-MIR-124-3P TNKS2 -
MMU-MIR-124-3P AACS -
MMU-MIR-124-3P PLOD3 +
MMU-MIR-124-3P SMC2 -
MMU-MIR-124-3P OBSL1 +
MMU-MIR-124-3P CPLX1 -
MMU-MIR-124-3P PTPN12 +
MMU-MIR-124-3P AATK -
MMU-MIR-124-3P SMARCB1 +
MMU-MIR-124-3P DPP6 +
MMU-MIR-124-3P PPP1R15A -
MMU-MIR-124-3P S100A10 +
MMU-MIR-124-3P SGK1 +
MMU-MIR-124-3P CDH1 +
MMU-MIR-124-3P TPM2 +
MMU-MIR-124-3P MYO10 +
MMU-MIR-124-3P SVIL -
MMU-MIR-124-3P AMOTL1 +
MMU-MIR-124-3P PTN -
MMU-MIR-124-3P TULP3 +
MMU-MIR-124-3P IMP3 -
MMU-MIR-124-3P FRMD8 +
MMU-MIR-124-3P RELA -
MMU-MIR-124-3P STX2 +
MMU-MIR-124-3P RUFY3 +
MMU-MIR-124-3P ZBTB18 -
MMU-MIR-124-3P UBE2Q2 -
MMU-MIR-124-3P VSTM2L +
MMU-MIR-124-3P KCTD12B +
MMU-MIR-124-3P TMEM100 +
MMU-MIR-124-3P FZD10 -
MMU-MIR-124-3P RIPK1 -
MMU-MIR-124-3P GPD2 -
MMU-MIR-124-3P AKAP9 +
MMU-MIR-124-3P CERS2 -
MMU-MIR-124-3P GNB5 +
MMU-MIR-124-3P PELI1 +
MMU-MIR-124-3P DTX2 +
MMU-MIR-124-3P EEFSEC -
MMU-MIR-124-3P FADS2 +
MMU-MIR-124-3P NSMF +
MMU-MIR-124-3P ANXA5 -
MMU-MIR-124-3P MFSD1 -
MMU-MIR-124-3P FAM49B -
MMU-MIR-124-3P CC2D1B -
MMU-MIR-124-3P FAM69C +
MMU-MIR-124-3P TMOD3 +
MMU-MIR-124-3P RSU1 -
MMU-MIR-124-3P CLDN6 -
MMU-MIR-124-3P DNMT3B -
MMU-MIR-124-3P NOTCH3 +
MMU-MIR-124-3P CD320 -
MMU-MIR-124-3P CLDN2 +
MMU-MIR-124-3P PALMD +
MMU-MIR-124-3P RHOG +
MMU-MIR-124-3P DMRTA2 +
MMU-MIR-124-3P PSKH1 -
MMU-MIR-124-3P LRRN2 +
MMU-MIR-124-3P TST -
MMU-MIR-124-3P MAP2K3 +
MMU-MIR-124-3P HADHB -
MMU-MIR-124-3P HIGD2A -
MMU-MIR-124-3P GM2A +
MMU-MIR-124-3P OGFRL1 -
MMU-MIR-124-3P HSPBAP1 -
MMU-MIR-124-3P SERPINB6A +
MMU-MIR-124-3P RAVER2 -
MMU-MIR-124-3P ZCCHC24 +
MMU-MIR-124-3P ITGA3 -
MMU-MIR-124-3P VAMP3 -
MMU-MIR-124-3P PEA15A -
MMU-MIR-124-3P HAGHL -
MMU-MIR-124-3P TDH +
MMU-MIR-124-3P MTR -
MMU-MIR-124-3P FRY +
MMU-MIR-124-3P E2F1 +
MMU-MIR-124-3P VAT1 -
MMU-MIR-124-3P SYPL2 -
MMU-MIR-124-3P PALLD +
MMU-MIR-124-3P ZCCHC18 -
MMU-MIR-124-3P FLOT2 -
MMU-MIR-124-3P RNF214 +
MMU-MIR-124-3P WDR34 +
MMU-MIR-124-3P ARFIP1 +
MMU-MIR-124-3P EVI5 -
MMU-MIR-124-3P ARPC3 +
MMU-MIR-124-3P SEMA3A -
MMU-MIR-124-3P STK10 -
MMU-MIR-124-3P PCDHB22 +
MMU-MIR-124-3P RAB11A -
MMU-MIR-124-3P AXIN2 -
MMU-MIR-124-3P SAMD5 -
MMU-MIR-124-3P FADD -
MMU-MIR-124-3P MOGS +
MMU-MIR-124-3P EPHX2 -
MMU-MIR-124-3P DNAIC1 +
MMU-MIR-124-3P TLR2 +
MMU-MIR-124-3P HN1 -
MMU-MIR-124-3P FMNL3 +
MMU-MIR-124-3P ARHGEF1 +
MMU-MIR-124-3P TCF7L2 -
MMU-MIR-124-3P AP3S2 -
MMU-MIR-124-3P TRERF1 -
MMU-MIR-124-3P CDC14B -
MMU-MIR-124-3P CNIH3 -
MMU-MIR-124-3P AZI1 -
MMU-MIR-124-3P TCF3 -
MMU-MIR-124-3P ZC3HAV1L +
MMU-MIR-124-3P SMIM4 -
MMU-MIR-124-3P NREP +
MMU-MIR-124-3P KLF13 +
MMU-MIR-124-3P RHOT2 -
MMU-MIR-124-3P PIK3R3 -
MMU-MIR-124-3P SLC35A4 +
MMU-MIR-124-3P ZFP704 -
MMU-MIR-124-3P KLHL15 +
MMU-MIR-124-3P EBNA1BP2 +
MMU-MIR-124-3P KLF5 +
MMU-MIR-124-3P MARCH9 +
MMU-MIR-124-3P CEBPA -
MMU-MIR-124-3P ENTPD7 +
MMU-MIR-124-3P USP3 -
MMU-MIR-124-3P VSTM2B -
MMU-MIR-124-3P ARL5C -
MMU-MIR-124-3P NDUFA13 +
MMU-MIR-124-3P SKP2 +
MMU-MIR-124-3P SEPT6 +
MMU-MIR-124-3P WT1 -
MMU-MIR-124-3P SRR +
MMU-MIR-124-3P SLC44A2 +
MMU-MIR-124-3P SP5 +
MMU-MIR-124-3P PCDH1 +
MMU-MIR-124-3P TOR1B -
MMU-MIR-124-3P TRMT6 +
MMU-MIR-124-3P CERK +
MMU-MIR-124-3P MTMR10 -
MMU-MIR-124-3P YDJC +
MMU-MIR-124-3P CD164 -
MMU-MIR-124-3P PDLIM7 +
MMU-MIR-124-3P FCHO2 -
MMU-MIR-124-3P MDK -
MMU-MIR-124-3P RBMS1 -
MMU-MIR-124-3P SFT2D2 +
MMU-MIR-124-3P ZDHHC5 +
MMU-MIR-124-3P RABL2 -
MMU-MIR-124-3P VAMP4 +
MMU-MIR-124-3P MAN1B1 +
MMU-MIR-124-3P RASGRP3 +
MMU-MIR-124-3P MAPK14 -
MMU-MIR-124-3P SLC35G1 +
MMU-MIR-124-3P BCKDHA -
MMU-MIR-124-3P CHEK1 +
MMU-MIR-124-3P DCBLD1 +
MMU-MIR-124-3P TMED1 +
MMU-MIR-124-3P GPR85 -
MMU-MIR-124-3P CDC42EP4 -
MMU-MIR-124-3P 3110082I17RIK +
MMU-MIR-124-3P ATP6V0E +
MMU-MIR-124-3P SLC9A7 -
MMU-MIR-124-3P TNS3 -
MMU-MIR-124-3P ARPC1B -
MMU-MIR-124-3P YPEL5 +
MMU-MIR-124-3P TJP2 -
MMU-MIR-124-3P FSD1 -
MMU-MIR-124-3P SNX24 -
MMU-MIR-124-3P ADAT1 -
MMU-MIR-124-3P TIMM9 +
MMU-MIR-124-3P NUAK1 -
MMU-MIR-124-3P CTDSP2 +
MMU-MIR-124-3P PML -
MMU-MIR-124-3P DTNA +
MMU-MIR-124-3P ELOVL1 +
MMU-MIR-124-3P CORO1A -
MMU-MIR-124-3P PBX3 +
MMU-MIR-124-3P SLC4A7 -
MMU-MIR-124-3P PUS3 +
MMU-MIR-124-3P COL4A1 -
MMU-MIR-124-3P VPS37D -
MMU-MIR-124-3P EMB -
MMU-MIR-124-3P LAMC1 +
MMU-MIR-124-3P TIMP3 -
MMU-MIR-124-3P RGMA -
MMU-MIR-124-3P TSKU +
MMU-MIR-124-3P GOLT1B +
MMU-MIR-124-3P ASPH +
MMU-MIR-124-3P ZFP3 +
MMU-MIR-124-3P RAB34 +
MMU-MIR-124-3P SOGA1 -
MMU-MIR-124-3P SLC7A11 +
MMU-MIR-124-3P ARV1 +
MMU-MIR-124-3P MGRN1 -
