miRNA	Target Gene  # filtered 'homo sapiens' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
hsa-miR-15a-5p	HDHD2
hsa-miR-15a-5p	HACE1
hsa-miR-15a-5p	H3F3B
hsa-miR-15a-5p	GTF2H1
hsa-miR-15a-5p	GOLPH3L
hsa-miR-15a-5p	GOLGA5
hsa-miR-15a-5p	ECHDC1
hsa-miR-15a-5p	CREBL2
hsa-miR-15a-5p	CEP63
hsa-miR-15a-5p	CENPJ
hsa-miR-15a-5p	CDC14B
hsa-miR-15a-5p	CARD8
hsa-miR-15a-5p	TMEM251
hsa-miR-15a-5p	ANAPC16
hsa-miR-15a-5p	ASXL2
hsa-miR-200a-3p	ZEB1
hsa-miR-124-3p	MAGT1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	CD164
hsa-miR-124-3p	CD164
hsa-miR-124-3p	CD164
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	SUCLG2
hsa-miR-124-3p	GAS2L1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SURF4
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	ELOVL5
hsa-miR-195-5p	WEE1
hsa-miR-212-3p	MECP2
hsa-miR-200c-3p	TUBB3
hsa-miR-124-3p	PODXL
hsa-miR-124-3p	PODXL
hsa-miR-124-3p	PLP2
hsa-miR-124-3p	PLP2
hsa-miR-124-3p	PLOD3
hsa-miR-124-3p	PLOD3
hsa-miR-124-3p	ECI2
hsa-miR-124-3p	ECI2
hsa-miR-124-3p	PGM1
hsa-miR-124-3p	PGM1
hsa-miR-124-3p	PGRMC2
hsa-miR-124-3p	PGRMC2
hsa-miR-124-3p	PHF19
hsa-miR-124-3p	PHF19
hsa-miR-373-3p	NUPL1
hsa-miR-373-3p	PRC1
hsa-miR-373-3p	RELA
hsa-miR-373-3p	PACRGL
hsa-miR-373-3p	MICA
hsa-miR-373-3p	TEX30
hsa-miR-373-3p	LUC7L2
hsa-miR-373-3p	C12orf23
hsa-miR-373-3p	ANKRD13B
hsa-miR-373-3p	FYCO1
hsa-miR-373-3p	CENPF
hsa-miR-200c-3p	FN1
hsa-miR-141-3p	BAP1
hsa-miR-140-5p	CSK
hsa-miR-140-5p	MMP13
hsa-miR-140-5p	FGF2
hsa-miR-199a-5p	CCNL1
hsa-miR-199a-5p	CCNL1
hsa-miR-143-3p	COX2
hsa-miR-101-3p	COX2
hsa-miR-212-3p	WT1
hsa-miR-212-3p	BRCA1
hsa-miR-125b-5p	CBFB
hsa-miR-125b-5p	EIF4EBP1
hsa-miR-125b-5p	EIF4EBP1
hsa-miR-125b-5p	MKNK2
hsa-miR-124-3p	TTC7A
hsa-miR-124-3p	TTC7A
hsa-miR-124-3p	TRIM29
hsa-miR-124-3p	TOM1L1
hsa-miR-200a-3p	BAP1
hsa-miR-200a-3p	PDCD4
hsa-miR-200a-3p	GATA6
hsa-miR-200a-3p	VCAM1
hsa-miR-200b-3p	BAP1
hsa-miR-200b-3p	GATA4
hsa-miR-200b-3p	FN1
hsa-miR-200c-3p	BAP1
hsa-miR-146a-5p	CCNA2
hsa-miR-146a-5p	PA2G4
hsa-miR-146a-5p	BRCA1
hsa-miR-29a-3p	GLUL
hsa-miR-7-5p	RAF1
hsa-miR-124-3p	PTBP1
hsa-miR-124-3p	PTBP1
hsa-miR-124-3p	TMBIM1
hsa-miR-124-3p	TMBIM1
hsa-miR-124-3p	RARG
hsa-miR-124-3p	PTTG1IP
hsa-miR-124-3p	PTTG1IP
hsa-miR-124-3p	PPP1R13L
hsa-miR-124-3p	PPP1R13L
hsa-miR-124-3p	PTPN12
hsa-miR-124-3p	PTPN12
hsa-miR-222-3p	SOD2
hsa-miR-222-3p	MMP1
hsa-miR-29a-3p	PPM1D
hsa-miR-584-5p	ROCK1
hsa-miR-129-5p	GALNT1
hsa-miR-129-5p	ETV6
hsa-miR-129-5p	BMPR2
hsa-miR-129-5p	SOX4
hsa-miR-124-3p	RYK
hsa-miR-125a-5p	CD34
hsa-miR-204-5p	MEIS1
hsa-miR-204-5p	HOXA10
hsa-miR-124-3p	ZBED3
hsa-miR-124-3p	ZBED3
hsa-miR-124-3p	TLN1
hsa-miR-124-3p	TLN1
hsa-miR-7-5p	CKAP4
hsa-miR-7-5p	CNOT8
hsa-miR-7-5p	CNN3
hsa-miR-7-5p	CAPZA1
hsa-miR-7-5p	CAPZA1
hsa-miR-124-3p	PARP16
hsa-miR-124-3p	PARP16
hsa-miR-7-5p	ARF4
hsa-miR-7-5p	PFN2
hsa-miR-7-5p	PSME3
hsa-miR-7-5p	PSME3
hsa-miR-93-5p	CDKN1A
hsa-miR-25-3p	BCL2L11
hsa-miR-25-3p	BCL2L11
hsa-miR-106b-5p	CDKN1A
hsa-miR-106b-5p	CDKN1A
hsa-miR-106b-5p	CDKN1A
hsa-miR-93-5p	E2F1
hsa-miR-106b-5p	E2F1
hsa-miR-373-3p	MARCH4
hsa-miR-373-3p	HERPUD1
hsa-miR-373-3p	CNOT6
hsa-miR-124-3p	ARHGAP29
hsa-miR-124-3p	OSBPL8
hsa-miR-124-3p	OSBPL8
hsa-miR-7-5p	PLEC
hsa-miR-124-3p	UHRF1
hsa-miR-124-3p	TWIST2
hsa-miR-124-3p	RNPEPL1
hsa-miR-124-3p	RNPEPL1
hsa-miR-124-3p	RELA
hsa-miR-124-3p	RASSF5
hsa-miR-124-3p	RASSF5
hsa-miR-124-3p	SLC22A5
hsa-miR-124-3p	SLC22A5
hsa-miR-124-3p	SLC17A5
hsa-miR-124-3p	SLC17A5
hsa-miR-124-3p	SLC15A4
hsa-miR-124-3p	SLC15A4
hsa-miR-335-5p	SOX4
hsa-miR-335-5p	PTPRN2
hsa-miR-335-5p	TNC
hsa-miR-335-5p	MERTK
hsa-miR-155-5p	CUX1
hsa-miR-155-5p	CUX1
hsa-miR-155-5p	BCAT1
hsa-miR-124-3p	TJP2
hsa-miR-124-3p	TJP2
hsa-miR-124-3p	TSC22D4
hsa-miR-124-3p	TSC22D4
hsa-miR-124-3p	TARBP1
hsa-miR-124-3p	TARBP1
hsa-miR-124-3p	SWAP70
hsa-miR-124-3p	NAA15
hsa-miR-124-3p	NAA15
hsa-miR-301a-3p	NKRF
hsa-miR-124-3p	SYPL1
hsa-miR-124-3p	SYPL1
hsa-miR-124-3p	SSFA2
hsa-miR-124-3p	SSFA2
hsa-miR-124-3p	STOM
hsa-miR-124-3p	STOM
hsa-miR-124-3p	SNAI2
hsa-miR-124-3p	SNAI2
hsa-miR-124-3p	SP1
hsa-miR-124-3p	SP1
hsa-miR-124-3p	SEC11A
hsa-miR-124-3p	SEC11A
hsa-miR-192-5p	CLIC1
hsa-miR-192-5p	PANX1
hsa-miR-192-5p	PANX1
hsa-miR-192-5p	SPARC
hsa-miR-192-5p	ODC1
hsa-miR-192-5p	DDOST
hsa-miR-192-5p	ABCG2
hsa-miR-192-5p	EGR1
hsa-miR-192-5p	EGR1
hsa-miR-192-5p	TFG
hsa-miR-192-5p	DDX3X
hsa-miR-192-5p	DDX3X
hsa-miR-192-5p	WDR44
hsa-miR-192-5p	E2F5
hsa-miR-192-5p	LOXL2
hsa-miR-192-5p	KIDINS220
hsa-miR-192-5p	XPA
hsa-miR-192-5p	BARD1
hsa-miR-192-5p	BARD1
hsa-miR-192-5p	RBL2
hsa-miR-192-5p	RAB2A
hsa-miR-192-5p	RAB2A
hsa-miR-192-5p	CUL3
hsa-miR-192-5p	MAP3K1
hsa-miR-192-5p	PERP
hsa-miR-192-5p	PERP
hsa-miR-192-5p	PIK3R4
hsa-miR-197-3p	CHIC2
hsa-miR-192-5p	MFSD10
hsa-miR-192-5p	C1D
hsa-miR-192-5p	C1D
hsa-miR-192-5p	SEMA4D
hsa-miR-192-5p	SEMA4D
hsa-miR-192-5p	RABGAP1
hsa-miR-192-5p	ABCA8
hsa-miR-192-5p	ATP10D
hsa-miR-192-5p	MSN
hsa-miR-192-5p	MSN
hsa-miR-192-5p	ERLIN2
hsa-miR-192-5p	ABCC3
hsa-miR-192-5p	GRIA1
hsa-miR-192-5p	ATXN7
hsa-miR-192-5p	HSP90B1
hsa-miR-192-5p	RRM1
hsa-miR-192-5p	ENTPD3
hsa-miR-192-5p	B3GALNT1
hsa-miR-192-5p	B3GALNT1
hsa-miR-192-5p	BRD3
hsa-miR-192-5p	ALCAM
hsa-miR-192-5p	ALCAM
hsa-miR-192-5p	ALCAM
hsa-miR-192-5p	STX7
hsa-miR-192-5p	STX7
hsa-miR-192-5p	CD164
hsa-miR-192-5p	CD164
hsa-miR-192-5p	PTP4A3
hsa-miR-192-5p	CADM1
hsa-miR-192-5p	SETD4
hsa-miR-192-5p	PDE2A
hsa-miR-192-5p	AKAP9
hsa-miR-192-5p	ENOSF1
hsa-miR-192-5p	RANBP3
hsa-miR-192-5p	GOLGA6A
hsa-miR-195-5p	MECP2
hsa-miR-18a-5p	CTGF
hsa-miR-197-3p	TAF4B
hsa-miR-197-3p	RXRB
hsa-miR-197-3p	HNRNPD
hsa-miR-197-3p	MMP23A
hsa-miR-197-3p	CPSF1
hsa-miR-197-3p	DPH1
