miRNA	Target Gene  # filtered 'mus musculus' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
mmu-miR-181b-5p	Errfi1
mmu-miR-181b-5p	Hk2
mmu-miR-181b-5p	Mxi1
mmu-miR-181b-5p	Ccdc58
mmu-miR-181b-5p	Sc4mol
mmu-miR-181b-5p	Pfkfb3
mmu-miR-181b-5p	Pdxp
mmu-miR-181b-5p	Atp5g1
mmu-miR-181b-5p	Casp3
mmu-miR-181b-5p	Ulk3
mmu-miR-181b-5p	Snx25
mmu-miR-181b-5p	Higd1a
mmu-miR-1a-3p	Pax7
mmu-miR-206-3p	Pola1
mmu-miR-1a-3p	Pola1
mmu-miR-133a-3p	Pola1
mmu-miR-206-3p	Id1
mmu-miR-206-3p	Id2
mmu-miR-206-3p	Id3
mmu-miR-206-3p	Hhip
mmu-miR-206-3p	Ptplad1
mmu-miR-206-3p	Gja1
mmu-miR-206-3p	Mmd
mmu-miR-206-3p	Bdnf
mmu-miR-206-3p	Igsf5
mmu-miR-7b-5p	Fos
hsa-miR-206	Tppp
mmu-miR-140-5p	Cpa6
mmu-miR-26b-5p	Lef1
mmu-miR-134-5p	Creb1
mmu-miR-29b-3p	Bcl2l11
mmu-miR-29b-3p	Bmf
mmu-miR-29b-3p	Hrk
mmu-miR-29b-3p	Bbc3
mmu-miR-29b-3p	Bak1
mmu-miR-15a-5p	Eln
mmu-miR-497a-5p	Eln
mmu-miR-29b-1-5p	Arg1
mmu-miR-676-3p	Arg1
mmu-miR-382-3p	Arg1
mmu-miR-669b-5p	Arg1
mmu-miR-22-3p	Ass1
mmu-miR-127-5p	Ass1
mmu-miR-470-5p	Ass1
mmu-miR-411-3p	Ass1
mmu-miR-501-3p	Cps1
mmu-miR-96-5p	Gstm1
mmu-miR-27a-3p	Srm
mmu-miR-27a-3p	Odc1
mmu-miR-223-3p	Gzmb
mmu-miR-200b-3p	Zeb1
mmu-miR-200b-3p	Zeb2
mmu-miR-429-3p	Zeb2
mmu-miR-429-3p	Zeb1
mmu-miR-143-3p	Kras
mmu-miR-143-3p	Rreb1
mmu-miR-145a-5p	Rreb1
mmu-miR-145a-5p	Kras
mmu-miR-155-5p	Fos
