Official Symbol Interactor A	Official Symbol Interactor B
YWHAQ	TJP2
EIF3A	EIF3M
EIF6	RPL3
PPP1CB	PPP1R11
PAAF1	PSMD8
PSMC4	PSMD13
ULK1	GABARAP
TBPL1	GTF2A1
YWHAB	TJP2
PTP4A2	PTP4A1
GSTK1	CYCS
PSMD6	PSMD14
EIF3A	EIF3D
GSK3B	GSKIP
HNF1A	PCBD1
PUF60	HNRNPC
YWHAG	CRTC2
YWHAZ	DFFA
CNBP	RPS3A
BCAS1	DYNLL1
YWHAG	SHCBP1
YWHAQ	PAK4
MLF2	BAG2
PUF60	U2AF2
CDK5RAP3	UFC1
TBPL1	GTF2A2
SNRNP40	PRPF6
RNPS1	PRPF6
TIMM13	TIMM8B
PSMD6	PSMD7
RNPS1	SRRM2
SSSCA1	RUVBL2
PSMD13	PSMD8
VHL	TCEB1
PAK4	CDC42
PSMC4	PSMC3
SMNDC1	EWSR1
ARRB1	ARR3
NEK6	NEK7
YWHAB	FOXK1
YWHAB	DENND4A
CTNNBIP1	PNMA2
YWHAB	FRYL
RNPS1	NUDT21
MCRS1	UBR5
SAE1	SUMO3
NELFCD	NELFB
PNKP	XRCC4
DFFA	DFFB
YWHAB	SLC4A7
PSMD6	PSMC6
PPP1CB	PPP1R8
PSMC4	PSMC2
YWHAZ	BRAF
CDK4	CDKN2C
CDK5RAP3	DDRGK1
ILK	FANCI
YWHAG	LUC7L2
YWHAQ	RAI14
PSMC4	PSMD11
UBE2I	SUMO1
VHL	TCEB2
ACTR3B	ARPC5L
GABARAPL2	ATG3
OSGEP	LAGE3
UBE2I	SUMO3
UBE2M	UBA3
PSMD10	PSMD12
RAB5C	SUN2
PUF60	SF3A3
STK38L	MOB1A
ASF1B	C15orf41
YWHAQ	MARK2
MCC	CSNK1E
RNPS1	THRAP3
ARRB2	ARRB1
RUVBL2	RUVBL1
STK24	SLMAP
ATG12	ATG10
PSMD13	PSMD4
DDX56	RPL18A
TIMM13	TIMM8A
YWHAZ	PAK4
EIF6	GTPBP4
PSMD10	PAAF1
UBE2G2	AMFR
ARRB1	ZRANB2
ASF1B	MMS22L
RGS20	BOLA1
BAK1	VDAC2
KCNIP4	KCNIP2
PPP4C	PPP2R1A
YWHAB	MARK3
YWHAZ	TJP2
ACTR3B	ARPC3
PPM1B	VCP
YWHAG	MARK3
UBE2I	UBA2
YWHAZ	TRA2B
YWHAQ	RAF1
PUF60	UGP2
RNPS1	CPSF2
ACTR3B	ARPC5
PSMD6	PSMC4
PAAF1	PSMC2
YWHAG	RAF1
BRE	BRCC3
BZW1	DCTN1
EIF2B1	EIF2B5
PSMC4	PSMC1
PSMD6	PSMA2
PUF60	SRSF11
MLF2	FAM96B
YWHAG	ANKS1A
PSMD10	PSMD4
PSMD13	PSMA3
TWF2	CAPZA2
YWHAQ	IRS2
PSMD13	PSMC6
CDK2	SORT1
RNPS1	SREK1
CNBP	BRIX1
TRAF6	DDX3X
YWHAB	NCKAP1
CDC20	YARS2
PPP4C	PPP2CB
PSMD13	PSMD6
VHL	RBX1
YWHAQ	KIAA0930
ILK	RSU1
EIF6	NPEPPS
VHL	NEDD8
YWHAB	AKAP13
YWHAQ	MLLT4
YWHAQ	USP8
EIF4A1	EIF4G3
RNPS1	TRA2B
ASF1B	RBBP4
PAK2	GIT2
WRAP73	CEP135
YWHAQ	TSC2
ARRB2	FBL
ASF1B	CHAF1A
EIF1B	YARS
ILK	PARVB
PPP4C	PPP4R2
YWHAQ	KIF23
ARRB1	RTF1
BRE	FAM175B
PSMD13	PSMA1
RNPS1	SNRNP70
YWHAQ	SRSF3
YWHAZ	RALGPS2
PSMC4	PSMD7
YWHAG	RACGAP1
EIF4A1	EIF4E
YWHAQ	MARK3
CD2BP2	SNRPG
CNBP	RPL35A
ARHGDIA	EWSR1
LYAR	NPM1
EIF6	RPL34
PRKAB1	PRKAB2
ASF1B	TONSL
PSMD6	PSMB5
ATG12	ATG16L1
PAAF1	PSMC6
LYAR	GNL2
PPP1CB	SH2D4A
YWHAB	OSBPL3
CD2BP2	SNRPF
PSMD6	PSMD4
YWHAG	BAIAP2
YWHAZ	KIAA0930
UBE2G2	AUP1
VHL	TPT1
YWHAG	IGF1R
DDX56	FBL
KPTN	ITFG2
YWHAZ	KLC4
RNPS1	DDX41
GABARAPL2	NEK9
RGS20	TXLNA
RNPS1	SRPK2
CNBP	RPL36
PPP4C	CCDC6
YWHAQ	CRTC2
PSMD13	PSMA6
YWHAB	CGN
YWHAG	KIF23
YWHAG	SON
YWHAQ	PPFIBP1
YWHAG	KIAA0930
LYAR	RPL31
PPP4C	BAG6
YWHAB	RMDN3
WRAP73	RNF219
YWHAG	RMDN3
EIF1B	EIF3G
RNPS1	SNRPA
CNBP	EBNA1BP2
YWHAG	RABEP1
PSMD13	PSMA7
YWHAB	RABGEF1
ILK	HSPB1
YWHAG	CGN
MAP3K8	NFKB1
MAP3K8	NFKB2
MAP3K8	RELA
REL	RELA
TANK	TRAF3
MAP3K1	DCAF7
MAP3K3	TRAF7
NFKB1	COPB2
NFKB1	REL
NFKB1	NFKB2
NFKB1	RELA
NFKB2	FBXW7
NFKB2	REL
NFKB2	RELA
NFKB1	NFKB1
NFKB1	RELB
NFKB2	NFKB1
NFKB2	NFKB2
NFKB2	RELB
RELB	NFKB1
RELB	NFKB2
RELB	RELA
RELB	DPF2
RELB	SMARCC2
TAB2	TAB1
TBK1	TANK
TBK1	TBKBP1
TNFRSF1A	TNF
TNFRSF1B	TNF
ARRB1	HDGFRP2
CDK5RAP3	UFL1
GSK3B	STRAP
MYC	SNRNP200
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	NUP93
MYC	GCN1L1
MYC	ARHGEF2
MYC	MYBBP1A
MYC	GTF3C3
MYC	MAX
MYC	EFTUD2
MYC	SMARCA4
MYC	CCAR2
NME2	STIP1
POLR1E	POLR1C
PRKAR1A	PRKACA
RNPS1	CSNK2A1
RUVBL1	DPCD
RUVBL2	DPCD
PUF60	SF3B1
SIRT2	SARS
YWHAB	LARP1
YWHAB	CSNK2A1
YWHAG	GBF1
YWHAQ	LARP1
YWHAZ	LARP1
NCOA6	ASCL2
NCOA6	KMT2C
BRCA2	HMG20B
TP53	BAK1
TP53BP1	RPA2
BRE	BARD1
BRCC3	BARD1
BRE	BRCA1
BRCC3	BRCA1
BRCA2	BRE
BRCC3	BRE
BRCA2	BRCC3
BARD1	RAD51
BRCA1	RAD51
BRCA2	RAD51
BRE	RAD51
BRCC3	RAD51
BRCA1	TP53
RAD51	TP53
BRCA2	TP53
BRE	TP53
BRCC3	TP53
BRCA1	ACACA
SFN	ARAF
SFN	ERRFI1
SFN	GAN
SFN	HDAC4
SFN	HDAC7
SFN	AJUBA
SFN	MAP3K2
SFN	MARK3
SFN	RAF1
YWHAG	SFN
SFN	TNK1
SFN	TRIM32
SFN	YWHAG
FANCA	RMI1
FANCA	BLM
FANCA	CDK1
FANCA	FANCA
FANCA	FANCC
FANCA	FANCC
FANCA	FANCE
FANCA	FANCF
FANCA	FANCG
FANCA	FANCG
FANCA	FANCL
NCOA6	RBBP5
TP53BP1	RPA1
FANCA	RPA1
FANCA	TOP3A
BARD1	TP53
TRAF1	TRAF2
TRADD	TRAF2
TNFRSF1B	TRAF2
TBK1	TRAF2
NFKB2	MAP3K8
NFKB1	IKBKG
NFKB1	TNIP2
MAP3K3	MAP2K5
TANK	TRAF2
IKBKG	CDC37
IKBKG	TBK1
IKBKE	CDC37
TBK1	ANKRD28
TBK1	RELA
REL	TNIP2
MAP3K8	TNIP2
RNF41	USP8
RNF41	BIRC6
MTOR	RICTOR
MTOR	RPTOR
TINF2	POT1
TINF2	TERF1
TINF2	ACD
TINF2	TERF2
TINF2	TERF2IP
MED10	MED13L
MED10	MED13
MED10	MED12
MED10	MED14
MED10	MED23
MED10	MED15
MED10	MED16
MED10	MED17
MED10	CCNC
MED10	CDK8
MED10	CDK19
MED10	MED27
MED10	MED4
MED10	MED19
MED10	MED6
MED10	MED7
MED10	MED8
MED10	MED18
MED10	MED20
MED10	MED29
MED10	MED30
MED10	MED28
MED10	MED21
MED10	MED11
MED10	MED31
MED10	MED1
MED10	MED24
MED10	MED25
MED10	MED22
MED9	MED12
MED9	MED23
MED9	MED16
MED9	MED17
MED9	CDK8
MED9	CDK19
MED9	MED4
MED9	MED19
MED9	MED7
MED9	MED8
MED9	MED18
MED9	MED29
MED9	MED28
MED9	MED21
MED9	MED22
MED9	MED11
MED9	MED1
MED29	MED13
MED29	MED12
MED29	MED1
MED29	MED14
MED29	MED23
MED29	MED15
MED29	MED24
MED29	MED16
MED29	MED17
MED29	CCNC
MED29	CDK8
MED29	CDK19
MED29	MED27
MED29	MED4
MED29	MED19
MED29	MED6
MED29	MED7
MED29	MED8
MED29	MED18
MED29	MED20
MED29	MED9
MED29	MED29
MED29	MED28
MED29	MED21
MED29	MED11
MED29	MED31
MED29	MED10
MED19	MED13L
MED19	MED13
MED19	MED12
MED19	MED14
MED19	MED23
MED19	MED15
MED19	MED24
MED19	MED16
MED19	MED25
MED19	MED17
MED19	MED26
MED19	CCNC
