source target sign
852376 856799 -
852376 851554 +
5664 29979 -
29882 51343 -
29882 29945 -
851708 854827 +
851708 851676 -
851708 856924 +
79083 5873 -
79083 4644 -
329 329 +
329 56616 +
329 332 +
329 79444 +
329 842 -
329 840 -
329 7184 +
329 836 -
329 8767 +
26019 65109 -
26019 5976 -
26019 9939 +
26019 23049 -
851193 853275 -
852275 853327 -
855048 855570 +
851699 854480 -
851699 856305 +
2034 7428 -
6242 387 +
914 30011 +
9402 11184 -
5111 6117 -
5111 2956 -
5111 56852 -
5111 5425 -
5111 387893 +
5111 5981 +
5111 10714 -
5111 4437 +
5111 2033 -
5111 5111 -
5111 83932 -
5111 5984 -
5111 5429 -
5111 63922 +
5111 1647 -
5111 11201 +
5111 5424 -
851032 850598 -
851032 851071 +
851032 850419 +
3791 25759 -
3791 7422 +
4690 5921 +
4690 5058 +
4690 10657 -
4690 7454 -
84919 23291 -
8651 5970 -
841 7189 -
841 7186 +
841 8743 -
841 8737 +
841 841 -
841 8772 -
5465 2033 +
5465 8648 -
5465 6256 +
852255 850440 -
852255 853318 -
852255 851159 +
852255 856848 +
4739 1399 +
57703 9775 -
23636 53371 -
11228 7159 -
5739 8766 +
856319 852659 -
852439 856063 +
8314 221937 -
8314 63893 -
8314 3054 +
8314 55252 +
8314 171023 -
8314 3607 +
852492 854345 +
852492 856455 +
852492 852996 -
852492 856743 +
852492 853985 +
852492 856183 -
852492 854106 +
852492 855139 +
64783 10482 +
11011 55723 +
3006 11091 +
50855 5584 -
50855 998 +
850711 852822 +
854550 850995 -
862 9611 -
862 23013 -
862 9612 +
862 3065 +
284352 5499 -
856217 854469 +
851770 850713 -
851759 851408 -
51588 4089 +
3297 3298 -
80314 10524 +
7975 571 -
851085 851532 +
851085 854748 -
851085 853856 -
852096 851934 -
852096 854150 -
51667 23746 +
322 351 +
7456 2885 -
7456 7454 -
854076 853632 -
854518 856119 +
854518 851734 -
51429 1759 +
2778 5739 +
5584 56288 -
5584 8878 +
56852 7316 +
56852 56852 +
160 1173 -
160 1956 +
855207 856862 -
155807 5886 -
155807 1642 -
155807 79016 +
1411 1409 -
851968 850623 +
856535 851171 -
6801 26127 +
6801 55917 +
6801 5516 -
6801 85369 -
6801 25843 -
6801 29966 +
6801 5518 +
4780 8507 +
4780 1387 +
