source	target
5739	8766
92597	9113
850594	855356
4174	4176
10980	53339
440738	10241
6498	4089
853552	855819
856134	855386
854918	854918
7965	8880
90293	9212
837685	837685
9020	7187
648	1911
7128	79155
831162	840158
850422	851548
648	6015
851197	855843
853846	851554
11091	8085
2539997	2543027
26271	996
855821	852001
852865	854227
852569	851678
855841	851771
856741	853338
23291	4791
8517	7189
2553	2551
853160	853922
853332	853332
852492	854106
4734	7321
8543	8861
1838	10363
22820	11316
854388	851762
850440	856848
8451	80344
6829	6827
7189	7335
853318	851984
852987	851447
51010	5394
8517	472
855974	854680
2967	2966
853743	855836
57122	79902
856607	850613
5599	1386
856848	851159
851461	853712
6613	7329
855136	851051
854791	852888
856709	854106
5687	5685
83737	6456
852385	854063
7518	3981
856277	854353
851266	852433
1025	4298
850326	852982
1956	1956
851623	852258
402	23568
851666	852793
10188	998
4092	23327
468	2033
856870	850983
853667	852939
11091	30827
2099	5970
5515	5528
7132	7124
852451	851415
51377	5719
3093	7316
10286	5356
10524	6240
2787	2784
10980	55643
83737	7316
23326	6314
855561	850306
852410	850445
26272	6500
855788	855428
5501	163882
852947	856146
851255	853806
852834	852880
851988	855934
852765	852673
3091	112399
2543583	2540585
853670	850620
821055	818581
7337	5886
855102	854059
852881	851691
7832	3276
83737	83737
856604	853160
50813	8533
856519	853851
5914	688
856862	852173
852665	852295
821717	821717
852805	855820
853287	854300
79003	57082
855237	854273
851962	855616
856076	856787
10856	25911
10933	10856
851441	850905
6908	2957
10921	5411
2099	4869
853712	851557
14360	12402
1387	326
856876	850505
855456	853906
852996	856183
7329	6612
60401	7189
7431	11143
6789	83593
602	1487
10155	10155
852536	851532
854480	851699
51619	113878
852039	855177
57531	10133
855399	850983
54797	29079
852766	852001
26228	30011
5468	5970
852607	852665
3064	6457
580	2130
853320	851678
10933	8607
7157	7158
855888	854956
83548	91949
856060	855821
6605	6598
856743	851559
856870	850968
828522	814686
816875	824036
10014	5587
132660	4605
5036	56254
23016	51013
196483	1938
856731	853712
851957	855979
851579	852819
1459	984
831959	818077
23594	4999
6311	6456
23468	8290
856208	854157
855253	850808
4208	9759
7319	56852
672	4436
1848	5594
850686	850686
5685	5688
84246	29079
55294	4791
1977	1979
835035	829376
852779	854229
853422	853422
6045	84759
854382	852451
854353	851051
850720	850419
7189	7334
853373	852100
6256	7421
1956	2549
851716	856572
1017	5111
580	7323
855360	856002
852457	852881
6772	5580
57695	7316
34595	39203
1466445	856060
10111	4361
54778	4088
2538816	2540793
853712	853147
854509	856148
9694	51234
852996	853985
852995	855789
855017	856891
7454	7456
27161	57690
9978	7321
854465	853264
856507	851024
855676	852649
852122	853353
7186	329
5371	4193
7316	54472
852457	853252
855731	853959
1025	155871
10614	904
7529	4140
5518	5528
392	387
852025	853509
1387	3091
852255	853479
5715	5706
3006	8451
2539214	2540369
830557	826539
850455	855788
2099	60
3987	3611
850422	850820
5691	5693
867	5296
5896	3836
6789	11186
11143	8359
10600	7316
27335	51386
852560	852465
854827	853773
852766	853191
1387	8350
23405	27161
854315	854059
7431	7431
27338	27338
943	7187
2540070	2540580
8451	64326
4193	1029
6672	23468
5824	8799
1788	1789
59286	9092
55236	7322
854252	852862
23411	7157
652968	729438
51434	996
23326	2648
6273	6273
2538816	2542097
7391	7391
6907	9612
851810	852294
7124	8517
3611	3987
6794	51719
856267	855977
4438	4439
4792	6500
852265	851680
854791	856547
998	5062
835697	839349
65109	26019
6285	6285
852931	851396
1460	6125
851115	852294
853428	854964
5682	5687
4216	5608
23291	468
851585	851142
79980	25936
6760	6595
1111	993
6667	4088
5905	7329
855827	851996
4193	5925
854123	851099
5347	701
853552	851424
55294	898
851903	853985
5929	9070
3783746	3308
854399	854322
6788	83593
853169	853169
853513	854938
850507	855268
3320	3297
856726	856294
8945	1499
9531	10273
5682	5695
672	5932
6622	6622
852322	852322
2033	10013
853636	854113
1024	10025
79577	1499
4193	1616
850782	854273
854446	855068
2541159	2541298
856060	852814
853275	853300
851745	855017
852200	852695
2541089	2543412
2542757	3361306
28956	8649
3980	142
57187	80145
855751	852921
8737	7186
639	3066
2542615	2540307
4088	6498
2033	4790
852295	855701
854017	850347
26260	6500
5870	10112
853304	850962
867	7322
3837	5901
855869	856141
23451	23450
852757	855497
29110	3661
855473	853293
9611	8841
10419	8350
856607	852003
6654	2885
4089	55802
3717	9021
851678	854229
7157	1387
8533	2873
332	3619
1315	22820
836408	830000
850440	851159
1791	116092
29945	51529
850598	850720
856136	852071
854465	855049
7353	55666
3065	57504
856604	853320
867	1399
9627	6477
7507	2067
851532	855771
851142	856162
854976	851500
854937	855460
853503	855751
1027	1017
850562	850554
253980	7126
4193	367
7186	7187
355	841
988	27339
2671	2671
142	2033
852013	854157
856607	850554
6788	9113
851051	853729
2542393	2541897
855066	851061
2540620	2538838
853287	854235
5469	9440
850760	856743
1027	898
853275	854778
7398	23239
856924	851564
816471	836431
850930	856382
850440	855605
7517	2189
11789	12387
5700	5714
856700	851394
856731	854433
851143	853892
5501	8725
5499	5511
3183	3183
3358	8777
3480	4193
867	3055
387893	5111
545	84126
856076	856468
5465	8648
