source 	 target 
PVNL	PLMR
AS08	VA12
AILR	DGLR4
EF2	R6BL
M3L	I1L
CP01	CP03
PVR	PVCR
AVAL	VB06
DD06	VBWML20
EF1	AVG
EF3	CP05
DVA	PDB
PM3VL	MC1V
AS09	CP07
R1BR	PDB
VBWML22	AILL
VD13	PDA
R5BR	R7BL
R7AR	EF1
VA08	HYP
AVDR	PQR
PM5D	I3
VBWML8	VBWML9
CP04	CP03
VBWMR22	VBWML22
DBWML22	DBWMR22
VBWMR19	VBWMR19
AVBR	PVNL
DVB	SPVL
VBWML22	POLL
VB06	AS09
VBWMR14	VBWMR15
URAVL	IL1VR
SIBVL	SIAVL
VD13	PVPR
VB11	DB07
MC3DL	PM6VL
DA09	R1BR
AVG	PCBL
GRTR	AOBR
CA06	PVQL
AILR	VBWML22
AVAL	VB10
I1R	I3
PVV	CP07
PVNR	PVCR
RIVR	RIVL
DA05	VA09
AIAR	ASIR
AS11	CP08
AVFL	AVG
DB01	VB03
DBWML7	DBWML6
R3BR	CP03
AVJR	EF2
PCBR	PVV
AVJL	PVX
RIH	FLPL
ASIR	AIMR
RID	AVBR
VD11	VD10
PVNR	VD12
I5	M5
VD12	VBWML22
PCBR	HOB
VB07	DB05
VBWML22	VBWML21
AVAL	DA03
GRTL	POBL
VD09	AVJL
PVX	DD05
CP06	PCCR
DVA	DB06
DVF	CP04
RMER	RMED
PHCL	PVCR
AVDR	AVDL
CP01	DVC
AVHR	DD04
DSPL	PCAL
IL1VL	IL2VL
MC3DL	MC2DL
SPCL	PCCL
M4	PM5D
AIMR	ASKR
DBWMR11	DBWMR12
DB05	DB04
DBWMR22	DBWML21
SPVR	SPDR
DBWML24	ANAL
CEPDR	RIH
URYVR	CEMVR
MC1DL	PM3D
DA07	VA10
HOA	PCBR
SIBVL	AVBR
AVAL	VA08
HYP	VB09
DBWML23	DBWMR24
PDA	AS11
VBWMR23	POLR
HYP	CA05
VBWML20	DGLR2
PVM	CA06
RIS	SMDVL
VD02	VD03
DD05	DVB
R7BL	R5BR
CA06	AVKR
R1BR	AVG
PVDL	AVG
AILR	PILR
RMED	RMEL
VA10	AVAR
PLML	PVR
AILL	DGLL4
CP05	PVQR
AVAR	VA10
AVAR	VA05
VBWMR23	VBWML23
VB09	AVAR
POLL	DGLL4
AOBR	DGLR8
VBWMR20	DD05
PDC	EF2
CA06	PVQR
DVB	DVB
VBWML23	AILL
RIS	RMEV
DBWMR23	VSRR
M3L	PM5VL
DA06	AVBL
VBWML13	VBWML12
AVAR	URYDR
ANAL	DSPR
PVT	SPVL
CP05	PCCR
PVZ	CA06
AVKR	RICR
CP04	EF1
DD06	PVPL
AVKL	PDER
DA08	AVAL
I4	M2R
SPVR	DVC
R1AL	PDER
CA05	VB08
RMDVR	SMDVR
AVBL	DB04
DA08	VA10
AVBR	AVHR
DA07	DA08
SPVL	PVT
R9BL	PGA
CP08	AS11
OLLL	RIGL
SMDVL	RIBR
DVA	PDC
SMDVR	SMDVL
AVFL	R8AR
VB11	AVAL
DA09	R3BR
DBWMR20	DBWMR21
VBWMR10	VBWMR9
PLMR	PDEL
AVKR	DVC
AVBR	VB06
PVNR	R8BR
CP09	R6AL
I2R	M1
PVR	PVM
AVKL	HYP
VB11	DVA
VA03	VD03
R4AL	R2AL
RMGR	URXR
R1BR	DA09
VA01	DA02
VBWMR9	VBWMR10
AVBR	AS09
AVER	RMEV
SMBDR	SIBVL
R5BR	AVKL
PVCL	DB05
DVA	VA11
DVC	DVB
PVQL	HYP
PVWR	PHCL
PVNL	VD11
CP01	CA05
IL1VL	IL1L
VA09	DA07
AVAR	VA12
PLML	AVAL
CP08	SPVR
ADLR	RMGR
PVX	PCAR
HOA	R5AR
AVAR	AS10
