source target
ASKL 	 AIBL        
ASKR 	 ASHR        
ASKR 	 AIAR        
ASKR 	 AIMR        
ASKR 	 RIFR        
AWAL 	 ADFL        
AWAL 	 ASEL        
AWAL 	 ASIL        
AWAL 	 AWBL        
AWAL 	 AFDL        
AWAL 	 AUAL        
AWAL 	 AIYL        
AWAL 	 AIZL        
AWAL 	 RIBL        
AWAR 	 ADFR        
AWAR 	 ADLR        
AWAR 	 AWBR        
AWAR 	 AFDR        
AWAR 	 AIYR        
AWAR 	 AIZR        
AWBL 	 ADFL        
AWBL 	 AIYL        
AWBL 	 AIZL        
AWBL 	 RIAL        
AWBL 	 RIBL        
AWBL 	 SMBVL       
AWBR 	 ADFR        
AWBR 	 AIZR        
AWBR 	 RIAR        
AWBR 	 RIBR        
AWCL 	 ASEL        
AWCL 	 ASKL        
AWCL 	 AIAL        
AWCL 	 AIBL        
AWCL 	 AIYL        
AWCR 	 AIBR        
AWCR 	 AIYR        
AFDL 	 AIYL        
AFDR 	 AWAR        
AFDR 	 AUAR        
AFDR 	 AIYR        
IL1DL 	 RIPL        
IL1DL 	 RMDVL       
IL1DR 	 IL1R        
IL1DR 	 RIPR        
IL1DR 	 RMDVR       
IL1L 	 RMDDL       
IL1L 	 RMDL        
IL1L 	 RMDR        
IL1L 	 RMDVL       
IL1L 	 RMHR        
IL1R 	 RIBR        
IL1R 	 RMDDL       
IL1R 	 RMDDR       
IL1R 	 RMDVL       
IL1R 	 RMDVR       
IL1R 	 RMHL        
IL1VL 	 OLQVL       
IL1VL 	 AIBR        
IL1VL 	 RIAL        
IL1VL 	 RIGL        
IL1VL 	 RIPL        
IL1VL 	 RMDDL       
IL1VR 	 IL2VR       
IL1VR 	 RIPR        
IL1VR 	 RMDDR       
IL1VR 	 RMER        
IL1VR 	 SMDVL       
IL2DL 	 IL1DL       
IL2DL 	 RICR        
IL2DL 	 RIPL        
IL2DL 	 URADL       
IL2DR 	 IL1DR       
IL2DR 	 OLQDR       
IL2DR 	 URYDR       
IL2DR 	 RICL        
IL2DR 	 RIH         
IL2DR 	 RIPR        
IL2DR 	 RMED        
IL2DR 	 RMEL        
IL2DR 	 RMER        
IL2DR 	 RMEV        
IL2DR 	 URADR       
IL2L 	 OLQDL       
IL2L 	 OLQVL       
IL2L 	 RICR        
IL2L 	 RIH         
IL2L 	 URBL        
IL2L 	 RMDR        
IL2L 	 RMER        
IL2L 	 SMBVL       
IL2R 	 IL1R        
IL2R 	 IL1VR       
IL2R 	 OLQDR       
IL2R 	 OLQVR       
IL2R 	 OLLR        
IL2R 	 RIBR        
IL2R 	 RICL        
IL2R 	 RICR        
IL2R 	 RIH         
IL2R 	 URBR        
IL2R 	 RMDR        
IL2R 	 RMEL        
IL2R 	 SMBVR       
IL2VL 	 IL1VL       
IL2VL 	 OLQVL       
IL2VL 	 RIAL        
IL2VL 	 RIPL        
IL2VL 	 RMED        
IL2VL 	 RMEL        
IL2VL 	 RMER        
IL2VL 	 RMEV        
IL2VL 	 URAVL       
IL2VL 	 CEMVL       
IL2VR 	 IL1VR       
IL2VR 	 CEPVR       
IL2VR 	 RIH         
IL2VR 	 RIPR        
IL2VR 	 RMED        
IL2VR 	 RMEL        
IL2VR 	 RMER        
IL2VR 	 URAVR       
OLQDL 	 IL1DL       
OLQDL 	 IL2DL       
OLQDL 	 IL2L        
OLQDL 	 OLQDL       
OLQDL 	 RICR        
OLQDL 	 RMDDR       
OLQDL 	 SIBVL       
OLQDL 	 SMBDR       
OLQDR 	 IL2R        
OLQDR 	 CEPDR       
OLQDR 	 RIAR        
OLQDR 	 RICL        
OLQDR 	 RICR        
OLQDR 	 RIH         
OLQDR 	 RIPR        
OLQDR 	 RMDDL       
OLQDR 	 RMDVR       
OLQDR 	 SIBVR       
OLQVL 	 IL1VL       
OLQVL 	 IL2L        
OLQVL 	 IL2VL       
OLQVL 	 RICL        
OLQVL 	 RMDVR       
OLQVL 	 RMHL        
OLQVL 	 SIBDL       
OLQVR 	 IL1VR       
OLQVR 	 IL2R        
OLQVR 	 IL2VR       
OLQVR 	 RICR        
OLQVR 	 RMDVL       
OLQVR 	 RMER        
OLQVR 	 SIBDR       
OLQVR 	 SMBVR       
OLLL 	 IL1DL       
OLLL 	 IL1L        
OLLL 	 IL1VL       
OLLL 	 RIBL        
OLLL 	 AVER        
OLLL 	 RMDDL       
OLLL 	 RMDL        
OLLL 	 RMDR        
OLLL 	 RMDVL       
OLLL 	 SMDDL       
OLLL 	 SMDDR       
OLLL 	 SMDVR       
OLLR 	 IL1R        
OLLR 	 IL1VR       
OLLR 	 CEPVR       
OLLR 	 RIBR        
OLLR 	 RIGR        
OLLR 	 AVEL        
OLLR 	 RMDDR       
OLLR 	 RMDR        
OLLR 	 RMDVR       
OLLR 	 RMER        
OLLR 	 SMDVL       
CEPDL 	 IL1DL       
CEPDL 	 IL1L        
CEPDL 	 OLQDL       
CEPDL 	 URXL        
CEPDL 	 RICR        
CEPDL 	 RMGL        
CEPDL 	 AVAR        
CEPDL 	 AVEL        
CEPDL 	 RMHL        
CEPDL 	 RMHR        
CEPDL 	 SIADR       
CEPDL 	 SMBDR       
CEPDL 	 SMDDL       
CEPDR 	 IL1DR       
CEPDR 	 OLQDR       
CEPDR 	 RICL        
CEPDR 	 RICR        
CEPDR 	 RIPR        
CEPDR 	 RMHL        
CEPDR 	 URADR       
CEPDR 	 SIAVR       
CEPVL 	 IL1VL       
CEPVL 	 IL2VL       
CEPVL 	 OLQVL       
CEPVL 	 RICL        
CEPVL 	 RICR        
CEPVL 	 RIH         
CEPVL 	 RIPL        
CEPVL 	 AVAR        
CEPVL 	 RMHL        
CEPVL 	 RMHR        
CEPVL 	 RIVR        
CEPVL 	 URAVL       
CEPVL 	 SIAVL       
CEPVR 	 AWCR        
CEPVR 	 IL1VR       
CEPVR 	 IL2VR       
CEPVR 	 OLQVR       
CEPVR 	 OLLR        
CEPVR 	 URXR        
CEPVR 	 RIBR        
CEPVR 	 RICL        
CEPVR 	 RICR        
CEPVR 	 RIPR        
CEPVR 	 PVR         
CEPVR 	 AVEL        
CEPVR 	 AVER        
CEPVR 	 RMDDR       
CEPVR 	 RMHL        
CEPVR 	 RMHR        
CEPVR 	 URAVR       
CEPVR 	 SIAVR       
CEPVR 	 SMDDR       
CEPVR 	 SMDVL       
CEPVR 	 CEMVR       
CEPVR 	 MCMR        
ALML 	 CEPDL       
ALML 	 CEPVL       
ALML 	 BDUL        
ALML 	 PVCL        
ALML 	 AVBR        
ALMR 	 CEPDR       
ALMR 	 CEPVR       
ALMR 	 BDUR        
ALMR 	 PVCR        
ALMR 	 AVBL        
ALMR 	 AVDL        
AVM 	 BDUR        
AVM 	 RIBR        
AVM 	 RIFR        
AVM 	 AVJL        
AVM 	 PVCL        
AVM 	 PVCR        
AVM 	 AVBL        
AVM 	 AVBR        
AVM 	 RIMR        
AVM 	 SMBVL       
AVM 	 MCMR        
AVM 	 EF3         
PVM 	 PVM         
PVM 	 PDEL        
PVM 	 PDER        
PVM 	 AVKL        
PVM 	 DVA         
PVM 	 hyp         
PLML 	 PDEL        
PLML 	 PDER        
PLML 	 DVA         
PLML 	 AVAL        
PLML 	 AVDR        
PLML 	 VA09        
PLML 	 hyp         
PLML 	 R1AL        
PLMR 	 PDEL        
PLMR 	 PDER        
PLMR 	 DVA         
PLMR 	 AVAL        
PLMR 	 AVAR        
PLMR 	 AVDL        
PLMR 	 AVDR        
PLMR 	 AS11        
PLMR 	 hyp         
ALNL 	 RMGL        
ALNL 	 AVAR        
ALNL 	 RIMR        
ALNL 	 SAAVL       
ALNL 	 SAAVR       
ALNL 	 SIADR       
ALNL 	 SMBDR       
ALNL 	 SMDDR       
ALNR 	 RMGR        
ALNR 	 SAAVR       
ALNR 	 SIAVR       
ALNR 	 SMBDL       
ALNR 	 SMDDL       
ALNR 	 SMDVR       
PLNL 	 RMGL        
PLNL 	 RMDVR       
PLNL 	 SAADL       
PLNL 	 SAADR       
PLNL 	 SAAVL       
PLNL 	 SIAVL       
PLNL 	 SIAVR       
PLNL 	 SMBVL       
PLNL 	 SMDVR       
PLNR 	 RMGR        
PLNR 	 SAADL       
PLNR 	 SAADR       
PLNR 	 SIBDL       
PLNR 	 SMBVR       
PLNR 	 SMDDR       
FLPL 	 FLPR        
FLPL 	 AQR         
FLPL 	 AIBL        
FLPL 	 RIGR        
FLPL 	 RIS         
FLPL 	 DVC         
FLPL 	 PVR         
FLPL 	 PVCL        
FLPL 	 AVAL        
FLPL 	 AVAR        
FLPL 	 AVBL        
FLPL 	 AVEL        
FLPL 	 SMDDR       
FLPR 	 AIBR        
FLPR 	 AVAL        
FLPR 	 AVAR        
FLPR 	 RIML        
BDUL 	 ALML        
BDUL 	 SAADL       
BDUR 	 ALMR        
BDUR 	 RMGR        
BDUR 	 MCMR        
SDQL 	 SAADR       
SDQL 	 SIADR       
SDQL 	 SIBVL       
SDQL 	 SMBDR       
SDQR 	 ALMR        
SDQR 	 FLPL        
SDQR 	 FLPR        
SDQR 	 SDQL        
SDQR 	 DVA         
SDQR 	 PVR         
SDQR 	 PVCL        
SDQR 	 AVBL        
SDQR 	 AVBR        
SDQR 	 RIVR        
SDQR 	 SIADL       
SDQR 	 SIBDR       
SDQR 	 SMBVL       
PVDL 	 PVDR        
PVDL 	 AVFL        
PVDL 	 AVG         
PVDL 	 PVPL        
PVDL 	 PVCL        
PVDL 	 PVCR        
PVDL 	 AVAL        
PVDL 	 AVAR        
PVDL 	 AVDL        
PVDL 	 AVDR        
PVDL 	 DD05        
PVDL 	 VD10        
PVDL 	 hyp         
PVDL 	 PVZ         
PVDR 	 PVDL        
PVDR 	 DVA         
PVDR 	 PVR         
PVDR 	 PVCL        
PVDR 	 PVCR        
PVDR 	 AVAL        
PVDR 	 AVAR        
PVDR 	 AVDL        
PVDR 	 VA09        
PVDR 	 VA12        
PVDR 	 VB05        
PVDR 	 VB06        
PVDR 	 hyp         
BAGL 	 ASER        
BAGL 	 AFDR        
BAGL 	 AIBR        
BAGL 	 AIYR        
BAGL 	 RIAR        
BAGL 	 RIBR        
BAGL 	 RIGR        
BAGL 	 RMFR        
URXL 	 RMGL        
URXR 	 IL1R        
URXR 	 IL2R        
URXR 	 AUAR        
URXR 	 RIAR        
URXR 	 RICL        
URXR 	 RIGR        
URXR 	 RMGR        
URXR 	 AVER        
URYVL 	 RID         
AQR 	 ALMR        
AQR 	 BAGL        
AQR 	 ADEL        
AQR 	 RIAL        
AQR 	 RIAR        
AQR 	 DVA         
AQR 	 PVCL        
AQR 	 PVCR        
AQR 	 AVAR        
AQR 	 AVBL        
AQR 	 AVBR        
AQR 	 AVDL        
PQR 	 AVFR        
PQR 	 PVNL        
PQR 	 PVNR        
PQR 	 PVPL        
PQR 	 PVWL        
PQR 	 AVAL        
PQR 	 AVAR        
PQR 	 AVDL        
PQR 	 AVDR        
PQR 	 DA06        
PQR 	 DA08        
PQR 	 DB06        
PQR 	 DD05        
PQR 	 VA11        
PQR 	 VA12        
PQR 	 VB09        
PQR 	 VB10        
PQR 	 R3BL        
PQR 	 R7BL        
PQR 	 R7BR        
PQR 	 SPVR        
PQR 	 PVY         
PQR 	 EF2         
PQR 	 EF3         
AUAL 	 ADFL        
AUAL 	 RIAL        
AUAL 	 RIBL        
AUAL 	 AVAL        
AUAL 	 AVEL        
AUAR 	 ADFR        
AUAR 	 BAGL        
AUAR 	 URXR        
AUAR 	 RIAR        
AUAR 	 RIBR        
ADEL 	 ADER        
ADEL 	 RIGL        
ADEL 	 RIGR        
ADEL 	 RIH         
ADEL 	 RMGL        
ADEL 	 AVKL        
ADEL 	 DVA         
ADEL 	 PVQL        
ADEL 	 AVAR        
ADEL 	 RIVR        
ADEL 	 SAADR       
ADER 	 ADEL        
ADER 	 RIGL        
ADER 	 RIGR        
ADER 	 AVAL        
ADER 	 RIVL        
ADER 	 RIVR        
PDEL 	 PVM         
PDEL 	 AVKL        
PDEL 	 DVA         
PDEL 	 PVR         
PDEL 	 PVCL        
PDEL 	 VA10        
PDEL 	 VB09        
PDEL 	 hyp         
PDEL 	 ailR        
PDER 	 PVM         
PDER 	 PDEL        
PDER 	 PDER        
PDER 	 AVKL        
PDER 	 DVA         
PDER 	 PVR         
PDER 	 PVCL        
PDER 	 DB06        
PDER 	 VB10        
PDER 	 VB11        
PDER 	 VD12        
PDER 	 hyp         
PDER 	 R1BR        
PHAL 	 PHAR        
PHAL 	 PHBL        
PHAL 	 PHCL        
PHAL 	 PVCL        
PHAL 	 AVAL        
PHAL 	 LUAL        
PHAL 	 DA08        
PHAL 	 R3BL        
PHAL 	 R3BR        
PHAL 	 R8AL        
PHAL 	 R8AR        
PHAL 	 R9AL        
PHAL 	 PVX         
PHAL 	 DX1         
PHAL 	 EF3         
PHAL 	 CP07        
PHAR 	 PHAL        
PHAR 	 PHBR        
PHAR 	 AVFL        
PHAR 	 AVG         
PHAR 	 DVA         
PHAR 	 PVQR        
PHAR 	 PVCR        
PHAR 	 AVAL        
PHAR 	 LUAL        
PHAR 	 LUAR        
PHAR 	 DA09        
PHAR 	 PDA         
PHAR 	 R1BR        
PHAR 	 R3BL        
PHAR 	 R3BR        
PHAR 	 R6BR        
PHAR 	 R8AL        
PHAR 	 R8AR        
PHAR 	 R9BL        
PHAR 	 PCAL        
PHAR 	 PCAR        
PHAR 	 PVX         
PHAR 	 PVY         
PHAR 	 PVZ         
PHAR 	 EF1         
PHAR 	 EF2         
PHAR 	 CP07        
PHAR 	 ailR        
PHBL 	 PQR         
PHBL 	 PHAL        
PHBL 	 PHBR        
PHBL 	 AVG         
PHBL 	 AVHR        
PHBL 	 PVQR        
PHBL 	 LUAL        
PHBL 	 R3BR        
PHBL 	 R8AL        
PHBL 	 R9AL        
PHBL 	 HOA         
PHBL 	 HOB         
PHBL 	 PVX         
PHBL 	 PVY         
PHBL 	 DVE         
PHBL 	 DVF         
PHBL 	 DX1         
PHBL 	 DX3         
PHBL 	 EF3         
PHBL 	 cdlL        
PHBR 	 PHAR        
PHBR 	 PHBL        
PHBR 	 AVG         
PHBR 	 AVHR        
PHBR 	 PVQL        
PHBR 	 PVQR        
PHBR 	 LUAL        
PHBR 	 LUAR        
PHBR 	 PDB         
PHBR 	 R3BR        
PHBR 	 R9AR        
PHBR 	 R9BL        
PHBR 	 HOA         
PHBR 	 PCAR        
PHBR 	 PVX         
PHBR 	 PVY         
PHBR 	 DVE         
PHBR 	 EF1         
PHBR 	 EF2         
PHBR 	 CA07        
PHBR 	 CP07        
PHBR 	 vspR        
PHCL 	 PQR         
PHCL 	 PHCR        
PHCL 	 AVFR        
PHCL 	 PVNL        
PHCL 	 PVWL        
PHCL 	 PVCL        
PHCL 	 AVAR        
PHCL 	 AVDR        
PHCL 	 AS11        
PHCL 	 R3BL        
PHCL 	 R5BR        
PHCL 	 R6BR        
PHCL 	 R9AL        
PHCL 	 R9BL        
PHCR 	 PHCL        
PHCR 	 AVFL        
PHCR 	 AVFR        
PHCR 	 PVR         
PHCR 	 PVCR        
PHCR 	 AVAR        
PHCR 	 AVDR        
PHCR 	 DB07        
PHCR 	 R1BR        
PHCR 	 R6BR        
PHCR 	 R9BR        
AIAL 	 AWCL        
AIAL 	 AIAL        
AIAL 	 AIBL        
AIAL 	 AIYL        
AIAL 	 RIFL        
AIAR 	 ADLR        
AIAR 	 ASGR        
AIAR 	 ASHR        
AIAR 	 ASKR        
AIAR 	 AIBR        
AIAR 	 AIMR        
AIBL 	 AIBL        
AIBL 	 AIZR        
AIBL 	 RIBR        
AIBL 	 RMFR        
AIBL 	 AVKR        
AIBL 	 AVBL        
AIBL 	 AVEL        
AIBL 	 RIML        
AIBL 	 RIMR        
AIBL 	 SAADL       
AIBL 	 SAADR       
AIBL 	 SAAVL       
AIBL 	 SIBVR       
AIBL 	 SMDDR       
AIBR 	 ASGR        
AIBR 	 FLPR        
AIBR 	 AIAR        
AIBR 	 AIMR        
AIBR 	 RMFL        
AIBR 	 AVKR        
AIBR 	 DVA         
AIBR 	 AVBR        
AIBR 	 AVER        
AIBR 	 RIML        
AIBR 	 RIMR        
AIBR 	 RIVR        
AIBR 	 SAADL       
AIBR 	 SAADR       
AIBR 	 SAAVR       
AIBR 	 SMDDL       
AIYL 	 AWBL        
AIYL 	 AFDL        
AIYL 	 AUAL        
AIYL 	 AIZL        
AIYL 	 AIZR        
AIYL 	 RIAL        
AIYL 	 RIAR        
AIYL 	 RIBL        
AIYL 	 RIR         
AIYL 	 CEMVL       
AIYR 	 ADFR        
AIYR 	 AWAR        
AIYR 	 AWBR        
AIYR 	 AFDR        
AIYR 	 AIAR        
AIYR 	 AIZR        
AIYR 	 RIAR        
AIYR 	 RIBR        
AIYR 	 SIBDR       
AIYR 	 SMBDR       
AIZL 	 ADFL        
AIZL 	 AWAL        
AIZL 	 AIAL        
AIZL 	 AIBR        
AIZL 	 RIAL        
AIZL 	 RIAR        
AIZL 	 RIH         
AIZL 	 AVKR        
AIZL 	 DVA         
AIZL 	 AVER        
AIZL 	 RIML        
AIZL 	 SMBDL       
AIZL 	 SMBVL       
AIZL 	 SMBVR       
AIZR 	 ADFR        
AIZR 	 ADLR        
AIZR 	 AIAR        
AIZR 	 AIBL        
AIZR 	 AIZR        
AIZR 	 RIAR        
AIZR 	 AVKR        
AIZR 	 AVEL        
AIZR 	 RIMR        
AIZR 	 SMBDL       
AIZR 	 SMBDR       
AIZR 	 SMBVL       
AIZR 	 SMBVR       
ADAL 	 URYVL       
ADAL 	 AIBL        
ADAL 	 RIAL        
ADAL 	 RIBL        
ADAL 	 RICR        
ADAL 	 RIFL        
ADAL 	 RIGL        
ADAL 	 RMFL        
ADAL 	 RIPL        
ADAL 	 AVJL        
ADAL 	 DVC         
ADAL 	 AVBL        
ADAL 	 RIML        
ADAL 	 SAADL       
AIML 	 ASGL        
AIML 	 ASKL        
AIML 	 CEPVL       
AIML 	 AIAL        
AIML 	 AIBL        
AIML 	 RICL        
AIML 	 RID         
AIMR 	 ASGR        
AIMR 	 ASJR        
AIMR 	 ASKR        
AIMR 	 URXR        
AIMR 	 AIAR        
AIMR 	 AIBR        
AINL 	 SAAVL       
ALA 	 AVEL        
ALA 	 AVER        
RIAL 	 IL1DL       
RIAL 	 OLQVL       
RIAL 	 AUAL        
RIAL 	 RIAL        
RIAL 	 RIAR        
RIAL 	 RIBL        
RIAL 	 RIBR        
RIAL 	 RMGR        
RIAL 	 RMDDL       
RIAL 	 RMDDR       
RIAL 	 RMDL        
RIAL 	 RMDR        
RIAL 	 RMDVL       
RIAL 	 RMDVR       
RIAL 	 RIVL        
RIAL 	 RIVR        
RIAL 	 SAADL       
RIAL 	 SIADR       
RIAL 	 SIAVR       
RIAL 	 SMDDL       
RIAL 	 SMDDR       
RIAL 	 SMDVL       
RIAL 	 SMDVR       
RIAR 	 CEPVR       
RIAR 	 AIZL        
RIAR 	 AIZR        
RIAR 	 RIAL        
RIAR 	 RIBL        
RIAR 	 RIBR        
RIAR 	 RMGL        
RIAR 	 RMDDL       
RIAR 	 RMDDR       
RIAR 	 RMDL        
RIAR 	 RMDR        
RIAR 	 RMDVL       
RIAR 	 RMDVR       
RIAR 	 RIVL        
RIAR 	 RIVR        
RIAR 	 SAADR       
RIAR 	 SIADL       
RIAR 	 SIADR       
RIAR 	 SIAVL       
RIAR 	 SMDDL       
RIAR 	 SMDDR       
RIAR 	 SMDVL       
RIAR 	 SMDVR       
RIBL 	 RIAL        
RIBL 	 RIGL        
RIBL 	 RIS         
RIBL 	 AVER        
RIBL 	 RIMR        
RIBL 	 SMDDL       
RIBL 	 SMDVR       
RIBL 	 CEMVL       
RIBR 	 IL1R        
RIBR 	 IL2R        
RIBR 	 BAGL        
RIBR 	 AUAR        
RIBR 	 RIAL        
RIBR 	 RIAR        
RIBR 	 RIGR        
RIBR 	 RIS         
RIBR 	 AVEL        
RIBR 	 RMDDR       
RIBR 	 RMDR        
RIBR 	 RMDVR       
RICL 	 CEPDR       
RICL 	 CEPVR       
RICL 	 AIBR        
RICL 	 AVAL        
RICL 	 AVAR        
RICL 	 RIML        
RICL 	 RMHL        
RICL 	 SAAVL       
RICL 	 SAAVR       
RICL 	 SMDDL       
RICL 	 SMDDR       
RICL 	 SMDVR       
RICL 	 MCML        
RICR 	 CEPDL       
RICR 	 CEPVL       
RICR 	 AIBL        
RICR 	 ADAL        
RICR 	 RIAL        
RICR 	 RMFL        
RICR 	 AVAL        
RICR 	 AVAR        
RICR 	 RIML        
RICR 	 RIVR        
RICR 	 SAAVR       
RICR 	 SIADR       
RICR 	 SMBDR       
RICR 	 SMDDL       
RICR 	 SMDDR       
RICR 	 SMDVR       
RIFL 	 AIBL        
RIFL 	 AIYL        
RIFL 	 AVFL        
RIFL 	 AVBR        
RIFL 	 RIML        
RIFL 	 SIBVL       
RIFL 	 SMBVL       
RIFL 	 MCML        
RIFR 	 RIFR        
RIFR 	 AVFR        
RIFR 	 AVHR        
RIFR 	 AVBL        
RIFR 	 AVBR        
