condition	gene_symbol
EBV-BNLF2A	CPT1A
EBV-BNLF2A	SEC63
EBV-BNLF2A	SEC61A1
EBV-BNLF2A	MARCKS
EBV-BNLF2A	CTSB
EBV-BNLF2A	CLPTM1
EBV-BNLF2A	IPO9
EBV-BNLF2A	RRBP1
EBV-BNLF2A	ATP2C1
EBV-BNLF2A	USMG5
EBV-BNLF2A	PGRMC2
EBV-BNLF2A	SLC30A7
EBV-BNLF2A	KIRREL
EBV-BNLF2A	SLC30A9
EBV-BNLF2A	PIGT
EBV-BNLF2A	STIM1
EBV-BNLF2A	TNFRSF10B
EBV-BNLF2A	TRAM1
EBV-BNLF2A	ADCY6
EBV-BNLF2A	GGT7
EBV-BNLF2A	NCEH1
EBV-BNLF2A	ATP13A3
EBV-BNLF2A	TBC1D17
EBV-BNLF2A	RNF167
EBV-BNLF2A	SACM1L
EBV-BNLF2A	IL6ST
EBV-BNLF2A	SRPR
EBV-BNLF2A	SPTLC1
EBV-BNLF2A	NPEPPS
EBV-BNLF2A	GCN1L1
EBV-BNLF2A	C2orf18
EBV-BNLF2A	CD44
EBV-BNLF2A	EI24
EBV-BNLF2A	CHRM2
EBV-BNLF2A	FHL2
EBV-BNLF2A	DDR2
EBV-BNLF2A	MBOAT7
EBV-BNLF2A	ESYT2
EBV-BNLF2A	HDLBP
EBV-BNLF2A	STOM
EBV-BNLF2A	ICMT
EBV-BNLF2A	SCAMP3
EBV-BNLF2A	ATP5C1
EBV-BNLF2A	ADAM9
EBV-BNLF2A	TMEM175
EBV-BNLF2A	STX10
EBV-BNLF2A	TM9SF1
EBV-BNLF2A	BACE2
EBV-BNLF2A	PBXIP1
EBV-BNLF2A	SCAMP2
EBV-BNLF2A	RRAS
EBV-BNLF2A	MON2
EBV-BNLF2A	LAMTOR1
EBV-BNLF2A	HSDL1
EBV-BNLF2A	PKD2
EBV-BNLF2A	ATP6
EBV-BNLF2A	TMEM30A
EBV-BNLF2A	PLXNB2
EBV-BNLF2A	ATP5O
EBV-BNLF2A	ATP1A1
EBV-BNLF2A	SEC61B
EBV-BNLF2A	SPNS1
EBV-BNLF2A	IKBIP
EBV-BNLF2A	DPM1
EBV-BNLF2A	PPM1B
EBV-BNLF2A	ECE1
EBV-BNLF2A	VAMP5
EBV-BNLF2A	C19orf70
EBV-BNLF2A	SEC22B
EBV-BNLF2A	GNS
EBV-BNLF2A	PXN
EBV-BNLF2A	XPO7
EBV-BNLF2A	ALG5
EBV-BNLF2A	EGFR
EBV-BNLF2A	ACBD3
EBV-BNLF2A	RRAS2
EBV-BNLF2A	SCAMP4
EBV-BNLF2A	SCFD1
EBV-BNLF2A	TFRC
EBV-BNLF2A	LRPPRC
EBV-BNLF2A	DDOST
EBV-BNLF2A	SLC3A2
EBV-BNLF2A	HCCS
EBV-BNLF2A	ENG
EBV-BNLF2A	TBC1D15
EBV-BNLF2A	PFKP
EBV-BNLF2A	NDUFA4
EBV-BNLF2A	CKAP5
EBV-BNLF2A	VKORC1
EBV-BNLF2A	ITGB1
EBV-BNLF2A	PPAPDC2
EBV-BNLF2A	RPN2
EBV-BNLF2A	IGF2R
EBV-BNLF2A	TMEM55A
EBV-BNLF2A	MPZL1
EBV-BNLF2A	DNAJC16
EBV-BNLF2A	RTN4
EBV-BNLF2A	DPP7
EBV-BNLF2A	TM9SF3
EBV-BNLF2A	EFNB1
EBV-BNLF2A	AGK
EBV-BNLF2A	MAVS
EBV-BNLF2A	PGRMC1
EBV-BNLF2A	CNP
EBV-BNLF2A	TNPO1
EBV-BNLF2A	TMPO
EBV-BNLF2A	PTPRK
EBV-BNLF2A	ERLIN2
EBV-BNLF2A	TECR
EBV-BNLF2A	SNAP23
EBV-BNLF2A	MTCH2
EBV-BNLF2A	GGCX
EBV-BNLF2A	GLIPR1
EBV-BNLF2A	BAG3
EBV-BNLF2A	AXL
EBV-BNLF2A	C6orf64
EBV-BNLF2A	IPO5
EBV-BNLF2A	FZD6
EBV-BNLF2A	CLU
EBV-BNLF2A	SDCBP
EBV-BNLF2A	CNTNAP1
EBV-BNLF2A	ATP5J
EBV-BNLF2A	ATP2B4
EBV-BNLF2A	LOX
EBV-BNLF2A	CHCHD3
EBV-BNLF2A	FAS
EBV-BNLF2A	MMP14
EBV-BNLF2A	SCO2
EBV-BNLF2A	CDCP1
EBV-BNLF2A	ANKRD13A
EBV-BNLF2A	DGAT1
EBV-BNLF2A	LRP10
EBV-BNLF2A	CGRRF1
EBV-BNLF2A	STX4
EBV-BNLF2A	TMEM161A
EBV-BNLF2A	ZW10
EBV-BNLF2A	HM13
EBV-BNLF2A	ISG15
EBV-BNLF2A	ABCA13
EBV-BNLF2A	RAP1A
EBV-BNLF2A	TGFB1I1
EBV-BNLF2A	CHP
EBV-BNLF2A	CDIPT
EBV-BNLF2A	RDH14
EBV-BNLF2A	UNC93B1
EBV-BNLF2A	CYBRD1
EBV-BNLF2A	PNPLA6
EBV-BNLF2A	F2R
EBV-BNLF2A	RPS27L
EBV-BNLF2A	TAPBP
EBV-BNLF2A	MGST1
EBV-BNLF2A	ATP5H
EBV-BNLF2A	KDSR
EBV-BNLF2A	GJA1
EBV-BNLF2A	GALNT1
EBV-BNLF2A	MYLK
EBV-BNLF2A	GPX8
EBV-BNLF2A	VAT1
EBV-BNLF2A	PVR
EBV-BNLF2A	TMEM165
EBV-BNLF2A	TM9SF2
EBV-BNLF2A	KIAA0564
EBV-BNLF2A	COPB2
EBV-BNLF2A	TGFBR2
EBV-BNLF2A	CAND1
EBV-BNLF2A	SLC2A1
EBV-BNLF2A	COPB1
EBV-BNLF2A	PLXDC2
EBV-BNLF2A	PRAF2
EBV-BNLF2A	ATP5L
EBV-BNLF2A	RCN2
EBV-BNLF2A	RAB32
EBV-BNLF2A	MXRA8
EBV-BNLF2A	QPCTL
EBV-BNLF2A	MRGPRF
EBV-BNLF2A	PREB
EBV-BNLF2A	CLCN7
EBV-BNLF2A	MYOF
EBV-BNLF2A	WWOX
EBV-BNLF2A	IMMT
EBV-BNLF2A	MFSD10
EBV-BNLF2A	AGPAT6
EBV-BNLF2A	SURF4
EBV-BNLF2A	EMD
EBV-BNLF2A	BDKRB2
EBV-BNLF2A	TMX3
EBV-BNLF2A	C20orf3
EBV-BNLF2A	SLC25A22
EBV-BNLF2A	SRPRB
EBV-BNLF2A	CRIM1
EBV-BNLF2A	HMOX2
EBV-BNLF2A	HTT
EBV-BNLF2A	KPNB1
EBV-BNLF2A	SQRDL
EBV-BNLF2A	PLD3
EBV-BNLF2A	RHOT1
EBV-BNLF2A	RFTN1
EBV-BNLF2A	ARL1
EBV-BNLF2A	S100A16
EBV-BNLF2A	XPO1
EBV-BNLF2A	VAPA
EBV-BNLF2A	STX7
EBV-BNLF2A	TP53I11
EBV-BNLF2A	S1PR3
EBV-BNLF2A	GLIPR2
EBV-BNLF2A	TMX1
EBV-BNLF2A	COPE
EBV-BNLF2A	CALR
EBV-BNLF2A	ESYT1
EBV-BNLF2A	BSG
EBV-BNLF2A	ABCC1
EBV-BNLF2A	CANX
EBV-BNLF2A	TBL2
EBV-BNLF2A	STOML2
EBV-BNLF2A	ATP2A2
EBV-BNLF2A	CSPG4
EBV-BNLF2A	STX12
EBV-BNLF2A	PI4K2A
EBV-BNLF2A	ERGIC3
EBV-BNLF2A	TRPV2
EBV-BNLF2A	ERGIC1
EBV-BNLF2A	ASPH
EBV-BNLF2A	STT3A
EBV-BNLF2A	DHCR24
EBV-BNLF2A	SCARB2
EBV-BNLF2A	RAB18
EBV-BNLF2A	GBF1
EBV-BNLF2B	NPC2
EBV-BNLF2B	KANK2
EBV-BNLF2B	TMEM55B
EBV-BNLF2B	PITPNM3
EBV-BNLF2B	EGFR
EBV-BNLF2B	PRKACB
EBV-BNLF2B	TNFRSF10B
EBV-BNLF2B	CEP170
EBV-BNLF2B	LRP10
EBV-BNLF2B	PTRF
EBV-BNLF2B	VKORC1
EBV-BNLF2B	ITGB1
EBV-BNLF2B	PRKCDBP
EBV-BNLF2B	ITIH3
EBV-BNLF2B	PRKACA
EBV-BNLF2B	EMD
EBV-BNLF2B	SEC61B
EBV-BNLF2B	MAP7D1
EBV-BNLF2B	SEC22B
EBV-BNLF2B	LMO7
EBV-BNLF2B	STOM
EBV-BNLF2B	SQRDL
EBV-BNLF2B	MICAL2
EBV-BNLF2B	A2M
EBV-BNLF2B	ACBD3
EBV-BNLF2B	TRAM1
EBV-BNLF2B	MYOF
EBV-BNLF2B	ABCC1
EBV-BNLF2B	SURF4
EBV-BNLF2B	ABHD12
EBV-BNLF2B	TPP1
EBV-BNLF2B	CHCHD4
EBV-BNLF2B	CTSB
EBV-BNLF2B	SERPINE2
EBV-BNLF2B	AXL
EBV-BNLF2B	PLXNB2
EBV-BNLF2B	ATP2B4
EBV-BNLF2B	C9orf167
EBV-BNLF2B	PBXIP1
EBV-BNLF2B	TGFBR2
EBV-BNLF2B	FTH1
EBV-BNLF2B	CRIM1
EBV-BNLF2B	ANKRD13A
EBV-BNLF2B	RPL13A
EBV-BNLF2B	TNFRSF10D
EBV-BNLF2B	MMP14
EBV-BNLF2B	STIM1
EBV-BNRF1	SEC16A
EBV-BNRF1	RHOT2
EBV-BNRF1	ANK3
EBV-BNRF1	CCT3
EBV-BNRF1	FAT1
EBV-BNRF1	ATP2A2
EBV-BNRF1	EMD
EBV-BNRF1	CDIPT
EBV-BNRF1	BAG2
EBV-BNRF1	RUVBL2
EBV-BNRF1	LGALS3BP
EBV-BNRF1	ATRX
EBV-BNRF1	DNAJB1
EBV-BNRF1	ARL1
EBV-BNRF1	DNAJA1
EBV-BNRF1	ATXN2
EBV-BNRF1	KIAA0564
EBV-BNRF1	LAMA3
EBV-BNRF1	DNAJC7
EBV-BNRF1	VKORC1
EBV-BNRF1	MAGED1
EBV-BNRF1	CCDC165
EBV-BNRF1	PEX14
EBV-BNRF1	MAP2K3
EBV-BNRF1	BAG5
EBV-BNRF1	BAG3
EBV-BNRF1	NDUFA4
EBV-BNRF1	SEPT9
EBV-BNRF1	CNP
EBV-BNRF1	BAG6
EBV-BNRF1	DAXX
EBV-BNRF1	KANK2
EBV-BNRF1	LOX
EBV-BNRF1	RPS27L
EBV-BNRF1	UBR5
EBV-BNRF1	PSMC4
EBV-BNRF1	DNAJB4
EBV-BNRF1	SQRDL
EBV-BNRF1	CCT5
EBV-BNRF1	STUB1
EBV-BNRF1	CCT6B
EBV-BNRF1	CCT6A
EBV-BRLF1	SQRDL
EBV-BRLF1	TAF4
EBV-BRLF1	CREBBP
EBV-BRLF1	MTCH2
EBV-BRLF1	TAF6
EBV-BRLF1	ATAD3A
EBV-BRLF1	MYOF
EBV-BRLF1	EP300
EBV-BRLF1	IKBIP
EBV-BRLF1	SRRM2
EBV-BRLF1	RPL21
EBV-BRLF1	USP9X
EBV-BSRF1	PRAF2
EBV-BSRF1	TMEM55A
EBV-BSRF1	ADAM9
EBV-BSRF1	MBOAT7
EBV-BSRF1	ABHD12
EBV-BSRF1	VKORC1
EBV-BSRF1	SEC63
EBV-BSRF1	ATP1A1
EBV-BSRF1	PNKD
EBV-BSRF1	S100A6
EBV-BSRF1	IMMT
EBV-BSRF1	MPZL1
EBV-BSRF1	RPS27
EBV-BSRF1	A2M
EBV-BSRF1	AIFM1
EBV-BSRF1	ATP2A2
EBV-BSRF1	IGF2R
EBV-BSRF1	TOR1AIP2
EBV-BSRF1	DPP7
EBV-BSRF1	RRAS2
EBV-BSRF1	USMG5
EBV-BSRF1	FAS
EBV-BSRF1	ZDHHC17
EBV-BSRF1	SPNS1
EBV-BSRF1	RPS27L
EBV-BSRF1	PXN
EBV-BSRF1	IKBIP
EBV-BSRF1	SRPRB
EBV-BSRF1	SFXN3
EBV-BSRF1	BAG3
EBV-BSRF1	MYOF
EBV-BSRF1	SLC2A1
EBV-BSRF1	DNAJA1
EBV-BSRF1	SPARC
EBV-BSRF1	PDLIM7
EBV-BSRF1	COL6A1
EBV-BSRF1	MMP14
EBV-BSRF1	RAB18
EBV-BSRF1	CTSB
EBV-BSRF1	PFKP
EBV-BSRF1	SLC3A2
EBV-BSRF1	TMX3
EBV-BSRF1	SQRDL
EBV-BSRF1	TGFB1I1
EBV-BSRF1	GGT7
EBV-BSRF1	MAGED1
EBV-BSRF1	ERGIC1
EBV-BSRF1	SURF4
EBV-BSRF1	LOX
EBV-BSRF1	SRPR
EBV-BSRF1	PPM1B
EBV-BSRF1	TMEM165
EBV-BSRF1	PGRMC2
EBV-BSRF1	RTN4
EBV-BSRF1	CD44
EBV-BSRF1	SEC61B
EBV-BSRF1	F2R
EBV-BSRF1	SRR
EBV-BSRF1	SLC16A3
EBV-BSRF1	GPX8
EBV-BSRF1	CDIPT
EBV-BSRF1	CDS2
EBV-BSRF1	RAB34
EBV-BSRF1	PGRMC1
EBV-BSRF1	ASPH
EBV-BSRF1	TRAM1
EBV-BSRF1	GFPT1
EBV-BSRF1	EGFR
EBV-BSRF1	TBXAS1
EBV-BSRF1	PDXDC1
EBV-BSRF1	ARL1
EBV-BSRF1	ATP2C1
EBV-BSRF1	LAMTOR1
EBV-BSRF1	GAS6
EBV-BSRF1	SEC22B
EBV-BSRF1	CNP
EBV-BSRF1	NDUFA4
EBV-BSRF1	RAB32
EBV-BTRF1	TMEM165
EBV-BTRF1	CCDC165
EBV-BTRF1	RBPMS
EBV-BTRF1	PSMA6
EBV-BTRF1	CEP170
EBV-BTRF1	DNAJA3
EBV-BTRF1	PSMC4
EBV-BTRF1	KANK2
EBV-BTRF1	MTCH2
EBV-BTRF1	RPS27L
EBV-BTRF1	PSMC2
EBV-BTRF1	PSMC3
EBV-BTRF1	FASN
EBV-BTRF1	RPS27
EBV-BTRF1	PDLIM4
EBV-BTRF1	MYOF
EBV-BTRF1	PPP1CA
EBV-BTRF1	KIAA0664
EBV-BTRF1	TUBGCP6
EBV-BTRF1	UBR4
EBV-BTRF1	PSMD3
EBV-BTRF1	TNKS1BP1
EBV-BTRF1	CCT6A
EBV-BTRF1	PSMC1
EBV-BTRF1	UBR5
EBV-BTRF1	GAS6
EBV-BTRF1	LOX
EBV-BTRF1	PSMD1
EBV-BTRF1	SSFA2
EBV-BTRF1	NISCH
EBV-BTRF1	VKORC1
EBV-BTRF1	CNP
EBV-BTRF1	PEX14
EBV-BTRF1	PPP6R1
EBV-BTRF1	KIAA0564
EBV-BTRF1	TRAFD1
EBV-BTRF1	TIMM8A
EBV-BTRF1	RUVBL2
EBV-BTRF1	ATXN2
EBV-BTRF1	PSMB2
EBV-BTRF1	C9orf167
EBV-BTRF1	TTC38
EBV-BTRF1	TIMM13
EBV-BTRF1	PJA2
EBV-BTRF1	DNAJA1
EBV-BTRF1	TGFB1I1
EBV-BTRF1	TRAM1
EBV-BTRF1	SQRDL
EBV-BTRF1	MAP7D1
EBV-BTRF1	BAG2
EBV-BTRF1	PXN
EBV-BTRF1	BAG6
EBV-BTRF1	PDLIM7
EBV-BTRF1	CAPN2
EBV-BTRF1	BAG3
EBV-BTRF1	EMD
EBV-BTRF1	PSMC5
EBV-BTRF1	PSMA1
EBV-BTRF1	CCT3
EBV-BTRF1	CBS
EBV-BTRF1	PSMD13
EBV-BTRF1	PSMD4
EBV-BTRF1	ATP2A2
EBV-BTRF1	FAT1
EBV-BTRF1	CCT6B
EBV-BTRF1	UGGT2
EBV-BTRF1	PDXDC1
EBV-BTRF1	FHL2
EBV-BTRF1	JAK1
EBV-BTRF1	MAGED1
EBV-BTRF1	MARCKS
EBV-BTRF1	PSMD14
EBV-BTRF1	CCT5
EBV-BTRF1	NDUFA4
EBV-BTRF1	SRRM2
EBV-BVLF1	ADNP
EBV-BVLF1	RUVBL2
EBV-BVLF1	UBR4
EBV-BVLF1	DNAJA3
EBV-BVLF1	CRIP2
EBV-BVLF1	KIAA1462
EBV-BVLF1	DYNC1H1
EBV-BVLF1	MBOAT7
EBV-BVLF1	KIF1B
EBV-BVLF1	TOR1AIP2
EBV-BVLF1	SFXN3
EBV-BVLF1	COPE
EBV-BVLF1	ANKRD40
EBV-BVLF1	STUB1
EBV-BVLF1	NCKAP5L
EBV-BVLF1	KANK2
EBV-BVLF1	SDF4
EBV-BVLF1	FN1
EBV-BVLF1	MTCH2
EBV-BVLF1	PSMD8
EBV-BVLF1	TMEM165
EBV-BVLF1	SEC63
EBV-BVLF1	PSMC1
EBV-BVLF1	SEPT9
EBV-BVLF1	TRAM1
EBV-BVLF1	BAG3
EBV-BVLF1	RCN2
EBV-BVLF1	RNF126
EBV-BVLF1	PSMA4
EBV-BVLF1	IKBIP
EBV-BVLF1	TRIM65
EBV-BVLF1	PSMA6
EBV-BVLF1	BAG6
EBV-BVLF1	DDX6
EBV-BVLF1	DNAJA1
EBV-BVLF1	HPS6
EBV-BVLF1	PSMD7
EBV-BVLF1	PSMD13
EBV-BVLF1	RAB32
EBV-BVLF1	ACSL3
EBV-BVLF1	HDLBP
EBV-BVLF1	DDOST
EBV-BVLF1	LLGL1
EBV-BVLF1	YEATS2
EBV-BVLF1	RHOT1
EBV-BVLF1	CCT5
EBV-BVLF1	PNPLA6
EBV-BVLF1	USMG5
EBV-BVLF1	RBPMS
EBV-BVLF1	CNOT1
EBV-BVLF1	ATXN2
EBV-BVLF1	SRPRB
EBV-BVLF1	PGRMC1
EBV-BVLF1	PSMD11
EBV-BVLF1	SQRDL
EBV-BVLF1	SORT1
EBV-BVLF1	MYOF
EBV-BVLF1	ATP5J
EBV-BVLF1	TGFB1I1
EBV-BVLF1	PSMA7
EBV-BVLF1	SPARC
EBV-BVLF1	HELZ
EBV-BVLF1	PSMC6
EBV-BVLF1	FHL2
EBV-BVLF1	SRPR
EBV-BVLF1	PSMD1
EBV-BVLF1	PSMC5
EBV-BVLF1	PFKP
EBV-BVLF1	UCHL5
EBV-BVLF1	SSR4
EBV-BVLF1	PPM1B
EBV-BVLF1	ADRM1
EBV-BVLF1	VKORC1
EBV-BVLF1	PSMD14
EBV-BVLF1	BICC1
EBV-BVLF1	SH3BP4
EBV-BVLF1	PSMB4
EBV-BVLF1	TAF6L
EBV-BVLF1	FILIP1L
EBV-BVLF1	DNAJC16
EBV-BVLF1	DPM1
EBV-BVLF1	CRYBG3
EBV-BVLF1	NISCH
EBV-BVLF1	FAM178A
EBV-BVLF1	PPM1A
EBV-BVLF1	PPP6R1
EBV-BVLF1	SEC62
EBV-BVLF1	RPS27L
EBV-BVLF1	PRAF2
EBV-BVLF1	CSPG4
EBV-BVLF1	PREB
EBV-BVLF1	RAB5C
EBV-BVLF1	ATAD3A
EBV-BVLF1	USP9X
EBV-BVLF1	PRKAR1A
EBV-BVLF1	FARSA
EBV-BVLF1	BAG2
EBV-BVLF1	PSMD12
EBV-BVLF1	S100A6
EBV-BVLF1	MAP7D1
EBV-BVLF1	JAK1
EBV-BVLF1	IGF2R
EBV-BVLF1	CLPTM1
EBV-BVLF1	ABHD12
EBV-BVLF1	ATP5O
EBV-BVLF1	ABCD1
EBV-BVLF1	PSMB1
EBV-BVLF1	SPTLC1
EBV-BVLF1	PDXDC1
EBV-BVLF1	MKRN1
EBV-BVLF1	TRAFD1
EBV-BVLF1	ABLIM3
EBV-BVLF1	QPCTL
EBV-BVLF1	MPZL1
EBV-BVLF1	ATP2A2
EBV-BVLF1	ANKRD13A
EBV-BVLF1	PXN
EBV-BVLF1	TFRC
EBV-BVLF1	RFTN1
EBV-BVLF1	ZYX
EBV-BVLF1	HSPA4
EBV-BVLF1	PSMC2
EBV-BVLF1	CCT6A
EBV-BVLF1	CNP
EBV-BVLF1	COL6A1
EBV-BVLF1	FAT1
EBV-BVLF1	AIFM1
EBV-BVLF1	ATP2B4
EBV-BVLF1	PRRC2C
EBV-BVLF1	RIN1
EBV-BVLF1	PDLIM5
EBV-BVLF1	KIAA0564
EBV-BVLF1	TMX3
EBV-BVLF1	PFKL
EBV-BVLF1	SURF4
EBV-BVLF1	PEX14
EBV-BVLF1	GAS6
EBV-BVLF1	PSMA1
EBV-BVLF1	TUBGCP6
EBV-BVLF1	ZFPL1
EBV-BVLF1	SEC61B
EBV-BVLF1	LOX
EBV-BVLF1	PSMA5
EBV-BVLF1	GFPT1
EBV-BVLF1	RBMS2
EBV-BVLF1	CSRP2
EBV-BVLF1	PSMD4
EBV-BVLF1	RAB18
EBV-BVLF1	GET4
EBV-BVLF1	DNAJB4
EBV-BVLF1	FNDC3B
EBV-BVLF1	MAGED1
EBV-BVLF1	C9orf167
EBV-BVLF1	CTSB
EBV-BVLF1	CDKAL1
EBV-BVLF1	ASPH
EBV-BVLF1	GPX8
EBV-BVLF1	IGF2BP2
EBV-BVLF1	TMPO
EBV-BVLF1	UBR5
EBV-BVLF1	TNKS1BP1
EBV-BVLF1	PDLIM4
EBV-BVLF1	CCT3
EBV-BVLF1	PSMC4
EBV-BVLF1	MMP14
EBV-BVLF1	NDUFA4
EBV-BVLF1	PSMC3
EBV-BVLF1	PSMD3
EBV-BVLF1	PGRMC2
EBV-BVLF1	CTNND1
EBV-BVLF1	RPS5
EBV-BVLF1	COPA
EBV-BVLF1	EFEMP2
EBV-BVLF1	PALLD
EBV-BVLF1	SEC22B
EBV-BVLF1	TRIM32
EBV-BVLF1	PJA2
EBV-BVLF1	EMILIN1
EBV-BVLF1	ESYT1
EBV-BVLF1	IARS
EBV-BVLF1	PSMB2
EBV-BVLF1	TCP11L1
EBV-BVLF1	PDLIM7
EBV-BVLF1	BABAM1
EBV-BVLF1	RANBP2
EBV-BVLF1	CNN1
EBV-BVLF1	TMCO4
EBV-BVLF1	CD44
EBV-BVLF1	PDGFRB
EBV-BVLF1	UBL4A
EBV-BVLF1	RAB34
EBV-BVLF1	EMD
EBV-BVLF1	PEX19
EBV-BVLF1	BAG5
EBV-BVLF1	FAS
EBV-BVLF1	RPS27
EBV-BXLF1	PRAF2
EBV-BXLF1	CSRP2
EBV-BXLF1	ASPH
EBV-BXLF1	PDLIM7
EBV-BXLF1	YPEL5
EBV-BXLF1	PPM1B
EBV-BXLF1	EMD
EBV-BXLF1	NDUFA4
EBV-BXLF1	MYOF
EBV-BXLF1	MAP4
EBV-BXLF1	SH3KBP1
EBV-BXLF1	LRPPRC
EBV-BXLF1	PNPLA6
EBV-BXLF1	SQRDL
EBV-BXLF1	MRPS22
EBV-BXLF1	C9orf167
EBV-BXLF1	ATP2A2
EBV-BXLF1	TRAM1
EBV-BXLF1	AP3B1
EBV-BXLF1	RTN4
EBV-BXLF1	MTCH2
EBV-BXLF1	SND1
EBV-BXLF1	KANK2
EBV-BXLF1	VPS11
EBV-BXLF1	SRRM2
EBV-BXLF1	NAGK
EBV-BXLF1	CNN1
EBV-BXLF1	PFN2
EBV-BXLF1	USP9X
EBV-BXLF1	CTSB
EBV-BXLF1	UBR5
EBV-BXLF1	CAPZB
EBV-BXLF1	HDLBP
EBV-BXLF1	MTHFD1L
EBV-BXLF1	SRPRB
EBV-BXLF1	CTNND1
EBV-BXLF1	ACOT9
EBV-BXLF1	RPL13A
EBV-EBNA1	SFRP1
EBV-EBNA1	RPS24
EBV-EBNA1	SPATS2L
EBV-EBNA1	CSNK2B
EBV-EBNA1	IGF2BP3
EBV-EBNA1	RPL35
EBV-EBNA1	SRPK2
EBV-EBNA1	IGF2BP1
EBV-EBNA1	RPL34
EBV-EBNA1	RSL1D1
EBV-EBNA1	KPNA6
EBV-EBNA1	HMGA2
EBV-EBNA1	RPL39
EBV-EBNA1	MAP7D1
EBV-EBNA1	GIF
EBV-EBNA1	HP1BP3
EBV-EBNA1	RPL21
EBV-EBNA1	GREM1
EBV-EBNA1	USP7
EBV-EBNA1	RPS7
EBV-EBNA1	RPL37A
EBV-EBNA1	FARP1
EBV-EBNA1	RPL28
EBV-EBNA1	SRRM1
EBV-EBNA1	PLOD1
EBV-EBNA1	SRPK1
EBV-EBNA1	PTRF
EBV-EBNA1	IGF2BP2
EBV-EBNA1	RPS13
EBV-EBNA1	UPF1
EBV-EBNA1	RPL31
EBV-EBNA1	PRMT1
EBV-EBNA1	STAU1
EBV-EBNA1	RPL13A
EBV-EBNA1	RPL3
EBV-EBNALP	DNAJB4
EBV-EBNALP	DNAJC13
EBV-EBNALP	KIAA1967
EBV-EBNALP	P4HA3
EBV-EBNALP	SRRM2
EBV-EBNALP	RNF219
EBV-EBNALP	CLU
EBV-EBNALP	STUB1
EBV-EBNALP	BAG2
EBV-EBNALP	SQRDL
EBV-EBNALP	P4HB
EBV-EBNALP	MYOF
EBV-EBNALP	HSPA4
EBV-EBNALP	SP100
EBV-EBNALP	DNAJB5
EBV-EBNALP	DNAJB6
EBV-EBNALP	CDKN1A
EBV-EBNALP	PRPF39
EBV-EBNALP	AKAP8L
EBV-EBNALP	P4HA1
EBV-EBNALP	LOX
EBV-EBNALP	DNAJC16
EBV-EBNALP	MLF2
EBV-EBNALP	BAG5
EBV-EBNALP	HAX1
EBV-EBNALP	RPL13A
EBV-EBNALP	DNAJB1
EBV-EBNALP	UBR5
EBV-EBNALP	KANK2
EBV-EBNALP	P4HA2
EBV-EBNALP	HSPB8
EBV-EBNALP	PCNA
EBV-EBNALP	RUVBL2
EBV-EBNALP	LEPRE1
EBV-EBNALP	EMD
EBV-EBNALP	BAG3
EBV-LMP2A	PSMC3
EBV-LMP2A	PSMD1
EBV-LMP2A	AXL
EBV-LMP2A	ANKRD13A
EBV-LMP2A	CDCP1
EBV-LMP2A	NEDD4L
EBV-LMP2A	PSMB6
EBV-LMP2A	UBAC2
EBV-LMP2A	PSMA3
EBV-LMP2A	PSMA6
EBV-LMP2A	SPTLC1
EBV-LMP2A	PSMD6
EBV-LMP2A	SRRM2
EBV-LMP2A	UGCG
EBV-LMP2A	TOLLIP
EBV-LMP2A	PSMD4
EBV-LMP2A	PSME2
EBV-LMP2A	PSMB4
EBV-LMP2A	PSMC1
EBV-LMP2A	MBOAT7
EBV-LMP2A	TOR1AIP1
EBV-LMP2A	PSMD7
EBV-LMP2A	PSMD14
EBV-LMP2A	PSME3
EBV-LMP2A	PSMA5
EBV-LMP2A	PSMC4
EBV-LMP2A	PSMA1
EBV-LMP2A	C5orf15
EBV-LMP2A	FAF2
EBV-LMP2A	VKORC1
EBV-LMP2A	UBASH3B
EBV-LMP2A	PSMB8
EBV-LMP2A	PSMB2
EBV-LMP2A	TGFBR2
EBV-LMP2A	WWP1
EBV-LMP2A	SURF4
EBV-LMP2A	LAPTM4A
EBV-LMP2A	PSMC5
EBV-LMP2A	PDGFRB
EBV-LMP2A	PSME1
EBV-LMP2A	RNF181
EBV-LMP2A	MYOF
EBV-LMP2A	PSMG1
EBV-LMP2A	FAM192A
EBV-LMP2A	PSME4
EBV-LMP2A	PSMB9
EBV-LMP2A	CD44
EBV-LMP2A	PLXNB2
EBV-LMP2A	FAT1
EBV-LMP2A	WWP2
EBV-LMP2A	PSMA7
EBV-LMP2A	PSMA4
EBV-LMP2A	PSMC6
EBV-LMP2A	PSMB7
EBV-LMP2A	GPX8
EBV-LMP2A	ATP2A2
EBV-LMP2A	LRP10
EBV-LMP2A	PSMA2
EBV-LMP2A	PHB2
EBV-LMP2A	PSMB5
EBV-LMP2A	PSMC2
EBV-LMP2A	PSMB1
EBV-LMP2A	ITCH
EBV-LMP2A	NEDD4
EBV-LMP2A	CUBN
EBV-LMP2A	PRAF2
EBV-LMP2A	LAMP1
EBV-LMP2A	SNX3
EBV-LMP2A	PSMD8
EBV-LMP2A	PSMB3
EBV-LMP2A	PSMD3
EBV-LMP2A	ATP2C1
EBV-LMP2A	EMD
HPV11-E5B	ADCY6
HPV11-E5B	JAK1
HPV11-E5B	TRAM1
HPV11-E5B	COPB2
HPV11-E5B	C9orf167
HPV11-E5B	HAX1
HPV11-E5B	ATP13A1
HPV11-E5B	SLC25A12
HPV11-E5B	NDUFA4
