condition	gene_symbol
EBV-BALF1	RNF149
EBV-BALF1	EPHB4
EBV-BALF1	NDFIP1
EBV-BALF1	SRRM2
EBV-BALF1	PPM1B
EBV-BALF1	PPFIA1
EBV-BALF1	SYT11
EBV-BALF1	AXL
EBV-BALF1	RCN3
EBV-BALF1	PGRMC1
EBV-BALF1	SEC61B
EBV-BALF1	PHLDB2
EBV-BALF1	OSTM1
EBV-BALF1	RAB18
EBV-BALF1	SLC12A4
EBV-BALF1	C5orf15
EBV-BALF1	TMEM30A
EBV-BALF1	C9orf167
EBV-BALF1	TMEM200A
EBV-BALF1	UBR5
EBV-BALF1	ABLIM3
EBV-BALF1	ITGB1
EBV-BALF1	TGFBR2
EBV-BALF1	STIM1
EBV-BALF1	TFRC
EBV-BALF1	EPHB2
EBV-BALF1	OSMR
EBV-BALF1	SNAP23
EBV-BALF1	PGRMC2
EBV-BALF1	ATAD3A
EBV-BALF1	CRIM1
EBV-BALF1	ANKRD13A
EBV-BALF1	DNAJA1
EBV-BALF1	STX12
EBV-BALF1	ADCY6
EBV-BALF1	RPS6KA3
EBV-BALF1	PSMD4
EBV-BALF1	IKBIP
EBV-BALF1	INF2
EBV-BALF1	LRP12
EBV-BALF1	STOM
EBV-BALF1	LIFR
EBV-BALF1	ITM2C
EBV-BALF1	EGFR
EBV-BALF1	STX7
EBV-BALF1	MMP14
EBV-BALF1	PSMC1
EBV-BALF1	CD44
EBV-BALF1	ERGIC3
EBV-BALF1	MPZL1
EBV-BALF1	CNP
EBV-BALF1	PDGFRB
EBV-BALF1	BSG
EBV-BALF1	RNF11
EBV-BALF1	PRAF2
EBV-BALF1	CALR
EBV-BALF1	ACBD3
EBV-BALF1	CTNNA1
EBV-BALF1	GREM1
EBV-BALF1	LAMTOR1
EBV-BALF1	SDCBP
EBV-BALF1	TMEM55B
EBV-BALF1	PBXIP1
EBV-BALF1	JAK1
EBV-BALF1	TOLLIP
EBV-BALF1	EMD
EBV-BDLF3.5	SRPRB
EBV-BDLF3.5	DNAJA1
EBV-BDLF3.5	COMT
EBV-BDLF3.5	MYOF
EBV-BDLF3.5	PPM1B
EBV-BDLF3.5	PDXDC1
EBV-BDLF3.5	SQRDL
EBV-BDLF3.5	COL6A3
EBV-BDLF3.5	VKORC1
EBV-BDLF3.5	PGRMC2
EBV-BDLF3.5	RTN4
EBV-BDLF3.5	ABHD12
EBV-BDLF3.5	ACBD3
EBV-BDLF3.5	CCT6A
EBV-BDLF3.5	CCT5
EBV-BDLF3.5	MTCH2
EBV-BDLF3.5	JAK1
EBV-BDLF3.5	GAS6
EBV-BDLF3.5	ATP2A2
EBV-BDLF3.5	LOX
EBV-BDLF3.5	MMP14
EBV-BDLF3.5	COL6A1
EBV-BDLF3.5	FN1
EBV-BDLF3.5	MARCKS
EBV-BDLF3.5	RPS27
EBV-BDLF3.5	COL6A2
EBV-BDLF3.5	ACSL3
EBV-BDLF4	SRR
EBV-BDLF4	DNAJA3
EBV-BDLF4	SSR4
EBV-BDLF4	PFKP
EBV-BDLF4	TMX3
EBV-BDLF4	EFEMP2
EBV-BDLF4	SEC16A
EBV-BDLF4	PFKL
EBV-BDLF4	MYOF
EBV-BDLF4	PSMC3
EBV-BDLF4	QPCTL
EBV-BDLF4	SPTLC1
EBV-BDLF4	LGALS3BP
EBV-BDLF4	CNN2
EBV-BDLF4	ECE1
EBV-BDLF4	IKBIP
EBV-BDLF4	PPP6R3
EBV-BDLF4	OSTC
EBV-BDLF4	TMCO4
EBV-BDLF4	MTCH2
EBV-BDLF4	IGF2R
EBV-BDLF4	SERPINE2
EBV-BDLF4	PDLIM4
EBV-BDLF4	RPN2
EBV-BDLF4	RPS27
EBV-BDLF4	PPP2R1A
EBV-BDLF4	CCT3
EBV-BDLF4	TRAFD1
EBV-BDLF4	TNKS1BP1
EBV-BDLF4	RAB18
EBV-BDLF4	MANF
EBV-BDLF4	AXL
EBV-BDLF4	CLU
EBV-BDLF4	BAG3
EBV-BDLF4	PPAPDC2
EBV-BDLF4	ADAM10
EBV-BDLF4	CCT5
EBV-BDLF4	SPTLC2
EBV-BDLF4	MMP14
EBV-BDLF4	PDXDC1
EBV-BDLF4	MAGED1
EBV-BDLF4	PRAF2
EBV-BDLF4	AKAP12
EBV-BDLF4	EGFR
EBV-BDLF4	C20orf3
EBV-BDLF4	RUVBL2
EBV-BDLF4	TPP1
EBV-BDLF4	PDLIM5
EBV-BDLF4	EHD2
EBV-BDLF4	C9orf167
EBV-BDLF4	PSMD3
EBV-BDLF4	EPRS
EBV-BDLF4	PEX14
EBV-BDLF4	ICAM1
EBV-BDLF4	PLOD2
EBV-BDLF4	NAV1
EBV-BDLF4	AKAP11
EBV-BDLF4	CCT6A
EBV-BDLF4	FN1
EBV-BDLF4	PNPLA6
EBV-BDLF4	PTTG1IP
EBV-BDLF4	JAK1
EBV-BDLF4	GGCX
EBV-BDLF4	MAGED2
EBV-BDLF4	CTSB
EBV-BDLF4	CD44
EBV-BDLF4	CEP170
EBV-BDLF4	RFTN1
EBV-BDLF4	SCO2
EBV-BDLF4	ARL1
EBV-BDLF4	SDF4
EBV-BDLF4	TMEM165
EBV-BDLF4	COL6A3
EBV-BDLF4	PCOLCE
EBV-BDLF4	HDLBP
EBV-BDLF4	SEPT9
EBV-BDLF4	BSG
EBV-BDLF4	ADAM9
EBV-BDLF4	CAND1
EBV-BDLF4	WNT5A
EBV-BDLF4	TGFB1I1
EBV-BDLF4	FKBP9
EBV-BDLF4	CNP
EBV-BDLF4	MBOAT7
EBV-BDLF4	FAS
EBV-BDLF4	BAG6
EBV-BDLF4	SLC7A5
EBV-BDLF4	GAS6
EBV-BDLF4	DDOST
EBV-BDLF4	UBR5
EBV-BDLF4	NOTCH2
EBV-BDLF4	RPS27L
EBV-BDLF4	DNAJA1
EBV-BDLF4	PPP6R1
EBV-BDLF4	STIM1
EBV-BDLF4	PPM1B
EBV-BDLF4	SH3BP4
EBV-BDLF4	RCN2
EBV-BDLF4	USO1
EBV-BDLF4	SPARC
EBV-BDLF4	SFXN3
EBV-BDLF4	COL6A1
EBV-BDLF4	TMEM55A
EBV-BDLF4	CANX
EBV-BDLF4	USMG5
EBV-BDLF4	GPX8
EBV-BDLF4	FHL2
EBV-BDLF4	CRYBG3
EBV-BDLF4	ATP2C1
EBV-BDLF4	ALG1
EBV-BDLF4	EMD
EBV-BDLF4	RBPMS
EBV-BDLF4	IPO5
EBV-BDLF4	PXN
EBV-BDLF4	KANK2
EBV-BDLF4	CHP
EBV-BDLF4	IARS
EBV-BDLF4	ZAK
EBV-BDLF4	CBS
EBV-BDLF4	PSMC4
EBV-BDLF4	SQRDL
EBV-BDLF4	GFPT1
EBV-BDLF4	TSHZ3
EBV-BDLF4	LAMC1
EBV-BDLF4	COPA
EBV-BDLF4	MRC2
EBV-BDLF4	GCN1L1
EBV-BDLF4	USP47
EBV-BDLF4	SRRM2
EBV-BDLF4	SLC27A4
EBV-BDLF4	SORT1
EBV-BDLF4	SEC22B
EBV-BDLF4	LOX
EBV-BDLF4	DNAJB2
EBV-BDLF4	SLC25A22
EBV-BDLF4	PGRMC2
EBV-BDLF4	COPE
EBV-BDLF4	CDKAL1
EBV-BDLF4	TOR1AIP2
EBV-BDLF4	SRPRB
EBV-BDLF4	COL6A2
EBV-BDLF4	VKORC1
EBV-BDLF4	DPM1
EBV-BDLF4	TMEM30A
EBV-BDLF4	ASPH
EBV-BDLF4	DPP7
EBV-BDLF4	ARAF
EBV-BDLF4	ERGIC1
EBV-BDLF4	CTNND1
EBV-BDLF4	PGRMC1
EBV-BDLF4	SRPR
EBV-BDLF4	DYNC1H1
EBV-BDLF4	CNTNAP1
EBV-BDLF4	CRIM1
EBV-BDLF4	FARSA
EBV-BDLF4	ABHD12
EBV-BDLF4	RAB32
EBV-BDLF4	INF2
EBV-BDLF4	PSMD14
EBV-BDLF4	PSMD1
EBV-BDLF4	ITGB1
EBV-BDLF4	QSOX1
EBV-BDLF4	NOTCH3
EBV-BDLF4	P4HB
EBV-BDLF4	TFRC
EBV-BDLF4	PON2
EBV-BDLF4	FOXF1
EBV-BDLF4	ACSL3
EBV-BDLF4	PLOD1
EBV-BDLF4	TNS3
EBV-BDLF4	F2R
EBV-BDLF4	GBF1
EBV-BDLF4	TRAM1
EBV-BDLF4	PCDHGB5
EBV-BDLF4	MYO9B
EBV-BDLF4	ITM2C
EBV-BDLF4	DARS
EBV-BDLF4	NDUFA4
EBV-BDLF4	PJA2
EBV-BDLF4	SURF4
EBV-BDLF4	PDLIM7
EBV-BDLF4	KIRREL
EBV-BDLF4	SEC61B
EBV-BDLF4	SLC3A2
EBV-BDLF4	SLC2A1
EBV-BDLF4	GALNT5
EBV-BDLF4	CSRP2
EBV-BDLF4	GGT7
EBV-BDLF4	MARCKS
EBV-BDLF4	DNAH1
EBV-BDLF4	PDGFRB
EBV-BDLF4	RNH1
EBV-BDLF4	PCNA
EBV-BDLF4	C5orf15
EBV-BDLF4	AIFM1
EBV-BDLF4	CDS2
EBV-BDLF4	MYH2
EBV-BDLF4	CDIPT
EBV-BDLF4	PRKAR1A
EBV-BDLF4	ATP2A2
EBV-BDLF4	CTNNA1
EBV-BFLF2	CEP170
EBV-BFLF2	KPNB1
EBV-BFLF2	SQRDL
EBV-BFLF2	C9orf167
EBV-BFLF2	PPM1B
EBV-BFLF2	MBOAT7
EBV-BFLF2	PLXNB2
EBV-BFLF2	PPP6R3
EBV-BFLF2	CNN2
EBV-BFLF2	CCT3
EBV-BFLF2	DNAJA1
EBV-BFLF2	LOX
EBV-BFLF2	RNF219
EBV-BFLF2	MARS
EBV-BFLF2	AIFM1
EBV-BFLF2	MAP7D1
EBV-BFLF2	TGFB1I1
EBV-BFLF2	CCT6A
EBV-BFLF2	A2M
EBV-BFLF2	RPL13A
EBV-BFLF2	IPO5
EBV-BFLF2	SRPR
EBV-BFLF2	FTH1
EBV-BFLF2	PRMT1
EBV-BFLF2	RTN4
EBV-BFLF2	CTSB
EBV-BFLF2	PLD3
EBV-BFLF2	SRRM2
EBV-BFLF2	RNH1
EBV-BFLF2	FHL2
EBV-BFLF2	PDGFRB
EBV-BFLF2	PTRF
EBV-BFLF2	PFN2
EBV-BFLF2	S100A10
EBV-BFLF2	JAK1
EBV-BFLF2	LMO7
EBV-BFLF2	PDXDC1
EBV-BFLF2	SEPT9
EBV-BFLF2	RUVBL2
EBV-BFLF2	MYOF
EBV-BFLF2	EMD
EBV-BFLF2	ASPH
EBV-BFLF2	RPS27
EBV-BFLF2	COL6A1
EBV-BFLF2	COMT
EBV-BFLF2	PXN
EBV-BFLF2	MARCKS
EBV-BFLF2	UBR5
EBV-BFLF2	INF2
EBV-BFLF2	PPP2R1A
EBV-BFLF2	ARHGAP1
EBV-BFLF2	TNS3
EBV-BFLF2	DYNC1H1
EBV-BFLF2	CNP
EBV-BFLF2	KANK2
EBV-BFLF2	ATP2A2
EBV-BFRF0.5	EEF1B2
EBV-BFRF0.5	CTSB
EBV-BFRF0.5	MYOF
EBV-BFRF0.5	TUBGCP6
EBV-BFRF0.5	CTNND1
EBV-BFRF0.5	KIAA1598
EBV-BFRF0.5	GAS6
EBV-BFRF0.5	PPP2R1A
EBV-BFRF0.5	FAT1
EBV-BFRF0.5	C9orf167
EBV-BFRF0.5	SPARC
EBV-BFRF0.5	PPM1B
EBV-BFRF0.5	KANK2
EBV-BFRF0.5	SQRDL
EBV-BFRF0.5	PDXDC1
EBV-BFRF0.5	AXL
EBV-BFRF0.5	JAK1
EBV-BFRF0.5	PSMC4
EBV-BFRF0.5	ITGB1
EBV-BFRF0.5	ATP11C
EBV-BFRF0.5	VKORC1
EBV-BFRF0.5	ARHGDIA
EBV-BFRF0.5	CBX5
EBV-BFRF0.5	LMOD1
EBV-BFRF0.5	PPP6R1
EBV-BFRF0.5	MAP7D1
EBV-BFRF0.5	NACA
EBV-BFRF0.5	DOCK11
EBV-BFRF0.5	SETX
EBV-BFRF0.5	FTH1
EBV-BFRF0.5	DOCK9
EBV-BFRF0.5	ECE1
EBV-BFRF0.5	TMEM30A
EBV-BFRF0.5	CCT3
EBV-BFRF0.5	IWS1
EBV-BFRF0.5	PPP2R2A
EBV-BFRF0.5	NISCH
EBV-BFRF0.5	DNAJA1
EBV-BFRF0.5	PDLIM5
EBV-BFRF0.5	EHMT1
EBV-BFRF0.5	RUVBL2
EBV-BFRF0.5	MARS
EBV-BFRF0.5	CCT5
EBV-BFRF0.5	DPP7
EBV-BFRF0.5	ATP2A2
EBV-BFRF0.5	FHL2
EBV-BFRF0.5	DARS
EBV-BFRF0.5	VARS
EBV-BFRF0.5	MBOAT7
EBV-BFRF0.5	COL6A1
EBV-BFRF0.5	BTF3
EBV-BFRF0.5	IPO5
EBV-BFRF0.5	PFDN2
EBV-BFRF0.5	PDLIM7
EBV-BFRF0.5	LPP
EBV-BFRF0.5	CCT6A
EBV-BFRF0.5	HDGFRP2
EBV-BFRF0.5	POP1
EBV-BFRF0.5	RPS27
EBV-BFRF0.5	IARS
EBV-BFRF0.5	SH3KBP1
EBV-BFRF0.5	MAGED1
EBV-BFRF0.5	UBR4
EBV-BFRF0.5	TRAM1
EBV-BFRF0.5	BAG3
EBV-BFRF0.5	PJA2
EBV-BFRF0.5	SARS
EBV-BFRF0.5	PDLIM4
EBV-BFRF0.5	LOX
EBV-BFRF0.5	SEC61B
EBV-BFRF0.5	EPRS
EBV-BFRF0.5	TGFB1I1
EBV-BFRF0.5	RBM25
EBV-BFRF0.5	PXN
EBV-BFRF0.5	FKBP15
EBV-BFRF0.5	SEC16A
EBV-BFRF0.5	PFDN1
EBV-BGLF3	MTCH2
EBV-BGLF3	UBR4
EBV-BGLF3	RSU1
EBV-BGLF3	FASN
EBV-BGLF3	EFEMP2
EBV-BGLF3	FN1
EBV-BGLF3	WNT5A
EBV-BGLF3	CCT5
EBV-BGLF3	SFXN3
EBV-BGLF3	CNP
EBV-BGLF3	CRIP2
EBV-BGLF3	PXN
EBV-BGLF3	RPS27
EBV-BGLF3	RBPMS
EBV-BGLF3	RUVBL2
EBV-BGLF3	UBR5
EBV-BGLF3	SRPRB
EBV-BGLF3	CAPN1
EBV-BGLF3	CCT6B
EBV-BGLF3	HTT
EBV-BGLF3	DNAJA1
EBV-BGLF3	COPA
EBV-BGLF3	PDIA4
EBV-BGLF3	FHL2
EBV-BGLF3	BAG6
EBV-BGLF3	IGFBP4
EBV-BGLF3	COL6A3
EBV-BGLF3	KIAA0564
EBV-BGLF3	RANBP2
EBV-BGLF3	JAK1
EBV-BGLF3	SEC61B
EBV-BGLF3	CSRP2
EBV-BGLF3	TGFB1I1
EBV-BGLF3	AIFM1
EBV-BGLF3	PEX14
EBV-BGLF3	SRRM2
EBV-BGLF3	RFTN1
EBV-BGLF3	RPS27L
EBV-BGLF3	ACSL3
EBV-BGLF3	NDUFA4
EBV-BGLF3	ARHGAP1
EBV-BGLF3	MAGED1
EBV-BGLF3	LOX
EBV-BGLF3	RNH1
EBV-BGLF3	ATP2A2
EBV-BGLF3	SQRDL
EBV-BGLF3	INF2
EBV-BGLF3	GAS6
EBV-BGLF3	STIM1
EBV-BGLF3	CCT6A
EBV-BGLF3	PRRC2C
EBV-BGLF3	VKORC1
EBV-BGLF3	PDLIM7
EBV-BGLF3	ATAD3A
EBV-BGLF3	PLEKHA5
EBV-BGLF3	PDXDC1
EBV-BGLF3	KANK2
EBV-BGLF3	CCT3
EBV-BGLF3	EHD2
EBV-BGLF3	MARCKS
EBV-BGLF3	TGFBI
EBV-BGLF3.5	RUVBL2
EBV-BGLF3.5	A2M
EBV-BGLF3.5	SEC16A
EBV-BGLF3.5	SLC26A3
EBV-BGLF3.5	LOX
EBV-BGLF3.5	CCT6A
EBV-BGLF3.5	SSFA2
EBV-BGLF3.5	MYOF
EBV-BGLF3.5	SQRDL
EBV-BGLF3.5	BAG3
EBV-BGLF3.5	PPP2R1A
EBV-BGLF3.5	KANK2
EBV-BGLF3.5	CHPF2
EBV-BGLF3.5	PPP2R2A
EBV-BGLF3.5	CHPF
EBV-BGLF3.5	EMD
EBV-BGLF3.5	LMO7
EBV-BGLF3.5	C9orf167
EBV-BHRF1	LDLR
EBV-BHRF1	SPNS1
EBV-BHRF1	ACSL3
EBV-BHRF1	FAM36A
EBV-BHRF1	KCTD12
EBV-BHRF1	GNPTAB
EBV-BHRF1	GLG1
EBV-BHRF1	CSRP2
EBV-BHRF1	TMEM33
EBV-BHRF1	BSG
EBV-BHRF1	CNP
EBV-BHRF1	PTK7
EBV-BHRF1	TMPO
EBV-BHRF1	NME3
EBV-BHRF1	PTPRK
EBV-BHRF1	SEC22B
EBV-BHRF1	ITM2C
EBV-BHRF1	ERGIC1
EBV-BHRF1	NOTCH2
EBV-BHRF1	CALCOCO2
EBV-BHRF1	RAP1A
EBV-BHRF1	CHRM2
EBV-BHRF1	GGCX
EBV-BHRF1	RP2
EBV-BHRF1	MTCH2
EBV-BHRF1	C4orf49
EBV-BHRF1	RAB18
EBV-BHRF1	NDEL1
EBV-BHRF1	ESYT2
EBV-BHRF1	IKBIP
EBV-BHRF1	PPAPDC2
EBV-BHRF1	ARL1
EBV-BHRF1	OCIAD1
EBV-BHRF1	VKORC1
EBV-BHRF1	MMP14
EBV-BHRF1	SPARC
EBV-BHRF1	SRPR
EBV-BHRF1	VAPA
EBV-BHRF1	PDIA3
EBV-BHRF1	GGT7
EBV-BHRF1	CTNND1
EBV-BHRF1	SACM1L
EBV-BHRF1	FNDC3B
EBV-BHRF1	GNG2
EBV-BHRF1	ENPP1
EBV-BHRF1	ATP2B4
EBV-BHRF1	MYOF
EBV-BHRF1	RFTN1
EBV-BHRF1	DNAJB12
EBV-BHRF1	MBOAT7
EBV-BHRF1	FN1
EBV-BHRF1	ATAD3A
EBV-BHRF1	NDUFA4
EBV-BHRF1	ABCC1
EBV-BHRF1	LAMTOR1
EBV-BHRF1	EGFR
EBV-BHRF1	SURF4
EBV-BHRF1	RRAS
EBV-BHRF1	RAB32
EBV-BHRF1	PTPN1
EBV-BHRF1	PDLIM7
EBV-BHRF1	TRPV2
EBV-BHRF1	CDIPT
EBV-BHRF1	ADAM9
EBV-BHRF1	DYNC1H1
EBV-BHRF1	PLD3
EBV-BHRF1	TM9SF1
EBV-BHRF1	DPY19L1
EBV-BHRF1	PGRMC2
EBV-BHRF1	TMX3
EBV-BHRF1	KIRREL
EBV-BHRF1	CHCHD3
EBV-BHRF1	RAB34
EBV-BHRF1	ITFG1
EBV-BHRF1	RHOT1
EBV-BHRF1	ASPH
EBV-BHRF1	SQRDL
EBV-BHRF1	MARCKS
EBV-BHRF1	PREB
EBV-BHRF1	SLC2A1
EBV-BHRF1	SDHB
EBV-BHRF1	CANX
EBV-BHRF1	TM9SF3
EBV-BHRF1	SLC3A2
EBV-BHRF1	CEPT1
EBV-BHRF1	SERBP1
EBV-BHRF1	RPS5
EBV-BHRF1	CSPG4
EBV-BHRF1	MARCKSL1
EBV-BHRF1	DDX6
EBV-BHRF1	IMMT
EBV-BHRF1	SH3BP4
EBV-BHRF1	ATP1A1
EBV-BHRF1	SLC30A7
EBV-BHRF1	RRAS2
EBV-BHRF1	GPX8
EBV-BHRF1	FAM176A
EBV-BHRF1	PDGFRB
EBV-BHRF1	GNPTG
EBV-BHRF1	RRBP1
EBV-BHRF1	PRAF2
EBV-BHRF1	BAX
EBV-BHRF1	QSOX1
EBV-BHRF1	CD44
EBV-BHRF1	NDE1
EBV-BHRF1	BAG3
EBV-BHRF1	PON2
EBV-BHRF1	CNTNAP1
EBV-BHRF1	PVRL2
EBV-BHRF1	PGRMC1
EBV-BHRF1	ITGB1
EBV-BHRF1	PNKD
EBV-BHRF1	SEC61B
EBV-BHRF1	TAB1
EBV-BHRF1	LEMD3
EBV-BHRF1	PTTG1IP
EBV-BHRF1	SLC25A22
EBV-BHRF1	USMG5
EBV-BHRF1	FAM82A2
EBV-BHRF1	PROCR
EBV-BHRF1	RAB5C
EBV-BHRF1	CDCP1
EBV-BHRF1	ATP2A2
EBV-BHRF1	LOX
EBV-BHRF1	CHP
EBV-BHRF1	ICMT
EBV-BHRF1	PBXIP1
EBV-BHRF1	PFKP
EBV-BHRF1	MAVS
EBV-BHRF1	SLC22A18
EBV-BHRF1	COX2
EBV-BHRF1	MXRA8
EBV-BHRF1	STT3A
EBV-BHRF1	EMD
EBV-BHRF1	P4HB
EBV-BHRF1	ROBO1
EBV-BHRF1	CD248
EBV-BHRF1	IGF2R
EBV-BHRF1	TRIO
EBV-BHRF1	MPZL1
EBV-BHRF1	JAK1
EBV-BHRF1	SPPL2B
EBV-BHRF1	SSR4
EBV-BHRF1	TMEM165
EBV-BHRF1	SRPRB
EBV-BNLF2A	COPA
EBV-BNLF2A	COMT
EBV-BNLF2A	RAB5C
EBV-BNLF2A	ABHD12
EBV-BNLF2A	PDIA3
EBV-BNLF2A	PDGFRB
EBV-BNLF2A	FAM176B
EBV-BNLF2A	A2M
EBV-BNLF2A	SPTLC2
EBV-BNLF2A	SELRC1
EBV-BNLF2A	MRC2
EBV-BNLF2A	PTPLAD1
EBV-BNLF2A	WLS
EBV-BNLF2A	CCDC168
EBV-BNLF2A	GPD2
EBV-BNLF2A	PTTG1IP
EBV-BNLF2A	RAB34
EBV-BNLF2A	DHRS7
EBV-BNLF2A	SCCPDH
EBV-BNLF2A	TAP1
EBV-BNLF2A	ERBB2
