source target
Ath_C1315 Ath_C1511
Ath_C1315 Ath_C1514
Ath_C1699 Ath_C1700
Ath_C1699 Ath_C0006
Ath_C2094 Ath_C2224
Ath_C2094 Ath_C2017
Ath_C2094 Ath_C2036
Ath_C2224 Ath_C1233
Ath_C2224 Ath_C0013
Ath_C2183 Ath_C2137
Ath_C2183 Ath_C0008
Ath_C2183 Ath_C1242
Ath_C2067 Ath_C2259
Ath_C2067 Ath_C0511
Ath_C0772 Ath_C2222
Ath_C0772 Ath_C0793
Ath_C0772 Ath_C0001
Ath_C0772 Ath_C0003
Ath_C0772 Ath_C0006
Ath_C1252 Ath_C1743
Ath_C1252 Ath_C1615
Ath_C1252 Ath_C0001
Ath_C1252 Ath_C0145
Ath_C1252 Ath_C1314
Ath_C1252 Ath_C1251
Ath_C1126 Ath_C1878
Ath_C1126 Ath_C1242
Ath_C1878 Ath_C1242
Ath_C1878 Ath_C1879
Ath_C1878 Ath_C1880
Ath_C2194 Ath_C2159
Ath_C2194 Ath_C0005
Ath_C2194 Ath_C0012
Ath_C2194 Ath_C0018
Ath_C2193 Ath_C2158
Ath_C2193 Ath_C0012
Ath_C2193 Ath_C0018
Ath_C1907 Ath_C1083
Ath_C1907 Ath_C0515
Ath_C1907 Ath_C0872
Ath_C1907 Ath_C1906
Ath_C1083 Ath_C0875
Ath_C1423 Ath_C1566
Ath_C1631 Ath_C1355
Ath_C2177 Ath_C2178
Ath_C2177 Ath_C0011
Ath_C2075 Ath_C2261
Ath_C2075 Ath_C1230
Ath_C2075 Ath_C2016
Ath_C2075 Ath_C2087
Ath_C2075 Ath_C2086
Ath_C2075 Ath_C0035
Ath_C2075 Ath_C0001
Ath_C2075 Ath_C0012
Ath_C2261 Ath_C2262
Ath_C2261 Ath_C0818
Ath_C2064 Ath_C2277
Ath_C2064 Ath_C0280
Ath_C1549 Ath_C1424
Ath_C1549 Ath_C0099
Ath_C1549 Ath_C0001
Ath_C1704 Ath_C1269
Ath_C1704 Ath_C1703
Ath_C1705 Ath_C1269
Ath_C1705 Ath_C1703
Ath_C1705 Ath_C1702
Ath_C1377 Ath_C1603
Ath_C1377 Ath_C0011
Ath_C1377 Ath_C0036
Ath_C1377 Ath_C0001
Ath_C1366 Ath_C1612
Ath_C1366 Ath_C0004
Ath_C1412 Ath_C0064
Ath_C1113 Ath_C1864
Ath_C1113 Ath_C0019
Ath_C1864 Ath_C1865
Ath_C1864 Ath_C0019
Ath_C1112 Ath_C1863
Ath_C1863 Ath_C1862
Ath_C2182 Ath_C2186
Ath_C2182 Ath_C2280
Ath_C2182 Ath_C2273
Ath_C1409 Ath_C1553
Ath_C1409 Ath_C0014
Ath_C1427 Ath_C1537
Ath_C1427 Ath_C0014
Ath_C1537 Ath_C1538
Ath_C1537 Ath_C0009
Ath_C1537 Ath_C0008
Ath_C2070 Ath_C2292
Ath_C2070 Ath_C2301
Ath_C2070 Ath_C1233
Ath_C2070 Ath_C1215
Ath_C2070 Ath_C1202
Ath_C2070 Ath_C2114
Ath_C2070 Ath_C2112
Ath_C2070 Ath_C0089
Ath_C2070 Ath_C0306
Ath_C2070 Ath_C0782
Ath_C1860 Ath_C1105
Ath_C1860 Ath_C0086
Ath_C1105 Ath_C0086
Ath_C1105 Ath_C0628
Ath_C1150 Ath_C1814
Ath_C1150 Ath_C0020
Ath_C1150 Ath_C0013
Ath_C1814 Ath_C1815
Ath_C1814 Ath_C0014
Ath_C2180 Ath_C2179
Ath_C2180 Ath_C2303
Ath_C2180 Ath_C0020
Ath_C2180 Ath_C0048
Ath_C2180 Ath_C0056
Ath_C2179 Ath_C0001
Ath_C2195 Ath_C2160
Ath_C2195 Ath_C0012
Ath_C2195 Ath_C0018
Ath_C1408 Ath_C1550
Ath_C1408 Ath_C0005
Ath_C1408 Ath_C0010
Ath_C1408 Ath_C1405
Ath_C0731 Ath_C2221
Ath_C0731 Ath_C0004
Ath_C0731 Ath_C0078
Ath_C2111 Ath_C2111
Ath_C2111 Ath_C0150
Ath_C2110 Ath_C2110
Ath_C2110 Ath_C2214
Ath_C2110 Ath_C0014
Ath_C2110 Ath_C0019
Ath_C2123 Ath_C2122
Ath_C2123 Ath_C0004
Ath_C1899 Ath_C1189
Ath_C1189 Ath_C0794
Ath_C1189 Ath_C0720
Ath_C0294 Ath_C0986
Ath_C0294 Ath_C0896
Ath_C0294 Ath_C1065
Ath_C0294 Ath_C0385
Ath_C0294 Ath_C0006
Ath_C0294 Ath_C0001
Ath_C0294 Ath_C0011
Ath_C0294 Ath_C0012
Ath_C0886 Ath_C1131
Ath_C0886 Ath_C0006
Ath_C0886 Ath_C0001
Ath_C0883 Ath_C0884
Ath_C0880 Ath_C0881
Ath_C1194 Ath_C1866
Ath_C1194 Ath_C1868
Ath_C1194 Ath_C0011
Ath_C1194 Ath_C0036
Ath_C1866 Ath_C1867
Ath_C1866 Ath_C0011
Ath_C1866 Ath_C0036
Ath_C0683 Ath_C0579
Ath_C0683 Ath_C0688
Ath_C0683 Ath_C0008
Ath_C0683 Ath_C0009
Ath_C0683 Ath_C0011
Ath_C0579 Ath_C0662
Ath_C2176 Ath_C2116
Ath_C2058 Ath_C2230
Ath_C2230 Ath_C0702
Ath_C2230 Ath_C2210
Ath_C2230 Ath_C0057
Ath_C2187 Ath_C2101
Ath_C2187 Ath_C2258
Ath_C2187 Ath_C0010
Ath_C2187 Ath_C0011
Ath_C2187 Ath_C1215
Ath_C2187 Ath_C1794
Ath_C2187 Ath_C1768
Ath_C2101 Ath_C2222
Ath_C2101 Ath_C2310
Ath_C2144 Ath_C2145
Ath_C2144 Ath_C0315
Ath_C2145 Ath_C2146
Ath_C2145 Ath_C0004
Ath_C2146 Ath_C2144
Ath_C2146 Ath_C0011
Ath_C1978 Ath_C1071
Ath_C1978 Ath_C1979
Ath_C1978 Ath_C0001
Ath_C1071 Ath_C0012
Ath_C1071 Ath_C0018
Ath_C1071 Ath_C2058
Ath_C2141 Ath_C2143
Ath_C2141 Ath_C2142
Ath_C2141 Ath_C0014
Ath_C2141 Ath_C0004
Ath_C2129 Ath_C2156
Ath_C2129 Ath_C0018
Ath_C2129 Ath_C0012
Ath_C2128 Ath_C2155
Ath_C2128 Ath_C0018
Ath_C2128 Ath_C0012
Ath_C2127 Ath_C2154
Ath_C2127 Ath_C0012
Ath_C2127 Ath_C0018
Ath_C2154 Ath_C2263
Ath_C2139 Ath_C2140
Ath_C2139 Ath_C0023
Ath_C2126 Ath_C2153
Ath_C2126 Ath_C0012
Ath_C2126 Ath_C0018
Ath_C2148 Ath_C0144
Ath_C2148 Ath_C1230
Ath_C1141 Ath_C1890
Ath_C1141 Ath_C0001
Ath_C1890 Ath_C1891
Ath_C0992 Ath_C0370
Ath_C0992 Ath_C0004
Ath_C0370 Ath_C0020
Ath_C0370 Ath_C0483
Ath_C0373 Ath_C0990
Ath_C0373 Ath_C0993
Ath_C0373 Ath_C1273
Ath_C0373 Ath_C0029
Ath_C0373 Ath_C0074
Ath_C0373 Ath_C0077
Ath_C0990 Ath_C1496
Ath_C0990 Ath_C0009
Ath_C0990 Ath_C0036
Ath_C0990 Ath_C0029
Ath_C0673 Ath_C0695
Ath_C0673 Ath_C0680
Ath_C0673 Ath_C0964
Ath_C0673 Ath_C0093
Ath_C0673 Ath_C0080
Ath_C0673 Ath_C0052
Ath_C0670 Ath_C0698
Ath_C0670 Ath_C0689
Ath_C0670 Ath_C0082
Ath_C0670 Ath_C0014
Ath_C0698 Ath_C0696
Ath_C0698 Ath_C0008
Ath_C0671 Ath_C0695
Ath_C0671 Ath_C0439
Ath_C0671 Ath_C0001
Ath_C0671 Ath_C0052
Ath_C0485 Ath_C0887
Ath_C0485 Ath_C0876
Ath_C0485 Ath_C0877
Ath_C0485 Ath_C1082
Ath_C0485 Ath_C0004
Ath_C0485 Ath_C0001
Ath_C0485 Ath_C0006
Ath_C0485 Ath_C1162
Ath_C0485 Ath_C2221
Ath_C0887 Ath_C0888
Ath_C0688 Ath_C0673
Ath_C0688 Ath_C0096
Ath_C0686 Ath_C0672
Ath_C0686 Ath_C0667
Ath_C0686 Ath_C0902
Ath_C0686 Ath_C0901
Ath_C0686 Ath_C0001
Ath_C0672 Ath_C0430
Ath_C0874 Ath_C0485
Ath_C0874 Ath_C1084
Ath_C0874 Ath_C0006
Ath_C0689 Ath_C0698
Ath_C0689 Ath_C0014
Ath_C0876 Ath_C0877
Ath_C0877 Ath_C0878
Ath_C0877 Ath_C0888
Ath_C0877 Ath_C0001
Ath_C0877 Ath_C0006
Ath_C0662 Ath_C0684
Ath_C0662 Ath_C0008
